,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
keenan-reynolds-1,2012,9.1,1,61,,,,,,13.0,5-11,,,2,,Keenan Reynolds,,108,,56.5,9,898,8.3,keenan-reynolds-1,162,60,QB,,150.1,,,,,162,10,649,4.0,10,0.0,,2012,0,0.0,Navy,1,10,,208,649,4.0,,,,FR
keenan-reynolds-1,2013,8.8,0,68,0.0,0.0,0.0,0.0,,13.0,5-11,0.0,0.0,2,0.0,Keenan Reynolds,,128,0.0,53.1,8,1057,8.3,keenan-reynolds-1,300,188,QB,0.0,140.0,0.0,0.0,,0.0,300,31,1346,4.5,31,0.0,,2013,0,0.0,Navy,0,31,1.0,208,1346,4.5,,0.0,,SO
keenan-reynolds-1,2014,7.5,0,52,0.0,0.0,0.0,0.0,,11.0,5-11,0.0,0.0,3,0.0,Keenan Reynolds,,111,0.0,46.8,6,843,7.6,keenan-reynolds-1,250,138,QB,0.0,123.1,0.0,0.0,,0.0,250,23,1191,4.8,23,0.0,,2014,0,0.0,Navy,0,23,,208,1191,4.8,,0.0,,JR
keenan-reynolds-1,2015,11.5,0,61,0.0,0.0,0.0,0.0,,13.0,5-11,0.0,0.0,1,0.0,Keenan Reynolds,,115,0.0,53.0,8,1203,10.5,keenan-reynolds-1,266,144,QB,0.0,162.1,0.0,47.0,47.0,1.0,265,24,1373,5.2,24,0.0,,2015,0,0.0,Navy,0,24,,208,1420,5.3,,0.0,,SR
keenan-reynolds-1,Career,9.2,1,242,0.0,0.0,0.0,0.0,,,5-11,0.0,0.0,8,0.0,Keenan Reynolds,,462,0.0,52.4,31,4001,8.7,keenan-reynolds-1,978,530,QB,0.0,143.8,0.0,47.0,47.0,1.0,977,88,4559,4.7,88,0.0,,Career,0,0.0,Navy,1,88,1.0,208,4606,4.7,,0.0,,
tago-smith-1,2013,,,0,0,0,,,,2.0,5-10,,,0,0,Tago Smith,,0,,,0,0,,tago-smith-1,5,6,SB,0,,0,0,,0,5,1,50,10.0,1,,,2013,,,Navy,,1,,201,50,10.0,,,,FR
tago-smith-1,2014,16.4,,10,0,0,,,,5.0,5-10,,,1,0,Tago Smith,,14,,71.4,3,215,15.4,tago-smith-1,38,18,QB,0,256.9,0,0,,0,38,3,118,3.1,3,,,2014,,,Navy,,3,,201,118,3.1,,,,SO
tago-smith-1,2015,1.7,,2,0,0,,,,7.0,5-10,,,1,0,Tago Smith,,3,,66.7,1,30,10.0,tago-smith-1,27,6,QB,0,194.0,0,0,,0,27,1,126,4.7,1,,,2015,,,Navy,,1,,201,126,4.7,,,,JR
tago-smith-1,2016,45.0,,1,0,0,,,,1.0,5-10,,,0,0,Tago Smith,,1,,100.0,0,45,45.0,tago-smith-1,10,12,QB,0,478.0,0,0,,0,10,2,97,9.7,2,,,2016,,,Navy,,2,,201,97,9.7,,,,SR
tago-smith-1,Career,15.6,,13,0,0,,,,,5-10,,,2,0,Tago Smith,,18,,72.2,4,290,16.1,tago-smith-1,80,42,QB,0,258.7,0,0,,0,80,7,391,4.9,7,,,Career,,,Navy,,7,,201,391,4.9,,,,
