,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
tommy-armstrong-jr-1,2013,6.0,0,68,0,0,0,0,,9.0,6-1,0,0,8,0,Tommy Armstrong Jr,,131,0,51.9,9,966,7.4,tommy-armstrong-jr-1,67,12,QB,0,124.3,0,0,,0,67,2,202,3.0,2,0.0,,2013,0,0.0,Nebraska,0,2,,220,202,3.0,,0,,FR
tommy-armstrong-jr-1,2014,7.5,0,184,0,0,0,0,,13.0,6-1,0,0,12,0,Tommy Armstrong Jr,,345,0,53.3,22,2695,7.8,tommy-armstrong-jr-1,146,42,QB,0,133.0,1,16,16.0,1,145,6,705,4.9,7,0.0,,2014,0,0.0,Nebraska,0,7,,220,721,4.9,,0,,SO
tommy-armstrong-jr-1,2015,6.8,1,222,0,0,0,0,,12.0,6-1,0,0,16,0,Tommy Armstrong Jr,,402,0,55.2,22,3030,7.5,tommy-armstrong-jr-1,98,42,QB,0,128.6,0,0,,0,98,7,400,4.1,7,0.0,,2015,0,0.0,Nebraska,1,7,,220,400,4.1,,0,,JR
tommy-armstrong-jr-1,2016,7.1,0,151,0,0,0,0,,11.0,6-1,0,0,8,0,Tommy Armstrong Jr,,294,0,51.4,14,2180,7.4,tommy-armstrong-jr-1,113,48,QB,0,123.9,0,0,,0,113,8,512,4.5,8,0.0,,2016,0,0.0,Nebraska,0,8,,220,512,4.5,,0,,SR
tommy-armstrong-jr-1,Career,7.0,1,625,0,0,0,0,,,6-1,0,0,44,0,Tommy Armstrong Jr,,1172,0,53.3,67,8871,7.6,tommy-armstrong-jr-1,424,144,QB,0,128.3,1,16,16.0,1,423,23,1819,4.3,24,0.0,,Career,0,0.0,Nebraska,1,24,,220,1835,4.3,,0,,
ryker-fyfe-1,2013,5.0,0,1,0,0,0,0,,1.0,6-3,0,0,0,0,Ryker Fyfe,,1,0,100.0,0,5,5.0,ryker-fyfe-1,1,0,QB,0,142.0,0,0,,0,1,0,3,3.0,0,0.0,,2013,0,0.0,Nebraska,0,0,,215,3,3.0,,0,,FR
ryker-fyfe-1,2014,6.0,0,4,0,0,0,0,,5.0,6-3,0,0,0,0,Ryker Fyfe,,10,0,40.0,1,40,4.0,ryker-fyfe-1,7,0,QB,0,106.6,0,0,,0,7,0,47,6.7,0,0.0,,2014,0,0.0,Nebraska,0,0,,215,47,6.7,,0,,SO
ryker-fyfe-1,2015,5.7,1,34,0,0,0,0,,2.0,6-3,0,0,5,0,Ryker Fyfe,,55,0,61.8,5,440,8.0,ryker-fyfe-1,7,0,QB,0,140.8,0,0,,0,7,0,-35,-5.0,0,0.0,,2015,0,0.0,Nebraska,1,0,,215,-35,-5.0,,0,,JR
ryker-fyfe-1,2016,6.0,0,48,0,0,0,0,,8.0,6-3,0,0,1,0,Ryker Fyfe,,99,0,48.5,4,558,5.6,ryker-fyfe-1,16,6,QB,0,107.1,0,0,,0,16,1,-28,-1.8,1,0.0,,2016,0,0.0,Nebraska,0,1,,215,-28,-1.8,,0,,SR
ryker-fyfe-1,Career,5.9,1,87,0,0,0,0,,,6-3,0,0,6,0,Ryker Fyfe,,165,0,52.7,10,1043,6.3,ryker-fyfe-1,31,6,QB,0,118.6,0,0,,0,31,1,-13,-0.4,1,0.0,,Career,0,0.0,Nebraska,1,1,,215,-13,-0.4,,0,,
johnny-stanton-1,2014,6.0,0,1,0,0,0,0,,1.0,6-2,0,0,0,0,Johnny Stanton,,1,0,100.0,0,6,6.0,johnny-stanton-1,0,0,QB,0,150.4,0,0,,0,0,0,0,,0,0.0,,2014,0,0.0,Nebraska,0,0,,245,0,,,0,,FR
johnny-stanton-1,2016,4.9,0,50,0,0,0,0,,4.0,6-2,1,0,6,0,Johnny Stanton,,107,2,46.7,6,676,6.3,johnny-stanton-1,40,6,QB,0,107.1,0,0,,0,40,1,231,5.8,1,0.0,,2016,2,0.0,UNLV,2,1,,245,231,5.8,,0,0.0,JR
johnny-stanton-1,2017,8.1,4,55,0,0,0,0,,6.0,6-2,0,0,2,0,Johnny Stanton,,88,0,62.5,4,724,8.2,johnny-stanton-1,37,12,QB,0,142.1,0,0,,0,37,2,96,2.6,2,0.0,,2017,5,0.0,UNLV,9,2,,245,96,2.6,,0,,SR
johnny-stanton-1,Career,6.4,4,106,0,0,0,0,,,6-2,1,0,8,0,Johnny Stanton,,196,2,54.1,10,1406,7.2,johnny-stanton-1,77,18,QB,0,123.0,0,0,,0,77,3,327,4.2,3,0.0,,Career,7,0.0,Overall,11,3,,245,327,4.2,,0,0.0,
ameer-abdullah-1,2011,,0.0,,,,0.0,0.0,,13.0,5-9,,,,1,Ameer Abdullah,,,0.0,,,,,ameer-abdullah-1,43,24,RB,0,,0,11,11.0,1,42,3,150,3.6,3,0.0,,2011,1.0,0.0,Nebraska,1.0,4,,195,161,3.7,,,,FR
ameer-abdullah-1,2012,,,0.0,,,,,,14.0,5-9,,,0.0,0,Ameer Abdullah,,0.0,,,0.0,0.0,,ameer-abdullah-1,250,66,RB,1,,2,178,7.4,24,226,8,1137,5.0,10,,,2012,,,Nebraska,,11,,195,1315,5.3,,,,SO
ameer-abdullah-1,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,13.0,5-9,0.0,0.0,0.0,0,Ameer Abdullah,,1.0,0.0,0.0,0.0,0.0,0.0,ameer-abdullah-1,307,66,RB,0,0.0,2,232,8.9,26,281,9,1690,6.0,11,0.0,,2013,0.0,0.0,Nebraska,0.0,11,,195,1922,6.3,,0.0,,JR
ameer-abdullah-1,2014,,0.0,0.0,0.0,0.0,0.0,0.0,,13.0,5-9,0.0,0.0,0.0,0,Ameer Abdullah,,0.0,0.0,,0.0,0.0,,ameer-abdullah-1,286,132,RB,0,,3,269,12.2,22,264,19,1611,6.1,22,0.0,,2014,0.0,0.0,Nebraska,0.0,22,,195,1880,6.6,,0.0,,SR
ameer-abdullah-1,Career,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5-9,0.0,0.0,0.0,1,Ameer Abdullah,,1.0,0.0,0.0,0.0,0.0,0.0,ameer-abdullah-1,886,288,RB,1,0.0,7,690,9.5,73,813,39,4588,5.6,46,0.0,,Career,1.0,0.0,Nebraska,1.0,48,,195,5278,6.0,,0.0,,
imani-cross-1,2012,,1,,,,,,,14.0,6-1,,,,,Imani Cross,,,,,,,,imani-cross-1,55,42,RB,,,,,,,55,7,324,5.9,7,0.0,,2012,0,0.0,Nebraska,1,7,,240,324,5.9,,,,FR
imani-cross-1,2013,,0,,0.0,0.0,0.0,0.0,,13.0,6-1,0.0,0.0,,0.0,Imani Cross,,,0.0,,,,,imani-cross-1,89,60,RB,0.0,,0.0,13.0,3.3,4.0,85,10,447,5.3,10,0.0,,2013,0,0.0,Nebraska,0,10,,240,460,5.2,,0.0,,SO
imani-cross-1,2014,,0,,0.0,0.0,0.0,0.0,,11.0,6-1,0.0,0.0,,0.0,Imani Cross,,,0.0,,,,,imani-cross-1,75,30,RB,0.0,,0.0,0.0,,0.0,75,5,384,5.1,5,0.0,,2014,0,0.0,Nebraska,0,5,,240,384,5.1,,0.0,,JR
imani-cross-1,2015,,0,,0.0,0.0,0.0,0.0,,12.0,6-1,0.0,0.0,,0.0,Imani Cross,,,0.0,,,,,imani-cross-1,114,36,RB,0.0,,0.0,10.0,5.0,2.0,112,6,451,4.0,6,0.0,,2015,1,0.0,Nebraska,1,6,,240,461,4.0,,0.0,,SR
imani-cross-1,Career,,1,,0.0,0.0,0.0,0.0,,,6-1,0.0,0.0,,0.0,Imani Cross,,,0.0,,,,,imani-cross-1,333,168,RB,0.0,,0.0,23.0,3.8,6.0,327,28,1606,4.9,28,0.0,,Career,1,0.0,Nebraska,2,28,,240,1629,4.9,,0.0,,
jordan-nelson-1,2014,,4,,,,0,0,,9.0,5-8,0,0,,,Jordan Nelson,,,0,,,,,jordan-nelson-1,13,,RB,,,0,0,,0,13,0,74,5.7,0,0.0,,2014,3,0.0,Nebraska,7,,,180,74,5.7,,0,,SO
