,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
blake-decker-1,2014,5.9,1,231,0,0,0,0,,13.0,6-2,0,0,18,0,Blake Decker,,401,0,57.6,15,2881,7.2,blake-decker-1,147,30,QB,0,121.3,0,0,,0,147,5,366,2.5,5,0.0,,2014,1,0.0,UNLV,2,5,,205,366,2.5,,0,,JR
blake-decker-1,2015,7.6,0,120,0,0,0,0,,9.0,6-2,0,0,8,0,Blake Decker,,209,0,57.4,12,1713,8.2,blake-decker-1,47,6,QB,0,137.6,0,0,,0,47,1,127,2.7,1,0.0,,2015,0,0.0,UNLV,0,1,,205,127,2.7,,0,,SR
blake-decker-1,Career,6.5,1,351,0,0,0,0,,,6-2,0,0,26,0,Blake Decker,,610,0,57.5,27,4594,7.5,blake-decker-1,194,36,QB,0,126.9,0,0,,0,194,6,493,2.5,6,0.0,,Career,1,0.0,UNLV,2,6,,205,493,2.5,,0,,
jared-lebowitz-1,2014,5.1,,26,0,0,,,,3.0,6-4,,,1,0,Jared Lebowitz,,62,,41.9,1,344,5.5,jared-lebowitz-1,9,6,QB,0,90.6,0,0,,0,9,1,-5,-0.6,1,,,2014,,,UNLV,,1,,195,-5,-0.6,,,,FR
jared-lebowitz-1,Career,5.1,,26,0,0,,,,,6-4,,,1,0,Jared Lebowitz,,62,,41.9,1,344,5.5,jared-lebowitz-1,9,6,QB,0,90.6,0,0,,0,9,1,-5,-0.6,1,,,Career,,,UNLV,,1,,195,-5,-0.6,,,,
nick-sherry-1,2012,4.9,,226,,,,,,12.0,6-5,,,17,,Nick Sherry,,426,,53.1,16,2544,6.0,nick-sherry-1,45,6,QB,,107.6,,,,,45,1,-46,-1.0,1,,,2012,,,UNLV,,1,,235,-46,-1.0,,,,FR
nick-sherry-1,2013,2.3,,41,0.0,0.0,,,,4.0,6-5,,,5,0.0,Nick Sherry,,75,,54.7,3,337,4.5,nick-sherry-1,14,0,QB,0.0,92.3,0.0,0.0,,0.0,14,0,9,0.6,0,,,2013,,,UNLV,,0,,235,9,0.6,,,,SO
nick-sherry-1,2014,-0.4,,9,0.0,0.0,,,,2.0,6-5,,,2,0.0,Nick Sherry,,29,,31.0,0,78,2.7,nick-sherry-1,4,0,QB,0.0,39.8,0.0,0.0,,0.0,4,0,-4,-1.0,0,,,2014,,,UNLV,,0,,235,-4,-1.0,,,,JR
nick-sherry-1,Career,4.3,,276,0.0,0.0,,,,,6-5,,,24,0.0,Nick Sherry,,530,,52.1,19,2959,5.6,nick-sherry-1,63,6,QB,0.0,101.7,0.0,0.0,,0.0,63,1,-41,-0.7,1,,,Career,,,UNLV,,1,,235,-41,-0.7,,,,
keith-whitely-2,2013,,2,,0,0,0,0,,13.0,5-9,0,0,,0,Keith Whitely,,,0,,,,,keith-whitely-2,10,0,RB,0,,0,0,,0,10,0,56,5.6,0,0.0,,2013,2,0.0,UNLV,4,0,,185,56,5.6,,0,,FR
