,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
cody-fajardo-1,2011,7.1,0,150,,,0.0,0.0,,10.0,6-2,,,6,,Cody Fajardo,,218,0.0,68.8,6,1707,7.8,cody-fajardo-1,128,66,QB,,138.2,,,,,128,11,694,5.4,11,0.0,,2011,0,0.0,Nevada,0,11,,215,694,5.4,,,,FR
cody-fajardo-1,2012,7.6,1,246,,,,,,12.0,6-2,,,9,,Cody Fajardo,,367,,67.0,20,2786,7.6,cody-fajardo-1,190,72,QB,,143.9,,,,,190,12,1121,5.9,12,0.0,,2012,1,0.0,Nevada,2,12,,215,1121,5.9,,,,SO
cody-fajardo-1,2013,7.8,0,243,0.0,0.0,0.0,0.0,,10.0,6-2,0.0,0.0,3,0.0,Cody Fajardo,,358,0.0,67.9,13,2668,7.5,cody-fajardo-1,141,48,QB,0.0,140.8,0.0,0.0,,0.0,141,8,621,4.4,8,0.0,,2013,0,0.0,Nevada,0,8,,215,621,4.4,,0.0,,JR
cody-fajardo-1,2014,5.8,0,239,0.0,0.0,0.0,0.0,,13.0,6-2,0.0,0.0,11,0.0,Cody Fajardo,,405,0.0,59.0,18,2498,6.2,cody-fajardo-1,177,78,QB,0.0,120.1,0.0,0.0,,0.0,177,13,1046,5.9,13,0.0,,2014,0,0.0,Nevada,0,13,,215,1046,5.9,,0.0,,SR
cody-fajardo-1,Career,7.0,1,878,0.0,0.0,0.0,0.0,,,6-2,0.0,0.0,29,0.0,Cody Fajardo,,1348,0.0,65.1,57,9659,7.2,cody-fajardo-1,636,264,QB,0.0,135.0,0.0,0.0,,0.0,636,44,3482,5.5,44,0.0,,Career,1,0.0,Nevada,2,44,,215,3482,5.5,,0.0,,
devin-combs-1,2012,10.7,,25,,,,,,5.0,6-2,,,1,,Devin Combs,,39,,64.1,4,384,9.8,devin-combs-1,34,6,QB,,175.5,,,,,34,1,177,5.2,1,,,2012,,,Nevada,,1,,220,177,5.2,,,,SO
devin-combs-1,2013,5.8,,11,0.0,0.0,,,,3.0,6-2,,,0,0.0,Devin Combs,,18,,61.1,1,84,4.7,devin-combs-1,6,0,QB,0.0,118.6,0.0,0.0,,0.0,6,0,39,6.5,0,,,2013,,,Nevada,,0,,220,39,6.5,,,,JR
devin-combs-1,2014,,,0,0.0,0.0,,,,1.0,6-2,,,0,0.0,Devin Combs,,0,,,0,0,,devin-combs-1,1,6,QB,0.0,,0.0,0.0,,0.0,1,1,5,5.0,1,,,2014,,,Nevada,,1,,220,5,5.0,,,,SR
devin-combs-1,Career,9.2,,36,0.0,0.0,,,,,6-2,,,1,0.0,Devin Combs,,57,,63.2,5,468,8.2,devin-combs-1,41,12,QB,0.0,157.6,0.0,0.0,,0.0,41,2,221,5.4,2,,,Career,,,Nevada,,2,,220,221,5.4,,,,
tyler-stewart-1,2013,6.0,1,21,0,0,0,0,,5.0,6-4,0,0,2,0,Tyler Stewart,,37,0,56.8,3,251,6.8,tyler-stewart-1,6,0,QB,0,129.7,0,0,,0,6,0,24,4.0,0,0.0,,2013,0,0.0,Nevada,1,0,,220,24,4.0,,0,,FR
