,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
tyler-rogers-1,2014,4.9,0,268,0,0,0,0,,12.0,6-3,0,0,23,0,Tyler Rogers,,436,0,61.5,19,2779,6.4,tyler-rogers-1,70,12,QB,0,118.8,0,11,11.0,1,69,2,200,2.9,2,0.0,,2014,1,0.0,New Mexico State,1,2,,218,211,3.0,,0,,SO
tyler-rogers-1,2015,7.2,0,71,0,0,0,0,,4.0,6-3,0,0,3,0,Tyler Rogers,,134,0,53.0,7,966,7.2,tyler-rogers-1,29,6,QB,0,126.3,0,0,,0,29,1,66,2.3,1,0.0,,2015,1,0.0,New Mexico State,1,1,,218,66,2.3,,0,,JR
tyler-rogers-1,2016,5.9,0,224,0,0,0,0,,11.0,6-3,0,0,12,0,Tyler Rogers,,404,0,55.4,16,2603,6.4,tyler-rogers-1,125,30,QB,0,116.7,1,9,9.0,1,124,4,333,2.7,5,0.0,,2016,0,0.0,New Mexico State,0,5,,218,342,2.7,,0,,SR
tyler-rogers-1,2017,6.6,0,348,0,0,0,0,,12.0,6-3,0,0,18,0,Tyler Rogers,,566,0,61.5,27,4016,7.1,tyler-rogers-1,76,42,QB,0,130.5,0,0,,0,76,7,20,0.3,7,0.0,,2017,1,0.0,New Mexico State,1,7,,218,20,0.3,,0,,SR
tyler-rogers-1,Career,6.0,0,911,0,0,0,0,,,6-3,0,0,56,0,Tyler Rogers,,1540,0,59.2,69,10364,6.7,tyler-rogers-1,300,90,QB,0,123.2,1,20,10.0,2,298,14,619,2.1,15,0.0,,Career,3,0.0,New Mexico State,3,15,,218,639,2.1,,0,,
andrew-allen-1,2014,4.7,5,10,0,0,0,1,,8.0,6-1,0,0,1,0,Andrew Allen,,16,0,62.5,0,120,7.5,andrew-allen-1,22,6,QB,0,113.0,0,0,,0,22,1,155,7.0,1,0.0,,2014,2,0.0,New Mexico State,7,1,,205,155,7.0,,0,,FR
andrew-allen-1,2015,7.0,1,114,0,0,0,0,,8.0,6-1,0,0,8,0,Andrew Allen,,213,0,53.5,16,1531,7.2,andrew-allen-1,75,0,WR,0,131.2,0,0,,0,75,0,197,2.6,0,0.0,,2015,0,0.0,New Mexico State,1,0,,205,197,2.6,,0,,SO
andrew-allen-1,Career,6.8,6,124,0,0,0,1,,,6-1,0,0,9,0,Andrew Allen,,229,0,54.1,16,1651,7.2,andrew-allen-1,97,6,WR,0,129.9,0,0,,0,97,1,352,3.6,1,0.0,,Career,2,0.0,New Mexico State,8,1,,205,352,3.6,,0,,
barry-coffman-1,2014,,2,,,,0,0,,3.0,6-3,0,0,,,Barry Coffman,,,0,,,,,barry-coffman-1,,,QB,,,,,,,,,,,,0.0,,2014,1,0.0,New Mexico State,3,,,200,,,,0,,SO
barry-coffman-1,Career,,2,,,,0,0,,,6-3,0,0,,,Barry Coffman,,,0,,,,,barry-coffman-1,,,QB,,,,,,,,,,,,0.0,,Career,1,0.0,New Mexico State,3,,,200,,,,0,,
travaughn-colwell-1,2011,5.4,0.0,39,,,0.0,0.0,,7.0,6-3,,,3,,Travaughn Colwell,,60,0.0,65.0,2,419,7.0,travaughn-colwell-1,35,0,QB,,124.7,,,,,35,0,11,0.3,0,0.0,,2011,0.0,0.0,New Mexico State,0.0,0,,200,11,0.3,,,,FR
travaughn-colwell-1,2012,6.6,,6,,,,,,7.0,6-3,,,0,,Travaughn Colwell,,13,,46.2,1,66,5.1,travaughn-colwell-1,31,0,QB,,114.2,,,,,31,0,139,4.5,0,,,2012,,,New Mexico State,,0,,200,139,4.5,,,,SO
travaughn-colwell-1,2013,1.5,0.0,2,0.0,0.0,0.0,0.0,,3.0,6-3,0.0,0.0,0,0.0,Travaughn Colwell,,2,0.0,100.0,0,3,1.5,travaughn-colwell-1,23,6,QB,0.0,112.6,1.0,39.0,39.0,1.0,22,0,77,3.5,1,0.0,,2013,0.0,0.0,New Mexico State,0.0,1,,200,116,5.0,,0.0,,JR
travaughn-colwell-1,2014,,10.0,0,0.0,0.0,0.0,0.0,,7.0,6-3,0.0,0.0,0,0.0,Travaughn Colwell,,0,0.0,,0,0,,travaughn-colwell-1,0,0,QB,0.0,,0.0,0.0,,0.0,0,0,0,,0,0.0,,2014,6.0,0.0,New Mexico State,16.0,0,,200,0,,,0.0,,SR
travaughn-colwell-1,Career,5.5,10.0,47,0.0,0.0,0.0,0.0,,,6-3,0.0,0.0,3,0.0,Travaughn Colwell,,75,0.0,62.7,3,488,6.5,travaughn-colwell-1,89,6,QB,0.0,122.5,1.0,39.0,39.0,1.0,88,0,227,2.6,1,0.0,,Career,6.0,0.0,New Mexico State,16.0,1,,200,266,3.0,,0.0,,
cassius-corley-1,2014,,4,,,,0,0,,5.0,6-1,1,0,,,Cassius Corley,,,2,,,,,cassius-corley-1,,,QB,,,,,,,,,,,,0.0,,2014,7,0.0,New Mexico State,11,,,200,,,,10,10.0,FR
cassius-corley-1,2015,,0,,,,0,0,,1.0,6-1,0,0,,,Cassius Corley,,,0,,,,,cassius-corley-1,,,WR,,,,,,,,,,,,0.0,,2015,0,0.0,New Mexico State,0,,,200,,,,0,,SO
cassius-corley-1,2016,,1,,,,0,0,,1.0,6-1,0,0,,,Cassius Corley,,,1,,,,,cassius-corley-1,,,WR,,,,,,,,,,,,0.0,,2016,0,0.0,New Mexico State,1,,,200,,,,0,,SO
cassius-corley-1,2017,,1,,,,0,0,,1.0,6-1,0,0,,,Cassius Corley,,,1,,,,,cassius-corley-1,,,WR,,,,,,,,,,,,0.0,,2017,0,0.0,New Mexico State,1,,,200,,,,0,,JR
cassius-corley-1,Career,,6,,,,0,0,,,6-1,1,0,,,Cassius Corley,,,4,,,,,cassius-corley-1,,,WR,,,,,,,,,,,,0.0,,Career,7,0.0,New Mexico State,13,,,200,,,,10,10.0,
king-davis-iii-1,2013,7.3,0.0,26.0,,,0.0,0.0,,6.0,6-1,0.0,0.0,1.0,,King Davis III,,50.0,0.0,52.0,2.0,371.0,7.4,king-davis-iii-1,43,,QB,,123.5,0.0,0.0,,0.0,43.0,0.0,165.0,3.8,0,0.0,,2013,0.0,0.0,New Mexico State,0.0,,,214,165,3.8,,0.0,,FR
king-davis-iii-1,2014,,10.0,0.0,,,0.0,0.0,,6.0,6-1,0.0,0.0,0.0,,King Davis III,,0.0,0.0,,0.0,0.0,,king-davis-iii-1,0,,QB,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0,0.0,,2014,11.0,0.0,New Mexico State,21.0,,,214,0,,,0.0,,SO
king-davis-iii-1,2015,,,,,,,,,,6-1,,,,,King Davis III,,,,,,,,king-davis-iii-1,0,,DB,,,,,,,,,,,0,,,2015,,,New Mexico State,,,,214,0,,,,,JR
king-davis-iii-1,Career,7.3,10.0,26.0,,,0.0,0.0,,,6-1,0.0,0.0,1.0,,King Davis III,,50.0,0.0,52.0,2.0,371.0,7.4,king-davis-iii-1,43,,DB,,123.5,0.0,0.0,,0.0,43.0,0.0,165.0,3.8,0,0.0,,Career,11.0,0.0,New Mexico State,21.0,,,214,165,3.8,,0.0,,
jason-fitzpatrick-1,2014,,1,,,,0,0,,1.0,6-2,0,0,,,Jason Fitzpatrick,,,0,,,,,jason-fitzpatrick-1,,,QB,,,,,,,,,,,,0.0,,2014,0,0.0,New Mexico State,1,,,205,,,,0,,SO
jason-fitzpatrick-1,2015,,0,,,,0,0,,1.0,6-2,0,0,,,Jason Fitzpatrick,,,0,,,,,jason-fitzpatrick-1,,,QB,,,,,,,,,,,,0.0,,2015,1,0.0,New Mexico State,1,,,205,,,,0,,JR
