,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
lamar-jordan-1,2014,7.1,,59,0,0,,,,11.0,6-0,,,5,0,Lamar Jordan,,112,,52.7,6,895,8.0,lamar-jordan-1,120,18,QB,0,128.6,0,0,,0,120,3,612,5.1,3,,,2014,,,New Mexico,,3,,192,612,5.1,,,,FR
lamar-jordan-1,2015,6.4,,60,0,0,,,,12.0,6-0,,,8,0,Lamar Jordan,,117,,51.3,5,1006,8.6,lamar-jordan-1,147,54,QB,0,123.9,0,0,,0,147,9,807,5.5,9,,,2015,,,New Mexico,,9,,192,807,5.5,,,,SO
lamar-jordan-1,2016,8.3,,40,0,0,,,,12.0,6-0,,,4,0,Lamar Jordan,,75,,53.3,6,681,9.1,lamar-jordan-1,114,18,QB,0,145.3,0,0,,0,114,3,739,6.5,3,,,2016,,,New Mexico,,3,,192,739,6.5,,,,JR
lamar-jordan-1,2017,4.2,,46,0,0,,,,11.0,6-0,,,6,0,Lamar Jordan,,93,,49.5,3,604,6.5,lamar-jordan-1,77,12,QB,0,101.8,0,0,,0,77,2,343,4.5,2,,,2017,,,New Mexico,,2,,192,343,4.5,,,,SR
lamar-jordan-1,Career,6.4,,205,0,0,,,,,6-0,,,23,0,Lamar Jordan,,397,,51.6,20,3186,8.0,lamar-jordan-1,458,102,QB,0,124.1,0,0,,0,458,17,2501,5.5,17,,,Career,,,New Mexico,,17,,192,2501,5.5,,,,
cole-gautsche-1,2012,5.5,,13.0,,,,,,11.0,6-4,,,2.0,,Cole Gautsche,,31.0,,41.9,2.0,222.0,7.2,cole-gautsche-1,109,42,QB,,110.5,,,,,109.0,7.0,760.0,7.0,7,,,2012,,,New Mexico,,7,,252,760,7.0,,,,FR
cole-gautsche-1,2013,7.7,0.0,35.0,0.0,0.0,0.0,0.0,,9.0,6-4,0.0,0.0,4.0,0.0,Cole Gautsche,,78.0,0.0,44.9,7.0,639.0,8.2,cole-gautsche-1,118,48,QB,0.0,133.0,0.0,0.0,,0.0,118.0,8.0,777.0,6.6,8,0.0,,2013,1.0,0.0,New Mexico,1.0,8,,252,777,6.6,,0.0,,SO
cole-gautsche-1,2014,4.0,0.0,12.0,0.0,0.0,0.0,0.0,,6.0,6-4,0.0,0.0,0.0,0.0,Cole Gautsche,,26.0,0.0,46.2,0.0,105.0,4.0,cole-gautsche-1,42,12,QB,0.0,80.1,0.0,0.0,,0.0,42.0,2.0,322.0,7.7,2,0.0,,2014,0.0,0.0,New Mexico,0.0,2,,252,322,7.7,,0.0,,JR
cole-gautsche-1,2015,,,,,,,,,,6-4,,,,,Cole Gautsche,,,,,,,,cole-gautsche-1,0,0,TE,,,,,,,,,,,0,,,2015,,,New Mexico,,0,,252,0,,,,,SR
cole-gautsche-1,2016,,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,6-4,0.0,0.0,0.0,0.0,Cole Gautsche,,0.0,0.0,,0.0,0.0,,cole-gautsche-1,2,0,TE,0.0,,0.0,14.0,7.0,2.0,0.0,0.0,0.0,,0,0.0,,2016,1.0,0.0,New Mexico,1.0,0,,252,14,7.0,,0.0,,SR
