,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
jacoby-brissett-2,2011,1.7,,18,,,,,,8.0,6-4,,,4,,Jacoby Brissett,,39,,46.2,2,206,5.3,jacoby-brissett-2,13,12,QB,,86.9,,,,,13,2,7,0.5,2,,,2011,,,Florida,,2,,235,7,0.5,,,,FR
jacoby-brissett-2,2012,7.7,,23,,,,,,5.0,6-4,,,0,,Jacoby Brissett,,35,,65.7,1,249,7.1,jacoby-brissett-2,7,6,QB,,134.9,,,,,7,1,-4,-0.6,1,,,2012,,,Florida,,1,,235,-4,-0.6,,,,SO
jacoby-brissett-2,2014,7.7,0.0,221,0.0,0.0,0.0,0.0,,13.0,6-4,0.0,0.0,5,0.0,Jacoby Brissett,,370,0.0,59.7,23,2606,7.0,jacoby-brissett-2,125,18,QB,0.0,136.7,0.0,20.0,20.0,1.0,124,3,529,4.3,3,0.0,,2014,1.0,0.0,North Carolina State,1.0,3,,235,549,4.4,,0.0,,JR
jacoby-brissett-2,2015,7.1,0.0,237,0.0,0.0,0.0,0.0,,13.0,6-4,0.0,0.0,6,0.0,Jacoby Brissett,,395,0.0,60.0,20,2662,6.7,jacoby-brissett-2,139,36,QB,0.0,130.3,0.0,0.0,,0.0,139,6,370,2.7,6,0.0,,2015,0.0,0.0,North Carolina State,0.0,6,,235,370,2.7,,0.0,,SR
jacoby-brissett-2,Career,7.1,0.0,499,0.0,0.0,0.0,0.0,,,6-4,0.0,0.0,15,0.0,Jacoby Brissett,,839,0.0,59.5,46,5723,6.8,jacoby-brissett-2,284,72,QB,0.0,131.3,0.0,20.0,20.0,1.0,283,12,902,3.2,12,0.0,,Career,1.0,0.0,Overall,1.0,12,,235,922,3.2,,0.0,,
garrett-leatham-1,2013,9.8,,9,,,,,,3.0,6-4,,,0,,Garrett Leatham,,17,,52.9,1,146,8.6,garrett-leatham-1,4,,QB,,144.5,0,0,,0,4,0,-9,-2.3,0,,,2013,,,North Carolina State,,,,220,-9,-2.3,,,,SO
garrett-leatham-1,2014,-6.2,,1,,,,,,3.0,6-4,,,1,,Garrett Leatham,,6,,16.7,0,8,1.3,garrett-leatham-1,1,,QB,,-5.5,0,0,,0,1,0,-3,-3.0,0,,,2014,,,North Carolina State,,,,220,-3,-3.0,,,,JR
garrett-leatham-1,Career,5.6,,10,,,,,,,6-4,,,1,,Garrett Leatham,,23,,43.5,1,154,6.7,garrett-leatham-1,5,,QB,,105.4,0,0,,0,5,0,-12,-2.4,0,,,Career,,,North Carolina State,,,,220,-12,-2.4,,,,
josh-taylor-3,2013,0.0,,0.0,,,,,,2.0,5-11,,,0.0,,Josh Taylor,,1.0,,0.0,0.0,0.0,0.0,josh-taylor-3,2,,QB,,0.0,0.0,0.0,,0.0,2.0,0.0,-4.0,-2.0,0,,,2013,,,North Carolina State,,,,189,-4,-2.0,,,,FR
josh-taylor-3,2014,,,0.0,,,,,,1.0,5-11,,,0.0,,Josh Taylor,,0.0,,,0.0,0.0,,josh-taylor-3,4,,QB,,,0.0,0.0,,0.0,4.0,0.0,28.0,7.0,0,,,2014,,,North Carolina State,,,,189,28,7.0,,,,SO
josh-taylor-3,2015,,,,,,,,,,5-11,,,,,Josh Taylor,,,,,,,,josh-taylor-3,0,,QB,,,,,,,,,,,0,,,2015,,,North Carolina State,,,,189,0,,,,,JR
josh-taylor-3,Career,0.0,,0.0,,,,,,,5-11,,,0.0,,Josh Taylor,,1.0,,0.0,0.0,0.0,0.0,josh-taylor-3,6,,QB,,0.0,0.0,0.0,,0.0,6.0,0.0,24.0,4.0,0,,,Career,,,North Carolina State,,,,189,24,4.0,,,,
shadrach-thornton-1,2012,,,,,,,,,10.0,6-1,,,,,Shadrach Thornton,,,,,,,,shadrach-thornton-1,184,24,RB,,,1,274,9.1,30,154,3,694,4.5,4,,,2012,,,North Carolina State,,4,,218,968,5.3,,,,FR
shadrach-thornton-1,2013,,0.0,0.0,0.0,0.0,0.0,0.0,,11.0,6-1,0.0,0.0,0.0,0.0,Shadrach Thornton,,0.0,0.0,,0.0,0.0,,shadrach-thornton-1,181,24,RB,0.0,,0,97,6.1,16,165,4,768,4.7,4,0.0,,2013,1.0,0.0,North Carolina State,1.0,4,,218,865,4.8,,0.0,,SO
shadrach-thornton-1,2014,38.0,0.0,1.0,0.0,0.0,0.0,0.0,,13.0,6-1,0.0,0.0,0.0,0.0,Shadrach Thornton,,1.0,0.0,100.0,1.0,18.0,18.0,shadrach-thornton-1,179,60,RB,0.0,581.2,1,133,8.9,15,164,9,907,5.5,10,0.0,,2014,1.0,0.0,North Carolina State,1.0,10,,218,1040,5.8,,0.0,,JR
shadrach-thornton-1,2015,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,6-1,0.0,0.0,0.0,0.0,Shadrach Thornton,,0.0,0.0,,0.0,0.0,,shadrach-thornton-1,30,18,RB,0.0,,0,0,,0,30,3,203,6.8,3,0.0,,2015,0.0,0.0,North Carolina State,0.0,3,,218,203,6.8,,0.0,,SR
shadrach-thornton-1,Career,38.0,0.0,1.0,0.0,0.0,0.0,0.0,,,6-1,0.0,0.0,0.0,0.0,Shadrach Thornton,,1.0,0.0,100.0,1.0,18.0,18.0,shadrach-thornton-1,574,126,RB,0.0,581.2,2,504,8.3,61,513,19,2572,5.0,21,0.0,,Career,2.0,0.0,North Carolina State,2.0,21,,218,3076,5.4,,0.0,,
matt-dayes-1,2013,,1,,0,0,0,0,,11.0,5-9,0,0,,0,Matt Dayes,,,0,,,,,matt-dayes-1,73,30,RB,0,,1,173,17.3,10,63,4,252,4.0,5,0.0,,2013,0,0.0,North Carolina State,1,5,,205,425,5.8,,0,,FR
matt-dayes-1,2014,,0,,0,0,0,0,,13.0,5-9,0,0,,0,Matt Dayes,,,0,,,,,matt-dayes-1,136,78,RB,0,,5,321,10.0,32,104,8,573,5.5,13,0.0,,2014,0,0.0,North Carolina State,0,13,,205,894,6.6,,0,,SO
matt-dayes-1,2015,,0,,0,0,0,0,,8.0,5-9,0,0,,0,Matt Dayes,,,0,,,,,matt-dayes-1,158,72,RB,0,,0,172,7.2,24,134,12,865,6.5,12,0.0,,2015,0,0.0,North Carolina State,0,12,,205,1037,6.6,,0,,JR
matt-dayes-1,2016,,0,,0,0,0,0,,13.0,5-9,0,0,,0,Matt Dayes,,,0,,,,,matt-dayes-1,281,60,RB,0,,0,271,8.5,32,249,10,1166,4.7,10,0.0,,2016,3,0.0,North Carolina State,3,10,,205,1437,5.1,,0,,SR
