,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
marquise-williams-1,2012,8.6,,10,,,,,,9.0,6-2,,,0,,Marquise Williams,,17,,58.8,1,127,7.5,marquise-williams-1,29,18,QB,,141.0,,,,,29,3,186,6.4,3,,,2012,,,North Carolina,,3,,225,186,6.4,,,,FR
marquise-williams-1,2013,8.0,,126,0.0,0.0,,,,11.0,6-2,,,6,0.0,Marquise Williams,,217,,58.1,15,1698,7.8,marquise-williams-1,113,42,QB,0.0,141.1,1.0,52.0,26.0,2.0,111,6,536,4.8,7,,,2013,,,North Carolina,,7,,225,588,5.2,,,,SO
marquise-williams-1,2014,7.2,,270,0.0,0.0,,,,13.0,6-2,,,9,0.0,Marquise Williams,,428,,63.1,21,3068,7.2,marquise-williams-1,195,84,QB,0.0,135.3,1.0,17.0,8.5,2.0,193,13,788,4.1,14,,,2014,,,North Carolina,,14,,225,805,4.1,,,,JR
marquise-williams-1,2015,8.7,,218,0.0,0.0,,,,14.0,6-2,,,10,0.0,Marquise Williams,,356,,61.2,24,3072,8.6,marquise-williams-1,159,84,QB,0.0,150.4,1.0,37.0,37.0,1.0,158,13,948,6.0,14,,,2015,,,North Carolina,,14,,225,985,6.2,,,,SR
marquise-williams-1,Career,7.9,,624,0.0,0.0,,,,,6-2,,,25,0.0,Marquise Williams,,1018,,61.3,61,7965,7.8,marquise-williams-1,496,228,QB,0.0,141.9,3.0,106.0,21.2,5.0,491,35,2458,5.0,38,,,Career,,,North Carolina,,38,,225,2564,5.2,,,,
mitch-trubisky-1,2014,4.9,0,42,0,0,0,0,,9.0,6-2,0,0,4,0,Mitch Trubisky,,78,0,53.8,5,459,5.9,mitch-trubisky-1,11,0,QB,0,114.2,0,0,,0,11,0,30,2.7,0,0.0,,2014,1,0.0,North Carolina,1,0,,222,30,2.7,,0,,SO
mitch-trubisky-1,2015,14.4,0,40,0,0,0,0,,9.0,6-2,0,0,0,0,Mitch Trubisky,,47,0,85.1,6,555,11.8,mitch-trubisky-1,16,18,QB,0,226.4,0,0,,0,16,3,101,6.3,3,0.0,,2015,0,0.0,North Carolina,0,3,,222,101,6.3,,0,,SO
mitch-trubisky-1,2016,9.1,0,304,0,0,0,0,,13.0,6-2,0,0,6,0,Mitch Trubisky,,447,0,68.0,30,3748,8.4,mitch-trubisky-1,94,30,QB,0,157.9,0,8,8.0,1,93,5,308,3.3,5,0.0,,2016,0,0.0,North Carolina,0,5,,222,316,3.4,,0,,JR
mitch-trubisky-1,Career,9.0,0,386,0,0,0,0,,,6-2,0,0,10,0,Mitch Trubisky,,572,0,67.5,41,4762,8.3,mitch-trubisky-1,121,48,QB,0,157.6,0,8,8.0,1,120,8,439,3.7,8,0.0,,Career,1,0.0,North Carolina,1,8,,222,447,3.7,,0,,
tj-logan-1,2013,,0,,0,0,0,0,,9.0,5-9,0,0,,2,T.J. Logan,,,0,,,,,tj-logan-1,103,36,RB,0,,0,124,12.4,10,93,4,533,5.7,4,0.0,,2013,0,0.0,North Carolina,0,6,,196,657,6.4,,0,,FR
tj-logan-1,2014,,0,,0,0,0,0,,13.0,5-9,0,0,,1,T.J. Logan,,,0,,,,,tj-logan-1,145,24,RB,0,,0,144,5.5,26,119,3,582,4.9,3,0.0,,2014,0,0.0,North Carolina,0,4,,196,726,5.0,,0,,SO
tj-logan-1,2015,,0,,0,0,0,0,,14.0,5-9,0,0,,0,T.J. Logan,,,0,,,,,tj-logan-1,77,36,RB,0,,1,151,13.7,11,66,5,400,6.1,6,0.0,,2015,2,0.0,North Carolina,2,6,,196,551,7.2,,0,,JR
tj-logan-1,2016,,0,,0,0,0,0,,13.0,5-9,0,0,,2,T.J. Logan,,,0,,,,,tj-logan-1,149,72,RB,0,,3,244,8.4,29,120,7,650,5.4,10,0.0,,2016,1,0.0,North Carolina,1,12,,196,894,6.0,,0,,SR
tj-logan-1,Career,,0,,0,0,0,0,,,5-9,0,0,,5,T.J. Logan,,,0,,,,,tj-logan-1,474,168,RB,0,,4,663,8.7,76,398,19,2165,5.4,23,0.0,,Career,3,0.0,North Carolina,3,28,,196,2828,6.0,,0,,
elijah-hood-1,2014,,0,,0,0,0,0,,8.0,5-11,0,0,,0,Elijah Hood,,,0,,,,,elijah-hood-1,69,24,RB,0,,0,-2,-1.0,2,67,4,259,3.9,4,0.0,,2014,0,0.0,North Carolina,0,4,,232,257,3.7,,0,,FR
elijah-hood-1,2015,,0,,0,0,0,0,,14.0,5-11,0,0,,0,Elijah Hood,,,0,,,,,elijah-hood-1,231,102,RB,0,,0,71,5.5,13,218,17,1463,6.7,17,0.0,,2015,0,0.0,North Carolina,0,17,,232,1534,6.6,,0,,SO
elijah-hood-1,2016,,1,,0,0,0,0,,11.0,5-11,0,0,,0,Elijah Hood,,,0,,,,,elijah-hood-1,170,48,RB,0,,0,142,5.7,25,145,8,858,5.9,8,0.0,,2016,0,0.0,North Carolina,1,8,,232,1000,5.9,,0,,JR
elijah-hood-1,Career,,1,,0,0,0,0,,,5-11,0,0,,0,Elijah Hood,,,0,,,,,elijah-hood-1,470,174,RB,0,,0,211,5.3,40,430,29,2580,6.0,29,0.0,,Career,0,0.0,North Carolina,1,29,,232,2791,5.9,,0,,
romar-morris-1,2012,,2,,,,,,,12.0,5-10,,,,0,Romar Morris,,,,,,,,romar-morris-1,81,24,RB,0,,2,204,17.0,12,69,2,386,5.6,4,0.0,,2012,0,0.0,North Carolina,2,4,,190,590,7.3,,,,FR
romar-morris-1,2013,,0,,0.0,0.0,0.0,0.0,,10.0,5-10,0.0,0.0,,0,Romar Morris,,,0.0,,,,,romar-morris-1,81,30,RB,0,,0,63,5.3,12,69,5,296,4.3,5,0.0,,2013,0,0.0,North Carolina,0,5,,190,359,4.4,,0.0,,SO
romar-morris-1,2014,,0,,0.0,0.0,0.0,0.0,,12.0,5-10,0.0,0.0,,0,Romar Morris,,,0.0,,,,,romar-morris-1,86,24,RB,0,,0,178,8.5,21,65,4,278,4.3,4,0.0,,2014,0,0.0,North Carolina,0,4,,190,456,5.3,,0.0,,JR
romar-morris-1,2015,,0,,0.0,0.0,0.0,0.0,,10.0,5-10,0.0,0.0,,0,Romar Morris,,,0.0,,,,,romar-morris-1,19,6,RB,0,,0,54,6.0,9,10,1,64,6.4,1,0.0,,2015,0,0.0,North Carolina,0,1,,190,118,6.2,,0.0,,SR
romar-morris-1,Career,,2,,0.0,0.0,0.0,0.0,,,5-10,0.0,0.0,,0,Romar Morris,,,0.0,,,,,romar-morris-1,267,84,RB,0,,2,499,9.2,54,213,12,1024,4.8,14,0.0,,Career,0,0.0,North Carolina,2,14,,190,1523,5.7,,0.0,,
khris-francis-1,2013,,0,,0,0,0,0,,11.0,5-9,0,0,,0,Khris Francis,,,0,,,,,khris-francis-1,74,12,RB,0,,1,82,7.5,11,63,1,236,3.7,2,0.0,,2013,0,0.0,North Carolina,0,2,,210,318,4.3,,0,,FR
khris-francis-1,2014,,0,,0,0,0,0,,7.0,5-9,0,0,,0,Khris Francis,,,0,,,,,khris-francis-1,17,0,RB,0,,0,28,5.6,5,12,0,26,2.2,0,0.0,,2014,0,0.0,North Carolina,0,0,,210,54,3.2,,0,,SO
khris-francis-1,2015,,1,,0,0,0,0,,4.0,5-9,0,0,,0,Khris Francis,,,0,,,,,khris-francis-1,11,0,RB,0,,0,0,,0,11,0,37,3.4,0,0.0,,2015,0,0.0,North Carolina,1,0,,210,37,3.4,,0,,JR
khris-francis-1,2016,,1,,0,0,0,0,,11.0,5-9,0,0,,0,Khris Francis,,,0,,,,,khris-francis-1,19,0,RB,0,,0,46,11.5,4,15,0,49,3.3,0,0.0,,2016,4,1.0,North Carolina,5,0,,210,95,5.0,,0,,SR
khris-francis-1,Career,,2,,0,0,0,0,,,5-9,0,0,,0,Khris Francis,,,0,,,,,khris-francis-1,121,12,RB,0,,1,156,7.8,20,101,1,348,3.4,2,0.0,,Career,4,1.0,North Carolina,6,2,,210,504,4.2,,0,,
charles-brunson-1,2013,,0,,0,0,0,0,,2.0,5-11,0,0,,0,Charles Brunson,,,0,,,,,charles-brunson-1,9,0,RB,0,,0,0,,0,9,0,58,6.4,0,0.0,,2013,0,0.0,North Carolina,0,0,,205,58,6.4,,0,,SO
charles-brunson-1,2014,,0,,0,0,0,0,,3.0,5-11,0,0,,0,Charles Brunson,,,0,,,,,charles-brunson-1,12,12,RB,0,,0,0,,0,12,2,77,6.4,2,0.0,,2014,0,0.0,North Carolina,0,2,,205,77,6.4,,0,,SO
charles-brunson-1,2015,,1,,0,0,0,0,,4.0,5-11,0,0,,0,Charles Brunson,,,0,,,,,charles-brunson-1,10,6,RB,0,,0,0,0.0,1,9,1,25,2.8,1,0.0,,2015,2,0.0,North Carolina,3,1,,205,25,2.5,,0,,JR
charles-brunson-1,Career,,1,,0,0,0,0,,,5-11,0,0,,0,Charles Brunson,,,0,,,,,charles-brunson-1,31,18,RB,0,,0,0,0.0,1,30,3,160,5.3,3,0.0,,Career,2,0.0,North Carolina,3,3,,205,160,5.2,,0,,
ryan-switzer-1,2013,79.0,0,1,0,0,0,0,,13.0,5-8,0,0,0,0,Ryan Switzer,,1,0,100.0,1,59,59.0,ryan-switzer-1,42,48,UT,5,925.6,3,341,10.7,32,10,0,29,2.9,3,0.0,,2013,0,0.0,North Carolina,0,8,,181,370,8.8,,0,,FR
ryan-switzer-1,2014,55.0,0,1,0,0,0,0,,13.0,5-8,0,0,0,0,Ryan Switzer,,1,0,100.0,1,35,35.0,ryan-switzer-1,69,24,WR,0,724.0,4,757,12.4,61,8,0,29,3.6,4,0.0,,2014,0,0.0,North Carolina,0,4,,181,786,11.4,,0,,SO
ryan-switzer-1,2015,5.5,0,1,0,0,0,0,,14.0,5-8,0,0,0,0,Ryan Switzer,,2,0,50.0,0,11,5.5,ryan-switzer-1,58,48,WR,2,96.2,6,693,12.8,54,4,0,10,2.5,6,0.0,,2015,3,0.0,North Carolina,3,8,,181,703,12.1,,0,,JR
