,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
andrew-mcnulty-1,2011,4.6,0,28,,,0,0,,7.0,6-1,,,3,,Andrew McNulty,,51,0,54.9,1,352,6.9,andrew-mcnulty-1,23,6,QB,,107.6,,,,,23,1,57,2.5,1,0.0,,2011,2,0.0,North Texas,2,1,,211,57,2.5,,,,FR
andrew-mcnulty-1,2013,-1.5,0,5,0.0,0.0,0,0,,5.0,6-1,0.0,0.0,1,0.0,Andrew McNulty,,6,0,83.3,0,36,6.0,andrew-mcnulty-1,4,0,QB,0.0,100.4,0.0,0.0,,0.0,4,0,4,1.0,0,0.0,,2013,0,0.0,North Texas,0,0,,211,4,1.0,,0.0,,SO
andrew-mcnulty-1,2014,5.4,0,110,0.0,0.0,0,0,,10.0,6-1,0.0,0.0,7,0.0,Andrew McNulty,,202,0,54.5,6,1295,6.4,andrew-mcnulty-1,42,12,QB,0.0,111.2,0.0,0.0,,0.0,42,2,54,1.3,2,0.0,,2014,0,0.0,North Texas,0,2,,211,54,1.3,,0.0,,JR
andrew-mcnulty-1,2015,4.1,2,81,0.0,0.0,0,0,,8.0,6-1,0.0,0.0,4,0.0,Andrew McNulty,,170,0,47.6,3,820,4.8,andrew-mcnulty-1,26,0,QB,0.0,89.3,0.0,0.0,,0.0,26,0,-23,-0.9,0,0.0,,2015,0,0.0,North Texas,2,0,,211,-23,-0.9,,0.0,,SR
andrew-mcnulty-1,Career,4.7,2,224,0.0,0.0,0,0,,,6-1,0.0,0.0,15,0.0,Andrew McNulty,,429,0,52.2,10,2503,5.8,andrew-mcnulty-1,95,18,QB,0.0,101.9,0.0,0.0,,0.0,95,3,92,1.0,3,0.0,,Career,2,0.0,North Texas,4,3,,211,92,1.0,,0.0,,
dajon-williams-1,2013,9.2,,5,0,0,,,,1.0,6-3,,,0,0,Dajon Williams,,6,,83.3,0,55,9.2,dajon-williams-1,0,0,QB,0,160.3,0,0,,0,0,0,0,,0,,,2013,,,North Texas,,0,,202,0,,,,,FR
dajon-williams-1,2014,7.4,,46,0,0,,,,8.0,6-3,,,4,0,Dajon Williams,,77,,59.7,7,607,7.9,dajon-williams-1,39,12,QB,0,145.6,0,0,,0,39,2,125,3.2,2,,,2014,,,North Texas,,2,,202,125,3.2,,,,FR
dajon-williams-1,Career,7.5,,51,0,0,,,,,6-3,,,4,0,Dajon Williams,,83,,61.4,7,662,8.0,dajon-williams-1,39,12,QB,0,146.6,0,0,,0,39,2,125,3.2,2,,,Career,,,North Texas,,2,,202,125,3.2,,,,
josh-greer-1,2014,1.6,0,24,0,0,0,0,,4.0,6-5,0,0,2,0,Josh Greer,,50,0,48.0,0,171,3.4,josh-greer-1,10,6,QB,0,68.7,0,0,,0,10,1,-42,-4.2,1,0.0,,2014,3,0.0,North Texas,3,1,,212,-42,-4.2,,0,,SO
josh-greer-1,2015,0.3,0,8,0,0,0,0,,4.0,6-5,0,0,2,0,Josh Greer,,24,0,33.3,0,97,4.0,josh-greer-1,3,0,QB,0,50.6,0,0,,0,3,0,-7,-2.3,0,0.0,,2015,0,0.0,North Texas,0,0,,212,-7,-2.3,,0,,JR
