,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
drew-hare-1,2013,21.4,0,5,0,0,0,0,,2.0,6-1,0,0,0,0,Drew Hare,,9,0,55.6,2,153,17.0,drew-hare-1,5,6,QB,0,271.7,0,0,,0,5,1,68,13.6,1,0.0,,2013,0,0.0,Northern Illinois,0,1,,218,68,13.6,,0,,FR
drew-hare-1,2014,8.0,0,194,0,0,0,0,,14.0,6-1,0,0,2,0,Drew Hare,,326,0,59.5,18,2322,7.1,drew-hare-1,160,48,QB,0,136.3,0,18,18.0,1,159,8,900,5.7,8,0.0,,2014,1,0.0,Northern Illinois,1,8,,218,918,5.7,,0,,SO
drew-hare-1,2015,8.0,0,164,0,0,0,0,,9.0,6-1,0,0,4,0,Drew Hare,,257,0,63.8,14,1962,7.6,drew-hare-1,104,6,QB,0,142.8,0,0,,0,104,1,252,2.4,1,0.0,,2015,0,0.0,Northern Illinois,0,1,,218,252,2.4,,0,,JR
drew-hare-1,2016,8.2,3,37,0,0,0,0,,5.0,6-1,0,0,0,0,Drew Hare,,59,0,62.7,3,425,7.2,drew-hare-1,16,6,QB,0,140.0,0,0,,0,16,1,-19,-1.2,1,0.0,,2016,0,0.0,Northern Illinois,3,1,,218,-19,-1.2,,0,,SR
drew-hare-1,Career,8.2,3,400,0,0,0,0,,,6-1,0,0,6,0,Drew Hare,,651,0,61.4,37,4862,7.5,drew-hare-1,285,66,QB,0,141.1,0,18,18.0,1,284,11,1201,4.2,11,0.0,,Career,1,0.0,Northern Illinois,4,11,,218,1219,4.3,,0,,
anthony-maddie-1,2014,5.5,,20.0,0.0,0.0,,,,8.0,6-1,,,1.0,0.0,Anthony Maddie,,33.0,,60.6,0.0,227.0,6.9,anthony-maddie-1,44,6,QB,0.0,112.3,0.0,0.0,,0.0,44.0,1.0,201.0,4.6,1,,,2014,,,Northern Illinois,,1,,203,201,4.6,,,,SO
anthony-maddie-1,2015,,,,,,,,,,6-1,,,,,Anthony Maddie,,,,,,,,anthony-maddie-1,0,0,QB,,,,,,,,,,,0,,,2015,,,Northern Illinois,,0,,203,0,,,,,JR
anthony-maddie-1,2016,6.6,,105.0,0.0,0.0,,,,7.0,6-1,,,5.0,0.0,Anthony Maddie,,175.0,,60.0,8.0,1213.0,6.9,anthony-maddie-1,83,42,QB,0.0,127.6,0.0,9.0,9.0,1.0,82.0,7.0,558.0,6.8,7,,,2016,,,Northern Illinois,,7,,203,567,6.8,,,,SR
anthony-maddie-1,Career,6.4,,125.0,0.0,0.0,,,,,6-1,,,6.0,0.0,Anthony Maddie,,208.0,,60.1,8.0,1440.0,6.9,anthony-maddie-1,127,48,QB,0.0,125.2,0.0,9.0,9.0,1.0,126.0,8.0,759.0,6.0,8,,,Career,,,Northern Illinois,,8,,203,768,6.0,,,,
matt-mcintosh-1,2012,5.9,,7,,,,,,6.0,6-1,,,0,,Matt McIntosh,,13,,53.8,1,57,4.4,matt-mcintosh-1,25,12,QB,,116.1,,,,,25,2,92,3.7,2,,,2012,,,Northern Illinois,,2,,213,92,3.7,,,,SO
