,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
trevor-siemian-1,2011,10.4,0.0,16,,,0.0,0.0,,8.0,6-3,,,1,,Trevor Siemian,,26,0.0,61.5,3,256,9.8,trevor-siemian-1,5,0,QB,,174.6,,,,,5,0,19,3.8,0,0.0,,2011,0.0,0.0,Northwestern,0.0,0,,210,19,3.8,,,,FR
trevor-siemian-1,2012,5.9,,128,,,,,,13.0,6-3,,,3,,Trevor Siemian,,218,,58.7,6,1312,6.0,trevor-siemian-1,21,6,QB,,115.6,,,,,21,1,48,2.3,1,,,2012,,,Northwestern,,1,,210,48,2.3,,,,SO
trevor-siemian-1,2013,6.6,0.0,178,0.0,0.0,0.0,0.0,,12.0,6-3,0.0,0.0,9,0.0,Trevor Siemian,,298,0.0,59.7,11,2149,7.2,trevor-siemian-1,48,0,QB,0.0,126.4,0.0,0.0,,0.0,48,0,33,0.7,0,0.0,,2013,1.0,0.0,Northwestern,1.0,0,,210,33,0.7,,0.0,,JR
trevor-siemian-1,2014,4.7,3.0,228,0.0,0.0,0.0,0.0,,11.0,6-3,0.0,0.0,11,0.0,Trevor Siemian,,392,0.0,58.2,7,2214,5.6,trevor-siemian-1,69,36,QB,0.0,105.9,1.0,17.0,17.0,1.0,68,5,-123,-1.8,6,0.0,,2014,0.0,0.5,Northwestern,3.0,6,,210,-106,-1.5,,0.0,,SR
trevor-siemian-1,Career,5.8,3.0,550,0.0,0.0,0.0,0.0,,,6-3,0.0,0.0,24,0.0,Trevor Siemian,,934,0.0,58.9,27,5931,6.4,trevor-siemian-1,143,42,QB,0.0,116.6,1.0,17.0,17.0,1.0,142,6,-23,-0.2,7,0.0,,Career,1.0,0.5,Northwestern,4.0,7,,210,-6,0.0,,0.0,,
zack-oliver-1,2012,7.0,,2,,,,,,2.0,6-4,,,0,,Zack Oliver,,2,,100.0,0,14,7.0,zack-oliver-1,0,0,QB,,158.8,,,,,,,,,0,,,2012,,,Northwestern,,0,,230,0,,,,,FR
zack-oliver-1,2013,-22.5,0.0,0,0.0,0.0,0.0,0.0,,2.0,6-4,0.0,0.0,1,0.0,Zack Oliver,,2,0.0,0.0,0,0,0.0,zack-oliver-1,0,0,QB,0.0,-100.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0,0.0,,2013,0.0,0.0,Northwestern,0.0,0,,230,0,,,0.0,,SO
zack-oliver-1,2014,4.8,0.0,30,0.0,0.0,0.0,0.0,,4.0,6-4,0.0,0.0,3,0.0,Zack Oliver,,57,0.0,52.6,2,367,6.4,zack-oliver-1,14,6,QB,0.0,107.8,0.0,0.0,,0.0,14.0,1.0,28.0,2.0,1,0.0,,2014,0.0,0.0,Northwestern,0.0,1,,230,28,2.0,,0.0,,JR
zack-oliver-1,2015,2.0,0.0,23,0.0,0.0,0.0,0.0,,5.0,6-4,0.0,0.0,4,0.0,Zack Oliver,,53,0.0,43.4,1,267,5.0,zack-oliver-1,8,6,QB,0.0,76.8,0.0,0.0,,0.0,8.0,1.0,-30.0,-3.8,1,0.0,,2015,1.0,0.0,Northwestern,1.0,1,,230,-30,-3.8,,0.0,,SR
zack-oliver-1,Career,3.1,0.0,55,0.0,0.0,0.0,0.0,,,6-4,0.0,0.0,8,0.0,Zack Oliver,,114,0.0,48.2,3,648,5.7,zack-oliver-1,22,12,QB,0.0,90.6,0.0,0.0,,0.0,22.0,2.0,-2.0,-0.1,2,0.0,,Career,1.0,0.0,Northwestern,1.0,2,,230,-2,-0.1,,0.0,,
