,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
everett-golson-1,2012,7.5,1,187,,,,,,12.0,6-0,,,6,,Everett Golson,,318,,58.8,12,2405,7.6,everett-golson-1,94,36,QB,,131.0,,,,,94,6,298,3.2,6,0.0,,2012,0,0.0,Notre Dame,1,6,,199,298,3.2,,,,SO
everett-golson-1,2014,8.0,0,256,0.0,0.0,0.0,0.0,,13.0,6-0,0.0,0.0,14,0.0,Everett Golson,,427,0.0,60.0,29,3445,8.1,everett-golson-1,114,48,QB,0.0,143.6,0.0,0.0,,0.0,114,8,283,2.5,8,0.0,,2014,0,0.0,Notre Dame,0,8,,199,283,2.5,,0.0,,SR
everett-golson-1,2015,8.5,0,147,0.0,0.0,0.0,0.0,,9.0,6-0,0.0,0.0,3,0.0,Everett Golson,,219,0.0,67.1,11,1778,8.1,everett-golson-1,47,0,QB,0.0,149.2,0.0,0.0,,0.0,47,0,-35,-0.7,0,0.0,,2015,0,0.0,Florida State,0,0,,199,-35,-0.7,,0.0,,SR
everett-golson-1,Career,7.9,1,590,0.0,0.0,0.0,0.0,,,6-0,0.0,0.0,23,0.0,Everett Golson,,964,0.0,61.2,52,7628,7.9,everett-golson-1,255,84,QB,0.0,140.7,0.0,0.0,,0.0,255,14,546,2.1,14,0.0,,Career,0,0.0,Overall,1,14,,199,546,2.1,,0.0,,
malik-zaire-1,2014,8.2,,21,0,0,,,,5.0,6-0,,,0,0,Malik Zaire,,35,,60.0,1,266,7.6,malik-zaire-1,33,12,QB,0,133.3,0,0,,0,33,2,187,5.7,2,,,2014,,,Notre Dame,,2,,225,187,5.7,,,,SO
malik-zaire-1,2015,12.7,,26,0,0,,,,2.0,6-0,,,0,0,Malik Zaire,,40,,65.0,4,428,10.7,malik-zaire-1,19,0,QB,0,187.9,0,0,,0,19,0,103,5.4,0,,,2015,,,Notre Dame,,0,,225,103,5.4,,,,JR
malik-zaire-1,2016,6.2,,11,0,0,,,,8.0,6-0,,,0,0,Malik Zaire,,23,,47.8,1,122,5.3,malik-zaire-1,20,0,QB,0,106.7,0,0,,0,20,0,34,1.7,0,,,2016,,,Notre Dame,,0,,225,34,1.7,,,,SR
malik-zaire-1,2017,5.4,,32,0,0,,,,4.0,6-0,,,1,0,Malik Zaire,,56,,57.1,0,349,6.2,malik-zaire-1,22,0,QB,0,105.9,0,0,,0,22,0,39,1.8,0,,,2017,,,Florida,,0,,225,39,1.8,,,,SR
malik-zaire-1,Career,8.1,,90,0,0,,,,,6-0,,,1,0,Malik Zaire,,154,,58.4,6,1165,7.6,malik-zaire-1,94,12,QB,0,133.5,0,0,,0,94,2,363,3.9,2,,,Career,,,Overall,,2,,225,363,3.9,,,,
tarean-folston-1,2013,,0,,0,0,0,0,,9.0,5-10,0,0,,0,Tarean Folston,,,0,,,,,tarean-folston-1,93,18,RB,0,,0,35,7.0,5,88,3,470,5.3,3,0.0,,2013,0,0.0,Notre Dame,0,3,,214,505,5.4,,0,,FR
tarean-folston-1,2014,,1,,0,0,0,0,,13.0,5-10,0,0,,0,Tarean Folston,,,0,,,,,tarean-folston-1,193,42,RB,0,,1,190,10.6,18,175,6,889,5.1,7,0.0,,2014,2,0.0,Notre Dame,3,7,,214,1079,5.6,,0,,SO
tarean-folston-1,2015,,0,,0,0,0,0,,1.0,5-10,0,0,,0,Tarean Folston,,,0,,,,,tarean-folston-1,3,0,RB,0,,0,0,,0,3,0,19,6.3,0,0.0,,2015,0,0.0,Notre Dame,0,0,,214,19,6.3,,0,,JR
