,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
jt-barrett-1,2014,9.8,1,203,0,0,0,0,,12.0,6-2,0,0,10,0,J.T. Barrett,,314,0,64.6,34,2834,9.0,jt-barrett-1,171,66,QB,0,169.8,0,0,,0,171,11,938,5.5,11,0.0,,2014,0,0.0,Ohio State,1,11,,220,938,5.5,,0,,FR
jt-barrett-1,2015,7.0,0,93,0,0,0,0,,11.0,6-2,0,0,4,0,J.T. Barrett,,147,0,63.3,11,992,6.7,jt-barrett-1,115,66,QB,0,139.2,0,0,,0,115,11,682,5.9,11,0.0,,2015,0,0.0,Ohio State,0,11,,220,682,5.9,,0,,SO
jt-barrett-1,2016,7.2,0,233,0,0,0,0,,13.0,6-2,0,0,7,0,J.T. Barrett,,379,0,61.5,24,2555,6.7,jt-barrett-1,205,54,QB,0,135.3,0,0,,0,205,9,845,4.1,9,0.0,,2016,0,0.0,Ohio State,0,9,,220,845,4.1,,0,,JR
jt-barrett-1,2017,9.0,0,240,0,0,0,0,,14.0,6-2,0,0,9,0,J.T. Barrett,,371,0,64.7,35,3053,8.2,jt-barrett-1,165,72,QB,0,160.1,0,0,,0,165,12,798,4.8,12,0.0,,2017,1,0.0,Ohio State,1,12,,220,798,4.8,,0,,SR
jt-barrett-1,Career,8.4,1,769,0,0,0,0,,,6-2,0,0,30,0,J.T. Barrett,,1211,0,63.5,104,9434,7.8,jt-barrett-1,656,258,QB,0,152.3,0,0,,0,656,43,3263,5.0,43,0.0,,Career,1,0.0,Ohio State,2,43,,220,3263,5.0,,0,,
cardale-jones-1,2013,1.5,,1,0,0,,,,3.0,6-5,,,0,0,Cardale Jones,,2,,50.0,0,3,1.5,cardale-jones-1,17,6,QB,0,62.6,0,0,,0,17,1,128,7.5,1,,,2013,,,Ohio State,,1,,250,128,7.5,,,,FR
cardale-jones-1,2014,9.9,,56,0,0,,,,10.0,6-5,,,2,0,Cardale Jones,,92,,60.9,7,860,9.3,cardale-jones-1,72,6,QB,0,160.2,0,0,,0,72,1,296,4.1,1,,,2014,,,Ohio State,,1,,250,296,4.1,,,,SO
cardale-jones-1,2015,8.0,,109,0,0,,,,10.0,6-5,,,5,0,Cardale Jones,,175,,62.3,8,1459,8.3,cardale-jones-1,64,12,QB,0,141.7,0,0,,0,64,2,193,3.0,2,,,2015,,,Ohio State,,2,,250,193,3.0,,,,JR
cardale-jones-1,Career,8.6,,166,0,0,,,,,6-5,,,7,0,Cardale Jones,,269,,61.7,15,2322,8.6,cardale-jones-1,153,24,QB,0,147.4,0,0,,0,153,4,617,4.0,4,,,Career,,,Ohio State,,4,,250,617,4.0,,,,
braxton-miller-1,2011,7.9,0.0,85,,,0.0,0.0,,12.0,6-2,,,4,,Braxton Miller,,157,0.0,54.1,13,1159,7.4,braxton-miller-1,159,42,QB,,138.4,,,,,159,7,715,4.5,7,0.0,,2011,1.0,0.0,Ohio State,1.0,7,,215,715,4.5,,,,FR
