,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
jd-sprague-1,2013,10.3,0,5,0,0,0,0,,4.0,6-1,0,0,0,0,J.D. Sprague,,6,0,83.3,0,62,10.3,jd-sprague-1,5,6,QB,0,170.1,0,0,,0,5,1,33,6.6,1,0.0,,2013,0,0.0,Ohio,0,1,,200,33,6.6,,0,,FR
jd-sprague-1,2014,5.3,0,98,0,0,0,0,,10.0,6-1,0,0,5,0,J.D. Sprague,,202,0,48.5,3,1236,6.1,jd-sprague-1,65,18,QB,0,99.9,0,0,,0,65,3,264,4.1,3,0.0,,2014,1,0.0,Ohio,1,3,,200,264,4.1,,0,,SO
jd-sprague-1,2015,8.0,0,64,0,0,0,0,,7.0,6-1,0,0,3,0,J.D. Sprague,,116,0,55.2,7,921,7.9,jd-sprague-1,52,0,QB,0,136.6,0,0,,0,52,0,225,4.3,0,0.0,,2015,0,0.0,Ohio,0,0,,200,225,4.3,,0,,JR
jd-sprague-1,Career,6.4,0,167,0,0,0,0,,,6-1,0,0,8,0,J.D. Sprague,,324,0,51.5,10,2219,6.8,jd-sprague-1,122,24,QB,0,114.3,0,0,,0,122,4,522,4.3,4,0.0,,Career,1,0.0,Ohio,1,4,,200,522,4.3,,0,,
derrius-vick-1,2012,9.5,,19,,,,,,7.0,6-1,,,1,,Derrius Vick,,30,,63.3,4,249,8.3,derrius-vick-1,18,0,QB,,170.4,0,2,2.0,1,17,0,75,4.4,0,,,2012,,,Ohio,,0,,196,77,4.3,,,,FR
derrius-vick-1,2013,5.6,,21,0.0,0.0,,,,10.0,6-1,,,1,0.0,Derrius Vick,,45,,46.7,1,277,6.2,derrius-vick-1,30,6,QB,0.0,101.3,0,0,,0,30,1,67,2.2,1,,,2013,,,Ohio,,1,,196,67,2.2,,,,SO
derrius-vick-1,2014,7.1,,94,0.0,0.0,,,,8.0,6-1,,,4,0.0,Derrius Vick,,160,,58.8,8,1156,7.2,derrius-vick-1,82,6,QB,0.0,130.9,0,0,,0,82,1,390,4.8,1,,,2014,,,Ohio,,1,,196,390,4.8,,,,JR
derrius-vick-1,2015,7.0,,158,0.0,0.0,,,,10.0,6-1,,,6,0.0,Derrius Vick,,248,,63.7,10,1807,7.3,derrius-vick-1,93,6,QB,0.0,133.4,0,0,,0,93,1,177,1.9,1,,,2015,,,Ohio,,1,,196,177,1.9,,,,SR
derrius-vick-1,Career,7.1,,292,0.0,0.0,,,,,6-1,,,12,0.0,Derrius Vick,,483,,60.5,23,3489,7.2,derrius-vick-1,223,18,QB,0.0,131.9,0,2,2.0,1,222,3,709,3.2,3,,,Career,,,Ohio,,3,,196,711,3.2,,,,
greg-windham-1,2014,6.3,0,10,0,0,0,0,,4.0,6-1,0,0,0,0,Greg Windham,,13,0,76.9,0,82,6.3,greg-windham-1,6,0,QB,0,129.9,0,0,,0,6,0,20,3.3,0,0.0,,2014,0,0.0,Ohio,0,0,,215,20,3.3,,0,,SO
