,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
trevor-knight-1,2013,5.8,,79,0,0,,,,8.0,6-1,,,5,0,Trevor Knight,,134,,59.0,9,819,6.1,trevor-knight-1,67,12,QB,0,125.0,0,0,,0,67,2,445,6.6,2,,,2013,,,Oklahoma,,2,,215,445,6.6,,,,FR
trevor-knight-1,2014,6.5,,179,0,0,,,,10.0,6-1,,,12,0,Trevor Knight,,316,,56.6,14,2300,7.3,trevor-knight-1,69,36,QB,0,124.8,1,4,4.0,1,68,5,339,5.0,6,,,2014,,,Oklahoma,,6,,215,343,5.0,,,,SO
trevor-knight-1,2015,6.4,,22,0,0,,,,6.0,6-1,,,2,0,Trevor Knight,,40,,55.0,2,305,7.6,trevor-knight-1,16,6,QB,0,125.6,0,0,,0,16,1,69,4.3,1,,,2015,,,Oklahoma,,1,,215,69,4.3,,,,JR
trevor-knight-1,2016,6.9,,193,0,0,,,,11.0,6-1,,,7,0,Trevor Knight,,362,,53.3,19,2432,6.7,trevor-knight-1,102,60,QB,0,123.2,0,0,,0,102,10,614,6.0,10,,,2016,,,Texas A&M,,10,,215,614,6.0,,,,SR
trevor-knight-1,Career,6.5,,473,0,0,,,,,6-1,,,26,0,Trevor Knight,,852,,55.5,44,5856,6.9,trevor-knight-1,254,114,QB,0,124.2,1,4,4.0,1,253,18,1467,5.8,19,,,Career,,,Overall,,19,,215,1471,5.8,,,,
cody-thomas-1,2014,3.1,0,30,0,0,0,0,,7.0,6-4,0,0,4,0,Cody Thomas,,66,0,45.5,2,342,5.2,cody-thomas-1,23,6,QB,0,86.9,0,0,,0,23,1,141,6.1,1,0.0,,2014,2,0.0,Oklahoma,2,1,,211,141,6.1,,0,,FR
cody-thomas-1,2015,0.3,0,1,0,0,0,0,,2.0,6-4,0,0,0,0,Cody Thomas,,3,0,33.3,0,1,0.3,cody-thomas-1,0,0,QB,0,36.1,0,0,,0,0,0,0,,0,0.0,,2015,0,0.0,Oklahoma,0,0,,211,0,,,0,,SO
cody-thomas-1,Career,2.9,0,31,0,0,0,0,,,6-4,0,0,4,0,Cody Thomas,,69,0,44.9,2,343,5.0,cody-thomas-1,23,6,QB,0,84.7,0,0,,0,23,1,141,6.1,1,0.0,,Career,2,0.0,Oklahoma,2,1,,211,141,6.1,,0,,
samaje-perine-1,2014,,2,,0,0,0,0,,13.0,5-11,0,0,,0,Samaje Perine,,,0,,,,,samaje-perine-1,278,126,RB,0,,0,108,7.2,15,263,21,1713,6.5,21,0.0,,2014,1,0.0,Oklahoma,3,21,,233,1821,6.6,,0,,FR
samaje-perine-1,2015,,0,,0,0,0,0,,13.0,5-11,0,0,,0,Samaje Perine,,,0,,,,,samaje-perine-1,241,102,RB,0,,1,107,7.1,15,226,16,1349,6.0,17,0.0,,2015,0,0.0,Oklahoma,0,17,,233,1456,6.0,,0,,SO
