,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
taylor-heinicke-1,2014,7.3,0,289,0,0,0,0,,12.0,6-1,0,0,16,0,Taylor Heinicke,,457,0,63.2,30,3476,7.6,taylor-heinicke-1,81,12,QB,0,141.8,0,2,2.0,1,80,2,139,1.7,2,0.0,,2014,2,0.0,Old Dominion,2,2,,213,141,1.7,,0,,SR
taylor-heinicke-1,Career,7.3,0,289,0,0,0,0,,,6-1,0,0,16,0,Taylor Heinicke,,457,0,63.2,30,3476,7.6,taylor-heinicke-1,81,12,QB,0,141.8,0,2,2.0,1,80,2,139,1.7,2,0.0,,Career,2,0.0,Old Dominion,2,2,,213,141,1.7,,0,,
david-washington-4,2014,,0,0,0,0,0,0,,12.0,6-3,0,0,0,0,David Washington,,0,0,,0,0,,david-washington-4,48,24,QB,0,,4,599,12.7,47,1,0,0,0.0,4,0.0,,2014,0,0.0,Old Dominion,0,4,,210,599,12.5,,0,,SO
david-washington-4,2015,7.3,0,94,0,0,0,0,,10.0,6-3,0,0,3,0,David Washington,,161,0,58.4,8,1155,7.2,david-washington-4,48,6,QB,0,131.3,1,67,8.4,8,40,0,131,3.3,1,0.0,,2015,1,0.0,Old Dominion,1,1,,210,198,4.1,,0,,JR
david-washington-4,2016,9.5,0,202,0,0,0,0,,13.0,6-3,0,0,5,0,David Washington,,340,0,59.4,31,2836,8.3,david-washington-4,67,8,QB,0,156.6,0,0,,0,67,1,207,3.1,1,0.0,,2016,1,0.0,Old Dominion,1,1,1.0,210,207,3.1,,0,,SR
david-washington-4,Career,8.8,0,296,0,0,0,0,,,6-3,0,0,8,0,David Washington,,501,0,59.1,39,3991,8.0,david-washington-4,163,38,QB,0,148.5,5,666,12.1,55,108,1,338,3.1,6,0.0,,Career,2,0.0,Old Dominion,2,6,1.0,210,1004,6.2,,0,,
ray-lawry-1,2014,,0,,0,0,0,0,,12.0,5-10,0,0,,0,Ray Lawry,,,0,,,,,ray-lawry-1,151,96,RB,0,,0,155,9.1,17,134,16,947,7.1,16,0.0,,2014,0,0.0,Old Dominion,0,16,,204,1102,7.3,,0,,FR
ray-lawry-1,2015,,0,,0,0,0,0,,11.0,5-10,0,0,,0,Ray Lawry,,,0,,,,,ray-lawry-1,215,72,RB,0,,1,152,7.2,21,194,11,1136,5.9,12,0.0,,2015,1,0.0,Old Dominion,1,12,,204,1288,6.0,,0,,SO
ray-lawry-1,2016,,0,,0,0,0,0,,12.0,5-10,0,0,,0,Ray Lawry,,,0,,,,,ray-lawry-1,211,72,RB,0,,1,134,12.2,11,200,11,1255,6.3,12,0.0,,2016,0,0.0,Old Dominion,0,12,,204,1389,6.6,,0,,JR
ray-lawry-1,2017,,0,,0,0,0,0,,8.0,5-10,0,0,,0,Ray Lawry,,,0,,,,,ray-lawry-1,142,48,RB,0,,1,55,5.0,11,131,7,742,5.7,8,0.0,,2017,0,0.0,Old Dominion,0,8,,204,797,5.6,,0,,SR
