,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
sean-mannion-1,2011,6.0,1.0,305,,,0.0,0.0,,12.0,6-5,,,18,,Sean Mannion,,473,0.0,64.5,16,3328,7.0,sean-mannion-1,32,6,QB,,127.1,,,,,32,1,-190,-5.9,1,0.0,,2011,1.0,0.0,Oregon State,2.0,1,,227,-190,-5.9,,,,FR
sean-mannion-1,2012,7.0,,200,,,,,,10.0,6-5,,,13,,Sean Mannion,,309,,64.7,15,2446,7.9,sean-mannion-1,18,0,QB,,138.8,,,,,18,0,-85,-4.7,0,,,2012,,,Oregon State,,0,,227,-85,-4.7,,,,SO
sean-mannion-1,2013,7.8,0.0,400,0.0,0.0,0.0,0.0,,13.0,6-5,0.0,0.0,15,0.0,Sean Mannion,,603,0.0,66.3,37,4662,7.7,sean-mannion-1,35,0,QB,0.0,146.6,0.0,6.0,6.0,1.0,34,0,-223,-6.6,0,0.0,,2013,0.0,0.0,Oregon State,0.0,0,,227,-217,-6.2,,0.0,,JR
sean-mannion-1,2014,6.9,0.0,282,0.0,0.0,0.0,0.0,,12.0,6-5,0.0,0.0,8,0.0,Sean Mannion,,453,0.0,62.3,15,3164,7.0,sean-mannion-1,48,6,QB,0.0,128.3,0.0,0.0,,0.0,48,1,-306,-6.4,1,0.0,,2014,0.0,0.0,Oregon State,0.0,1,,227,-306,-6.4,,0.0,,SR
sean-mannion-1,Career,7.0,1.0,1187,0.0,0.0,0.0,0.0,,,6-5,0.0,0.0,54,0.0,Sean Mannion,,1838,0.0,64.6,83,13600,7.4,sean-mannion-1,133,12,QB,0.0,135.8,0.0,6.0,6.0,1.0,132,2,-804,-6.1,2,0.0,,Career,1.0,0.0,Oregon State,2.0,2,,227,-798,-6.0,,0.0,,
luke-del-rio-1,2013,,2.0,0.0,,,0.0,0.0,,1.0,6-1,0.0,0.0,0.0,,Luke Del Rio,,0.0,0.0,,0.0,0.0,,luke-del-rio-1,0,,QB,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0,0.0,,2013,1.0,0.0,Alabama,3.0,,,211,0,,,0.0,,FR
luke-del-rio-1,2014,7.8,0.0,8.0,,,0.0,0.0,,3.0,6-1,0.0,0.0,0.0,,Luke Del Rio,,18.0,0.0,44.4,0.0,141.0,7.8,luke-del-rio-1,0,,QB,,110.2,0.0,0.0,,0.0,0.0,0.0,0.0,,0,0.0,,2014,0.0,0.0,Oregon State,0.0,,,211,0,,,0.0,,FR
luke-del-rio-1,2015,,,,,,,,,,6-1,,,,,Luke Del Rio,,,,,,,,luke-del-rio-1,0,,QB,,,,,,,,,,,0,,,2015,,,Florida,,,,211,0,,,,,SO
luke-del-rio-1,2016,5.8,0.0,114.0,,,0.0,0.0,,6.0,6-1,0.0,0.0,8.0,,Luke Del Rio,,201.0,0.0,56.7,8.0,1358.0,6.8,luke-del-rio-1,16,,QB,,118.6,0.0,0.0,,0.0,16.0,0.0,-43.0,-2.7,0,0.0,,2016,0.0,0.0,Florida,0.0,,,211,-43,-2.7,,0.0,,SO
luke-del-rio-1,2017,4.5,0.0,16.0,,,0.0,0.0,,2.0,6-1,0.0,0.0,1.0,,Luke Del Rio,,25.0,0.0,64.0,1.0,138.0,5.5,luke-del-rio-1,2,,QB,,115.6,0.0,0.0,,0.0,2.0,0.0,-9.0,-4.5,0,0.0,,2017,1.0,0.0,Florida,1.0,,,211,-9,-4.5,,0.0,,JR
luke-del-rio-1,Career,5.8,2.0,138.0,,,0.0,0.0,,,6-1,0.0,0.0,9.0,,Luke Del Rio,,244.0,0.0,56.6,9.0,1637.0,6.7,luke-del-rio-1,18,,QB,,117.7,0.0,0.0,,0.0,18.0,0.0,-52.0,-2.9,0,0.0,,Career,2.0,0.0,Overall,4.0,,,211,-52,-2.9,,0.0,,
terron-ward-1,2011,,2,,,,0.0,0.0,,12.0,5-7,,,,0,Terron Ward,,,0.0,,,,,terron-ward-1,77,6,RB,0,,0,76,5.4,14,63,1,211,3.3,1,0.0,,2011,3,0.0,Oregon State,5,1,,201,287,3.7,,,,FR
terron-ward-1,2012,,1,,,,,,,13.0,5-7,,,,0,Terron Ward,,,,,,,,terron-ward-1,78,36,RB,0,,0,79,7.9,10,68,6,415,6.1,6,0.0,,2012,2,0.0,Oregon State,3,6,,201,494,6.3,,,,SO
terron-ward-1,2013,6.0,0,1.0,0.0,0.0,0.0,0.0,,13.0,5-7,0.0,0.0,0.0,0,Terron Ward,,1.0,0.0,100.0,0.0,6.0,6.0,terron-ward-1,147,48,RB,0,150.4,3,280,8.2,34,113,5,521,4.6,8,0.0,,2013,4,0.0,Oregon State,4,8,,201,801,5.4,,0.0,,JR
terron-ward-1,2014,,1,0.0,0.0,0.0,0.0,0.0,,10.0,5-7,0.0,0.0,0.0,0,Terron Ward,,0.0,0.0,,0.0,0.0,,terron-ward-1,162,60,RB,0,,0,229,7.9,29,133,10,696,5.2,10,0.0,,2014,1,0.0,Oregon State,2,10,,201,925,5.7,,0.0,,SR
terron-ward-1,Career,6.0,4,1.0,0.0,0.0,0.0,0.0,,,5-7,0.0,0.0,0.0,0,Terron Ward,,1.0,0.0,100.0,0.0,6.0,6.0,terron-ward-1,464,150,RB,0,150.4,3,664,7.6,87,377,22,1843,4.9,25,0.0,,Career,10,0.0,Oregon State,14,25,,201,2507,5.4,,0.0,,
storm-woods-1,2012,,0,,,,,,,12.0,6-0,,,,,Storm Woods,,,,,,,,storm-woods-1,230,78,RB,,,0,313,8.2,38,192,13,940,4.9,13,0.0,,2012,1,0.0,Oregon State,1,13,,207,1253,5.4,,,,FR
storm-woods-1,2013,0.0,0,0.0,0.0,0.0,0.0,0.0,,11.0,6-0,0.0,0.0,0.0,0.0,Storm Woods,,1.0,0.0,0.0,0.0,0.0,0.0,storm-woods-1,174,42,RB,0.0,0.0,1,440,9.4,47,127,6,477,3.8,7,0.0,,2013,0,0.0,Oregon State,0,7,,207,917,5.3,,0.0,,SO
storm-woods-1,2014,,0,0.0,0.0,0.0,0.0,0.0,,10.0,6-0,0.0,0.0,0.0,0.0,Storm Woods,,0.0,0.0,,0.0,0.0,,storm-woods-1,147,36,RB,0.0,,1,179,6.9,26,121,5,766,6.3,6,0.0,,2014,0,0.0,Oregon State,0,6,,207,945,6.4,,0.0,,JR
storm-woods-1,2015,,0,0.0,0.0,0.0,0.0,0.0,,11.0,6-0,0.0,0.0,0.0,0.0,Storm Woods,,0.0,0.0,,0.0,0.0,,storm-woods-1,111,6,RB,0.0,,0,162,13.5,12,99,1,491,5.0,1,0.0,,2015,0,0.0,Oregon State,0,1,,207,653,5.9,,0.0,,SR
storm-woods-1,Career,0.0,0,0.0,0.0,0.0,0.0,0.0,,,6-0,0.0,0.0,0.0,0.0,Storm Woods,,1.0,0.0,0.0,0.0,0.0,0.0,storm-woods-1,662,162,RB,0.0,0.0,2,1094,8.9,123,539,25,2674,5.0,27,0.0,,Career,1,0.0,Oregon State,1,27,,207,3768,5.7,,0.0,,
chris-brown-14,2013,,1,,0,0,0,0,,7.0,5-10,0,0,,0,Chris Brown,,,0,,,,,chris-brown-14,20,6,RB,0,,0,6,6.0,1,19,1,144,7.6,1,0.0,,2013,3,0.0,Oregon State,4,1,,202,150,7.5,,0,,FR
chris-brown-14,2014,,4,,0,0,0,0,,9.0,5-10,0,0,,0,Chris Brown,,,0,,,,,chris-brown-14,27,12,RB,0,,0,37,7.4,5,22,2,91,4.1,2,0.0,,2014,5,0.0,Oregon State,9,2,,202,128,4.7,,0,,SO
