,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
marcus-mariota-1,2012,9.1,,230,,,,,,13.0,6-2,,,6,,Marcus Mariota,,336,,68.5,32,2677,8.0,marcus-mariota-1,107,36,QB,,163.2,1,2,2.0,1,106,5,752,7.1,6,,,2012,,,Oregon,,6,,248,754,7.0,,,,FR
marcus-mariota-1,2013,10.6,0.0,245,0.0,0.0,0.0,0.0,,13.0,6-2,0.0,0.0,4,0.0,Marcus Mariota,,386,0.0,63.5,31,3665,9.5,marcus-mariota-1,96,54,QB,0.0,167.7,0,0,,0,96,9,715,7.4,9,0.0,,2013,1.0,0.0,Oregon,1.0,9,,248,715,7.4,,0.0,,SO
marcus-mariota-1,2014,11.5,0.0,304,0.0,0.0,0.0,0.0,,15.0,6-2,0.0,0.0,4,0.0,Marcus Mariota,,445,0.0,68.3,42,4454,10.0,marcus-mariota-1,136,96,QB,0.0,181.7,1,26,26.0,1,135,15,770,5.7,16,0.0,,2014,1.0,0.0,Oregon,1.0,16,,248,796,5.9,,0.0,,JR
marcus-mariota-1,Career,10.5,0.0,779,0.0,0.0,0.0,0.0,,,6-2,0.0,0.0,14,0.0,Marcus Mariota,,1167,0.0,66.8,105,10796,9.3,marcus-mariota-1,339,186,QB,0.0,171.8,2,28,14.0,2,337,29,2237,6.6,31,0.0,,Career,2.0,0.0,Oregon,2.0,31,,248,2265,6.7,,0.0,,
jeff-lockie-1,2013,0.9,,8,0,0,,,,8.0,6-2,,,1,0,Jeff Lockie,,13,,61.5,0,57,4.4,jeff-lockie-1,5,6,QB,0,83.0,0,0,,0,5,1,22,4.4,1,,,2013,,,Oregon,,1,,205,22,4.4,,,,FR
jeff-lockie-1,2014,8.1,,21,0,0,,,,8.0,6-2,,,0,0,Jeff Lockie,,28,,75.0,1,207,7.4,jeff-lockie-1,4,0,QB,0,148.9,0,0,,0,4,0,10,2.5,0,,,2014,,,Oregon,,0,,205,10,2.5,,,,SO
jeff-lockie-1,2015,5.1,,61,0,0,,,,5.0,6-2,,,4,0,Jeff Lockie,,99,,61.6,5,580,5.9,jeff-lockie-1,34,0,QB,0,119.4,0,0,,0,34,0,92,2.7,0,,,2015,,,Oregon,,0,,205,92,2.7,,,,JR
jeff-lockie-1,Career,5.3,,90,0,0,,,,,6-2,,,5,0,Jeff Lockie,,140,,64.3,6,844,6.0,jeff-lockie-1,43,6,QB,0,121.9,0,0,,0,43,1,124,2.9,1,,,Career,,,Oregon,,1,,205,124,2.9,,,,
royce-freeman-1,2014,46.0,0,1,0,0,0,0,,15.0,5-11,0,0,0,0,Royce Freeman,,1,0,100.0,1,26,26.0,royce-freeman-1,268,114,RB,0,648.4,1,158,9.9,16,252,18,1365,5.4,19,0.0,,2014,1,0.0,Oregon,1,19,,231,1523,5.7,,0,,FR
royce-freeman-1,2015,,0,0,0,0,0,0,,13.0,5-11,0,0,0,0,Royce Freeman,,0,0,,0,0,,royce-freeman-1,309,114,RB,0,,2,348,13.4,26,283,17,1836,6.5,19,0.0,,2015,0,0.0,Oregon,0,19,,231,2184,7.1,,0,,SO
