,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
christian-hackenberg-1,2013,7.4,0,231,0,0,0,0,,12.0,6-4,0,0,10,0,Christian Hackenberg,,392,0,58.9,20,2955,7.5,christian-hackenberg-1,49,24,QB,0,134.0,0,0,,0,49,4,-68,-1.4,4,0.0,,2013,0,0.0,Penn State,0,4,,234,-68,-1.4,,0,,FR
christian-hackenberg-1,2014,5.3,0,270,0,0,0,0,,13.0,6-4,0,0,15,0,Christian Hackenberg,,484,0,55.8,12,2977,6.2,christian-hackenberg-1,93,0,QB,0,109.4,0,0,,0,93,0,-94,-1.0,0,0.0,,2014,1,0.0,Penn State,1,0,,234,-94,-1.0,,0,,SO
christian-hackenberg-1,2015,7.2,0,192,0,0,0,0,,13.0,6-4,0,0,6,0,Christian Hackenberg,,359,0,53.5,16,2525,7.0,christian-hackenberg-1,67,18,QB,0,123.9,1,14,14.0,1,66,2,-80,-1.2,3,0.0,,2015,0,0.0,Penn State,0,3,,234,-66,-1.0,,0,,JR
christian-hackenberg-1,Career,6.5,0,693,0,0,0,0,,,6-4,0,0,31,0,Christian Hackenberg,,1235,0,56.1,48,8457,6.8,christian-hackenberg-1,209,42,QB,0,121.4,1,14,14.0,1,208,6,-242,-1.2,7,0.0,,Career,1,0.0,Penn State,1,7,,234,-228,-1.1,,0,,
dj-crook-1,2014,8.6,,6,,,,,,1.0,6-1,,,0,,D.J. Crook,,9,,66.7,1,57,6.3,dj-crook-1,,,QB,,156.5,,,,,,,,,,,,2014,,,Penn State,,,,213,,,,,,FR
dj-crook-1,Career,8.6,,6,,,,,,,6-1,,,0,,D.J. Crook,,9,,66.7,1,57,6.3,dj-crook-1,,,QB,,156.5,,,,,,,,,,,,Career,,,Penn State,,,,213,,,,,,
bill-belton-1,2011,0.0,0.0,0.0,,,0.0,0.0,,8.0,5-10,,,0.0,0,Bill Belton,,2.0,0.0,0.0,0.0,0.0,0.0,bill-belton-1,14,0,WR,,0.0,0,0,0.0,1,13,0,65,5.0,0,0.0,,2011,0.0,0.0,Penn State,0.0,0,,205,65,4.6,,,,FR
bill-belton-1,2012,,,,,,,,,8.0,5-10,,,,0,Bill Belton,,,,,,,,bill-belton-1,69,24,WR,,,1,50,5.6,9,60,3,258,4.3,4,,,2012,,,Penn State,,4,,205,308,4.5,,,,SO
bill-belton-1,2013,,0.0,0.0,0.0,0.0,0.0,0.0,,11.0,5-10,0.0,0.0,0.0,0,Bill Belton,,0.0,0.0,,0.0,0.0,,bill-belton-1,172,42,RB,0.0,,2,158,10.5,15,157,5,803,5.1,7,0.0,,2013,0.0,0.0,Penn State,0.0,7,,205,961,5.6,,0.0,,JR
bill-belton-1,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,13.0,5-10,0.0,0.0,0.0,0,Bill Belton,,3.0,0.0,0.0,0.0,0.0,0.0,bill-belton-1,151,42,RB,0.0,0.0,1,201,7.7,26,125,6,526,4.2,7,0.0,,2014,1.0,0.0,Penn State,1.0,7,,205,727,4.8,,0.0,,SR
bill-belton-1,Career,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5-10,0.0,0.0,0.0,0,Bill Belton,,5.0,0.0,0.0,0.0,0.0,0.0,bill-belton-1,406,108,RB,0.0,0.0,4,409,8.0,51,355,14,1652,4.7,18,0.0,,Career,1.0,0.0,Penn State,1.0,18,,205,2061,5.1,,0.0,,
akeel-lynch-1,2013,,0,,0,0,0,0,,7.0,5-11,0,0,,0,Akeel Lynch,,,0,,,,,akeel-lynch-1,60,6,RB,0,,0,0,,0,60,1,358,6.0,1,0.0,,2013,0,0.0,Penn State,0,1,,220,358,6.0,,0,,FR
akeel-lynch-1,2014,,0,,0,0,0,0,,13.0,5-11,0,0,,0,Akeel Lynch,,,0,,,,,akeel-lynch-1,157,24,RB,0,,0,69,6.9,10,147,4,678,4.6,4,0.0,,2014,4,0.0,Penn State,4,4,,220,747,4.8,,0,,SO
akeel-lynch-1,2015,,1,,0,0,0,0,,9.0,5-11,0,0,,0,Akeel Lynch,,,0,,,,,akeel-lynch-1,59,12,RB,0,,0,8,2.0,4,55,2,282,5.1,2,0.0,,2015,3,0.0,Penn State,4,2,,220,290,4.9,,0,,JR
akeel-lynch-1,2016,,0,,0,0,0,0,,4.0,5-11,0,0,,0,Akeel Lynch,,,0,,,,,akeel-lynch-1,8,0,RB,0,,0,0,,0,8,0,29,3.6,0,0.0,,2016,0,0.0,Nevada,0,0,,220,29,3.6,,0,,SR
akeel-lynch-1,Career,,1,,0,0,0,0,,,5-11,0,0,,0,Akeel Lynch,,,0,,,,,akeel-lynch-1,284,42,RB,0,,0,77,5.5,14,270,7,1347,5.0,7,0.0,,Career,7,0.0,Overall,8,7,,220,1424,5.0,,0,,
