,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
chad-voytik-1,2013,10.5,0,6,0,0,0,0,,4.0,6-1,0,0,0,0,Chad Voytik,,11,0,54.5,0,116,10.5,chad-voytik-1,3,6,QB,0,143.1,0,0,,0,3,1,26,8.7,1,0.0,,2013,0,0.0,Pitt,0,1,,215,26,8.7,,0,,FR
chad-voytik-1,2014,7.8,0,176,0,0,0,0,,13.0,6-1,0,0,7,0,Chad Voytik,,287,0,61.3,16,2233,7.8,chad-voytik-1,109,18,QB,0,140.2,0,29,29.0,1,108,3,466,4.3,3,0.0,,2014,1,0.0,Pitt,1,3,,215,495,4.5,,0,,SO
chad-voytik-1,2015,3.5,0,16,0,0,0,0,,7.0,6-1,0,0,1,0,Chad Voytik,,25,0,64.0,1,112,4.5,chad-voytik-1,20,6,QB,0,106.8,0,0,,0,20,1,37,1.9,1,0.0,,2015,0,0.0,Pitt,0,1,,215,37,1.9,,0,,JR
chad-voytik-1,2016,5.9,0,32,0,0,0,0,,11.0,6-1,0,0,1,0,Chad Voytik,,57,0,56.1,1,363,6.4,chad-voytik-1,79,24,QB,0,111.9,0,0,,0,79,4,164,2.1,4,0.0,,2016,0,0.0,Arkansas State,0,4,,215,164,2.1,,0,,SR
chad-voytik-1,Career,7.3,0,230,0,0,0,0,,,6-1,0,0,9,0,Chad Voytik,,380,0,60.5,18,2824,7.4,chad-voytik-1,211,54,QB,0,133.8,0,29,29.0,1,210,9,693,3.3,9,0.0,,Career,1,0.0,Overall,1,9,,215,722,3.4,,0,,
trey-anderson-1,2011,-2.4,,12,,,,,,4.0,6-0,,,3,,Trey Anderson,,33,,36.4,0,55,1.7,trey-anderson-1,8,,QB,,32.2,,,,,8.0,0.0,30.0,3.8,0,,,2011,,,Pitt,,,,195,30,3.8,,,,FR
trey-anderson-1,2012,26.5,,2,,,,,,1.0,6-0,,,0,,Trey Anderson,,2,,100.0,0,53,26.5,trey-anderson-1,0,,QB,,322.6,,,,,,,,,0,,,2012,,,Pitt,,,,195,0,,,,,SO
trey-anderson-1,2014,9.7,,11,,,,,,3.0,6-0,,,0,,Trey Anderson,,18,,61.1,1,155,8.6,trey-anderson-1,3,,QB,,151.8,0.0,0.0,,0.0,3.0,0.0,10.0,3.3,0,,,2014,,,Pitt,,,,195,10,3.3,,,,SR
trey-anderson-1,2015,7.6,,5,,,,,,6.0,6-0,,,0,,Trey Anderson,,20,,25.0,1,132,6.6,trey-anderson-1,10,,QB,,96.9,0.0,0.0,,0.0,10.0,0.0,90.0,9.0,0,,,2015,,,Florida International,,,,195,90,9.0,,,,SR
trey-anderson-1,Career,4.1,,30,,,,,,,6-0,,,3,,Trey Anderson,,73,,41.1,2,395,5.4,trey-anderson-1,21,,QB,,87.4,0.0,0.0,,0.0,21.0,0.0,130.0,6.2,0,,,Career,,,Overall,,,,195,130,6.2,,,,
james-conner-1,2013,,0,,0,0,0,0,,12.0,6-2,0,0,,0,James Conner,,,0,,,,,james-conner-1,149,48,RB,0,,0,33,11.0,3,146,8,799,5.5,8,0.0,,2013,0,0.0,Pitt,0,8,,235,832,5.6,,0,,FR
james-conner-1,2014,,0,,0,0,0,0,,13.0,6-2,0,0,,0,James Conner,,,0,,,,,james-conner-1,303,156,RB,0,,0,70,14.0,5,298,26,1765,5.9,26,0.0,,2014,1,0.0,Pitt,1,26,,235,1835,6.1,,0,,SO
james-conner-1,2015,,0,,0,0,0,0,,1.0,6-2,0,0,,0,James Conner,,,0,,,,,james-conner-1,9,12,RB,0,,0,7,7.0,1,8,2,77,9.6,2,0.0,,2015,0,0.0,Pitt,0,2,,235,84,9.3,,0,,JR
james-conner-1,2016,,1,,0,0,0,0,,13.0,6-2,0,0,,0,James Conner,,,0,,,,,james-conner-1,237,122,RB,0,,4,302,14.4,21,216,16,1092,5.1,20,0.0,,2016,0,0.0,Pitt,1,20,1.0,235,1394,5.9,,0,,JR
james-conner-1,Career,,1,,0,0,0,0,,,6-2,0,0,,0,James Conner,,,0,,,,,james-conner-1,698,338,RB,0,,4,412,13.7,30,668,52,3733,5.6,56,0.0,,Career,1,0.0,Pitt,2,56,1.0,235,4145,5.9,,0,,
chris-james-9,2014,,,,0,0,,,,12.0,5-10,,,,0,Chris James,,,,,,,,chris-james-9,88,24,RB,0,,0,23,23.0,1,87,4,437,5.0,4,,,2014,,,Pitt,,4,,219,460,5.2,,,,FR
chris-james-9,2015,,,,0,0,,,,10.0,5-10,,,,0,Chris James,,,,,,,,chris-james-9,63,0,RB,0,,0,48,6.9,7,56,0,253,4.5,0,,,2015,,,Pitt,,0,,219,301,4.8,,,,SO
chris-james-9,2017,,,,0,0,,,,9.0,5-10,,,,0,Chris James,,,,,,,,chris-james-9,56,6,RB,0,,0,36,7.2,5,51,1,233,4.6,1,,,2017,,,Wisconsin,,1,,219,269,4.8,,,,JR
chris-james-9,2018,,,,0,0,,,,6.0,5-10,,,,0,Chris James,,,,,,,,chris-james-9,23,0,RB,0,,0,0,,0,23,0,108,4.7,0,,,2018,,,Wisconsin,,0,,219,108,4.7,,,,SR
chris-james-9,Career,,,,0,0,,,,,5-10,,,,0,Chris James,,,,,,,,chris-james-9,230,30,RB,0,,0,107,8.2,13,217,5,1031,4.8,5,,,Career,,,Overall,,5,,219,1138,4.9,,,,
isaac-bennett-1,2011,,0,,,,0.0,0.0,,5.0,5-11,,,,,Isaac Bennett,,,0.0,,,,,isaac-bennett-1,72,18,RB,,,1,88,6.3,14,58,2,237,4.1,3,0.0,,2011,1,0.0,Pitt,1,3,,205,325,4.5,,,,FR
isaac-bennett-1,2012,,1,,,,,,,12.0,5-11,,,,,Isaac Bennett,,,,,,,,isaac-bennett-1,37,18,RB,,,0,78,9.8,8,29,3,141,4.9,3,0.0,,2012,3,0.0,Pitt,4,3,,205,219,5.9,,,,SO
isaac-bennett-1,2013,,0,,0.0,0.0,0.0,0.0,,13.0,5-11,0.0,0.0,,0.0,Isaac Bennett,,,0.0,,,,,isaac-bennett-1,181,48,RB,0.0,,1,58,5.8,10,171,7,797,4.7,8,0.0,,2013,0,0.0,Pitt,0,8,,205,855,4.7,,0.0,,JR
isaac-bennett-1,2014,,0,,0.0,0.0,0.0,0.0,,12.0,5-11,0.0,0.0,,0.0,Isaac Bennett,,,0.0,,,,,isaac-bennett-1,63,18,RB,0.0,,1,125,10.4,12,51,2,272,5.3,3,0.0,,2014,1,0.0,Pitt,1,3,,205,397,6.3,,0.0,,SR
isaac-bennett-1,Career,,1,,0.0,0.0,0.0,0.0,,,5-11,0.0,0.0,,0.0,Isaac Bennett,,,0.0,,,,,isaac-bennett-1,353,102,RB,0.0,,3,349,7.9,44,309,14,1447,4.7,17,0.0,,Career,5,0.0,Pitt,6,17,,205,1796,5.1,,0.0,,
rachid-ibrahim-1,2013,,0.0,,0.0,0.0,0.0,0.0,,10.0,6-0,0.0,0.0,,0.0,Rachid Ibrahim,,,0.0,,,,,rachid-ibrahim-1,36,6,RB,0.0,,1.0,88.0,9.8,9.0,27.0,0.0,136.0,5.0,1,0.0,,2013,0.0,0.0,Pitt,0.0,1,,195,224,6.2,,0.0,,FR
rachid-ibrahim-1,2014,,0.0,,0.0,0.0,0.0,0.0,,11.0,6-0,0.0,0.0,,0.0,Rachid Ibrahim,,,0.0,,,,,rachid-ibrahim-1,44,0,RB,0.0,,0.0,73.0,6.6,11.0,33.0,0.0,263.0,8.0,0,0.0,,2014,0.0,0.0,Pitt,0.0,0,,195,336,7.6,,0.0,,SO
rachid-ibrahim-1,2015,,,,,,,,,,6-0,,,,,Rachid Ibrahim,,,,,,,,rachid-ibrahim-1,0,0,RB,,,,,,,,,,,0,,,2015,,,Pitt,,0,,195,0,,,,,JR
rachid-ibrahim-1,2016,,6.0,,0.0,0.0,0.0,0.0,,9.0,6-0,0.0,0.0,,0.0,Rachid Ibrahim,,,0.0,,,,,rachid-ibrahim-1,0,0,RB,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0,0.0,,2016,7.0,0.0,Pitt,13.0,0,,195,0,,,0.0,,JR
rachid-ibrahim-1,2017,,0.0,,0.0,0.0,0.0,0.0,,12.0,6-0,0.0,0.0,,0.0,Rachid Ibrahim,,,0.0,,,,,rachid-ibrahim-1,35,0,RB,0.0,,0.0,63.0,9.0,7.0,28.0,0.0,130.0,4.6,0,0.0,,2017,2.0,0.0,Wisconsin,2.0,0,,195,193,5.5,,0.0,,SR
rachid-ibrahim-1,Career,,6.0,,0.0,0.0,0.0,0.0,,,6-0,0.0,0.0,,0.0,Rachid Ibrahim,,,0.0,,,,,rachid-ibrahim-1,115,6,RB,0.0,,1.0,224.0,8.3,27.0,88.0,0.0,529.0,6.0,1,0.0,,Career,9.0,0.0,Overall,15.0,1,,195,753,6.5,,0.0,,
tyler-boyd-1,2013,,0,0,0,0,0,0,,13.0,6-2,0,0,0,0,Tyler Boyd,,0,0,,0,0,,tyler-boyd-1,96,54,WR,1,,7,1174,13.8,85,11,1,108,9.8,8,0.0,,2013,2,0.0,Pitt,2,9,,200,1282,13.4,,0,,FR
tyler-boyd-1,2014,29.0,0,1,0,0,0,0,,13.0,6-2,0,0,0,0,Tyler Boyd,,1,0,100.0,0,29,29.0,tyler-boyd-1,90,48,WR,0,343.6,8,1261,16.2,78,12,0,63,5.3,8,0.0,,2014,2,0.0,Pitt,2,8,,200,1324,14.7,,0,,SO
tyler-boyd-1,2015,22.3,0,2,0,0,0,0,,12.0,6-2,0,0,0,0,Tyler Boyd,,3,0,66.7,0,67,22.3,tyler-boyd-1,131,36,WR,0,254.3,6,926,10.2,91,40,0,349,8.7,6,0.0,,2015,0,0.0,Pitt,0,6,,200,1275,9.7,,0,,JR
tyler-boyd-1,Career,24.0,0,3,0,0,0,0,,,6-2,0,0,0,0,Tyler Boyd,,4,0,75.0,0,96,24.0,tyler-boyd-1,317,138,WR,1,276.6,21,3361,13.2,254,63,1,520,8.3,22,0.0,,Career,4,0.0,Pitt,4,23,,200,3881,12.2,,0,,
ronald-jones-3,2011,30.3,0,3.0,,,0.0,0.0,,12.0,5-8,,,0.0,,Ronald Jones,,3.0,0.0,100.0,2.0,51.0,17.0,ronald-jones-3,31,,WR,,462.8,0,143,8.4,17,14,0,67,4.8,0,0.0,,2011,0,0.0,Pitt,0,,,170,210,6.8,,,,FR
ronald-jones-3,2012,,0,,,,,,,11.0,5-8,,,,,Ronald Jones,,,,,,,,ronald-jones-3,10,,WR,,,0,66,9.4,7,3,0,14,4.7,0,0.0,,2012,1,0.0,Pitt,1,,,170,80,8.0,,,,SO
ronald-jones-3,2014,,0,0.0,,,0.0,0.0,,6.0,5-8,0.0,0.0,0.0,,Ronald Jones,,0.0,0.0,,0.0,0.0,,ronald-jones-3,11,,WR,,,0,79,8.8,9,2,0,14,7.0,0,0.0,,2014,0,0.0,Pitt,0,,,170,93,8.5,,0.0,,SR
ronald-jones-3,Career,30.3,0,3.0,,,0.0,0.0,,,5-8,0.0,0.0,0.0,,Ronald Jones,,3.0,0.0,100.0,2.0,51.0,17.0,ronald-jones-3,52,,WR,,462.8,0,288,8.7,33,19,0,95,5.0,0,0.0,,Career,1,0.0,Pitt,1,,,170,383,7.4,,0.0,,
manasseh-garner-1,2010,,4,,0.0,0.0,0,0,,9.0,6-2,0.0,0.0,,0.0,Manasseh Garner,,,0,,,,,manasseh-garner-1,0,0,WR,0.0,,0,0,,0,0.0,0.0,0.0,,0,0.0,0.0,2010,6,1.0,Wisconsin,10,0,0.0,220,0,,,0.0,,FR
manasseh-garner-1,2011,,0,,,,0,0,,10.0,6-2,,,,,Manasseh Garner,,,0,,,,,manasseh-garner-1,2,0,TE,,,0,45,22.5,2,,,,,0,0.0,,2011,0,0.0,Wisconsin,0,0,,220,45,22.5,,,,SO
