,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
austin-appleby-1,2013,14.7,,5,0,0,,,,1.0,6-4,,,0,0,Austin Appleby,,6,,83.3,1,68,11.3,austin-appleby-1,0,0,QB,0,233.5,0,0,,0,0,0,0,,0,,,2013,,,Purdue,,0,,240,0,,,,,FR
austin-appleby-1,2014,4.2,,144,0,0,,,,10.0,6-4,,,11,0,Austin Appleby,,272,,52.9,10,1449,5.3,austin-appleby-1,62,30,QB,0,101.7,0,7,7.0,1,61,5,198,3.2,5,,,2014,,,Purdue,,5,,240,205,3.3,,,,SO
austin-appleby-1,2015,5.1,,119,0,0,,,,5.0,6-4,,,8,0,Austin Appleby,,207,,57.5,8,1260,6.1,austin-appleby-1,56,24,QB,0,113.6,0,0,,0,56,4,92,1.6,4,,,2015,,,Purdue,,4,,240,92,1.6,,,,JR
austin-appleby-1,2016,6.4,,127,0,0,,,,9.0,6-4,,,7,0,Austin Appleby,,209,,60.8,10,1447,6.9,austin-appleby-1,41,0,QB,0,128.0,0,0,,0,41,0,-45,-1.1,0,,,2016,,,Florida,,0,,240,-45,-1.1,,,,SR
austin-appleby-1,Career,5.2,,395,0,0,,,,,6-4,,,26,0,Austin Appleby,,694,,56.9,29,4224,6.1,austin-appleby-1,159,54,QB,0,114.3,0,7,7.0,1,158,9,245,1.6,9,,,Career,,,Overall,,9,,240,252,1.6,,,,
danny-etling-1,2013,5.9,0.0,149.0,0.0,0.0,0.0,0.0,,8.0,6-3,0.0,0.0,7.0,0.0,Danny Etling,,267.0,0.0,55.8,10.0,1690.0,6.3,danny-etling-1,55,6,QB,0.0,116.1,0.0,0.0,,0.0,55.0,1.0,-99.0,-1.8,1,0.0,,2013,1.0,0.0,Purdue,1.0,1,,215,-99,-1.8,,0.0,,FR
danny-etling-1,2014,4.3,0.0,89.0,0.0,0.0,0.0,0.0,,5.0,6-3,0.0,0.0,5.0,0.0,Danny Etling,,162.0,0.0,54.9,6.0,800.0,4.9,danny-etling-1,33,18,QB,0.0,102.5,0.0,0.0,,0.0,33.0,3.0,-5.0,-0.2,3,0.0,,2014,0.0,0.0,Purdue,0.0,3,,215,-5,-0.2,,0.0,,SO
danny-etling-1,2015,,,,,,,,,,6-3,,,,,Danny Etling,,,,,,,,danny-etling-1,0,0,QB,,,,,,,,,,,0,,,2015,,,LSU,,0,,215,0,,,,,JR
danny-etling-1,2016,7.9,0.0,160.0,0.0,0.0,0.0,0.0,,11.0,6-3,0.0,0.0,5.0,0.0,Danny Etling,,269.0,0.0,59.5,11.0,2123.0,7.9,danny-etling-1,41,6,QB,0.0,135.6,0.0,0.0,,0.0,41.0,1.0,46.0,1.1,1,0.0,,2016,0.0,0.0,LSU,0.0,1,,215,46,1.1,,0.0,,JR
danny-etling-1,2017,9.8,1.0,165.0,0.0,0.0,0.0,0.0,,13.0,6-3,0.0,0.0,2.0,0.0,Danny Etling,,275.0,0.0,60.0,16.0,2463.0,9.0,danny-etling-1,72,12,QB,0.0,153.0,0.0,0.0,,0.0,72.0,2.0,128.0,1.8,2,0.0,,2017,0.0,0.0,LSU,1.0,2,,215,128,1.8,,0.0,,SR
