,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
driphus-jackson-1,2012,11.5,,39,,,,,,11.0,6-0,,,0,,Driphus Jackson,,69,,56.5,6,672,9.7,driphus-jackson-1,47,6,QB,,167.0,,,,,47,1,86,1.8,1,,,2012,,,Rice,,1,,210,86,1.8,,,,FR
driphus-jackson-1,2013,0.3,0.0,5,0.0,0.0,0.0,0.0,,8.0,6-0,0.0,0.0,1,0.0,Driphus Jackson,,16,0.0,31.3,0,50,3.1,driphus-jackson-1,27,6,QB,0.0,45.0,0.0,0.0,,0.0,27,1,156,5.8,1,0.0,,2013,0.0,0.0,Rice,0.0,1,,210,156,5.8,,0.0,,SO
driphus-jackson-1,2014,8.9,1.0,191,0.0,0.0,0.0,0.0,,13.0,6-0,0.0,0.0,8,0.0,Driphus Jackson,,331,0.0,57.7,24,2842,8.6,driphus-jackson-1,121,6,QB,0.0,148.9,0.0,0.0,,0.0,121,1,401,3.3,1,0.0,,2014,3.0,0.0,Rice,4.0,1,,210,401,3.3,,0.0,,JR
driphus-jackson-1,2015,7.6,0.0,185,0.0,0.0,0.0,0.0,,12.0,6-0,0.0,0.0,7,0.0,Driphus Jackson,,316,0.0,58.5,18,2348,7.4,driphus-jackson-1,108,18,QB,0.0,135.3,0.0,0.0,,0.0,108,3,167,1.5,3,0.0,,2015,0.0,0.0,Rice,0.0,3,,210,167,1.5,,0.0,,SR
driphus-jackson-1,Career,8.4,1.0,420,0.0,0.0,0.0,0.0,,,6-0,0.0,0.0,16,0.0,Driphus Jackson,,732,0.0,57.4,48,5912,8.1,driphus-jackson-1,303,36,QB,0.0,142.5,0.0,0.0,,0.0,303,6,810,2.7,6,0.0,,Career,3.0,0.0,Rice,4.0,6,,210,810,2.7,,0.0,,
tyler-stehling-1,2014,9.4,0,12,0,0,0,0,,5.0,6-6,0,0,0,0,Tyler Stehling,,19,0,63.2,1,159,8.4,tyler-stehling-1,8,0,QB,0,150.8,0,0,,0,8,0,-1,-0.1,0,0.0,,2014,0,0.0,Rice,0,0,,225,-1,-0.1,,0,,SO
tyler-stehling-1,2015,5.2,1,24,0,0,0,0,,5.0,6-6,0,0,2,0,Tyler Stehling,,48,0,50.0,1,320,6.7,tyler-stehling-1,9,0,QB,0,104.5,0,0,,0,9,0,-22,-2.4,0,0.0,,2015,0,0.0,Rice,1,0,,225,-22,-2.4,,0,,JR
tyler-stehling-1,2016,6.2,0,194,0,0,0,0,,11.0,6-6,0,0,7,0,Tyler Stehling,,316,0,61.4,12,2049,6.5,tyler-stehling-1,102,30,QB,0,124.0,1,27,27.0,1,101,4,309,3.1,5,0.0,,2016,1,0.0,Rice,1,5,,225,336,3.3,,0,,SR
tyler-stehling-1,Career,6.3,1,230,0,0,0,0,,,6-6,0,0,9,0,Tyler Stehling,,383,0,60.1,14,2528,6.6,tyler-stehling-1,119,30,QB,0,122.9,1,27,27.0,1,118,4,286,2.4,5,0.0,,Career,1,0.0,Rice,2,5,,225,313,2.6,,0,,
nate-german-1,2014,,,0,0,0,,,,1.0,6-1,,,0,0,Nate German,,0,,,0,0,,nate-german-1,1,0,QB,0,,0,0,,0,1,0,-1,-1.0,0,,,2014,,,Rice,,0,,209,-1,-1.0,,,,FR
nate-german-1,2015,5.5,,1,0,0,,,,8.0,6-1,,,0,0,Nate German,,2,,50.0,0,11,5.5,nate-german-1,22,24,QB,0,96.2,3,379,21.1,18,4,1,78,19.5,4,,,2015,,,Rice,,4,,209,457,20.8,,,,SO
nate-german-1,2016,8.5,,5,0,0,,,,9.0,6-1,,,0,0,Nate German,,8,,62.5,0,68,8.5,nate-german-1,27,0,QB,0,133.9,0,157,12.1,13,14,0,51,3.6,0,,,2016,,,Rice,,0,,209,208,7.7,,,,JR
nate-german-1,Career,7.9,,6,0,0,,,,,6-1,,,0,0,Nate German,,10,,60.0,0,79,7.9,nate-german-1,50,24,QB,0,126.4,3,536,17.3,31,19,1,128,6.7,4,,,Career,,,Rice,,4,,209,664,13.3,,,,
luke-turner-1,2012,58.0,1,1,,,,,,11.0,6-1,,,0,0,Luke Turner,,1,,100.0,1,38,38.0,luke-turner-1,35,12,RB,,749.2,,,,,35,2,146,4.2,2,0.0,,2012,1,0.0,Rice,2,2,,230,146,4.2,,,,FR
luke-turner-1,2013,40.0,3,3,0.0,0.0,0.0,0.0,,12.0,6-1,0.0,0.0,0,0,Luke Turner,,4,0.0,75.0,3,100,25.0,luke-turner-1,39,12,RB,0.0,532.5,0.0,0.0,,0.0,39,2,164,4.2,2,0.0,,2013,5,0.0,Rice,8,2,,230,164,4.2,,0.0,,SO
luke-turner-1,2014,4.0,0,1,0.0,0.0,0.0,0.0,,11.0,6-1,0.0,0.0,0,0,Luke Turner,,2,0.0,50.0,0,8,4.0,luke-turner-1,33,24,RB,0.0,83.6,1.0,122.0,12.2,10.0,23,3,94,4.1,4,0.0,,2014,4,0.0,Rice,4,4,,230,216,6.5,,0.0,,JR
luke-turner-1,2015,10.7,1,2,0.0,0.0,0.0,1.0,,10.0,6-1,0.0,0.0,0,0,Luke Turner,,3,0.0,66.7,1,12,4.0,luke-turner-1,40,48,RB,0.0,210.3,2.0,122.0,15.3,8.0,32,6,99,3.1,8,0.0,,2015,4,0.0,Rice,5,8,,230,221,5.5,,0.0,,SR
luke-turner-1,Career,25.8,5,7,0.0,0.0,0.0,1.0,,,6-1,0.0,0.0,0,0,Luke Turner,,10,0.0,70.0,5,158,15.8,luke-turner-1,147,96,RB,0.0,367.7,3.0,244.0,13.6,18.0,129,13,503,3.9,16,0.0,,Career,14,0.0,Rice,19,16,,230,747,5.1,,0.0,,
jowan-davis-1,2013,,0,,0,0,0,0,,9.0,5-7,0,0,,0,Jowan Davis,,,0,,,,,jowan-davis-1,95,18,RB,0,,0,0,,0,95,3,476,5.0,3,0.0,,2013,0,0.0,Rice,0,3,,200,476,5.0,,0,,FR
jowan-davis-1,2014,,0,,0,0,0,0,,13.0,5-7,0,0,,0,Jowan Davis,,,0,,,,,jowan-davis-1,258,36,RB,0,,0,108,8.3,13,245,6,956,3.9,6,0.0,,2014,0,0.0,Rice,0,6,,200,1064,4.1,,0,,SO
jowan-davis-1,2015,,0,,0,0,0,0,,10.0,5-7,0,0,,0,Jowan Davis,,,0,,,,,jowan-davis-1,76,6,RB,0,,0,29,5.8,5,71,1,297,4.2,1,0.0,,2015,1,0.0,Rice,1,1,,200,326,4.3,,0,,JR
jowan-davis-1,2016,,0,,0,0,0,0,,11.0,5-7,0,0,,0,Jowan Davis,,,0,,,,,jowan-davis-1,79,24,RB,0,,0,45,5.6,8,71,4,299,4.2,4,0.0,,2016,1,0.0,Rice,1,4,,200,344,4.4,,0,,SR
jowan-davis-1,Career,,0,,0,0,0,0,,,5-7,0,0,,0,Jowan Davis,,,0,,,,,jowan-davis-1,508,84,RB,0,,0,182,7.0,26,482,14,2028,4.2,14,0.0,,Career,2,0.0,Rice,2,14,,200,2210,4.4,,0,,
darik-dillard-1,2013,,0,,0,0,0,0,,13.0,5-10,0,0,,0,Darik Dillard,,,0,,,,,darik-dillard-1,85,24,RB,0,,1,38,12.7,3,82,3,396,4.8,4,0.0,,2013,0,0.0,Rice,0,4,,215,434,5.1,,0,,FR
