,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
gary-nova-1,2011,6.0,0,116,,,0.0,0.0,,10.0,6-2,,,9,,Gary Nova,,227,0.0,51.1,11,1553,6.8,gary-nova-1,24,0,QB,,116.6,0.0,9.0,9.0,1.0,23,0,-114,-5.0,0,0.0,,2011,0,0.0,Rutgers,0,0,,220,-105,-4.4,,,,FR
gary-nova-1,2012,6.2,0,221,,,,,,13.0,6-2,,,16,,Gary Nova,,388,,57.0,22,2695,6.9,gary-nova-1,22,0,QB,,125.8,,,,,22,0,-44,-2.0,0,0.0,,2012,2,0.0,Rutgers,2,0,,220,-44,-2.0,,,,SO
gary-nova-1,2013,6.2,0,165,0.0,0.0,0.0,0.0,,10.0,6-2,0.0,0.0,14,0.0,Gary Nova,,303,0.0,54.5,18,2159,7.1,gary-nova-1,50,6,QB,0.0,124.7,0.0,0.0,,0.0,50,1,-93,-1.9,1,0.0,,2013,1,0.0,Rutgers,1,1,,220,-93,-1.9,,0.0,,JR
gary-nova-1,2014,8.4,0,187,0.0,0.0,0.0,0.0,,13.0,6-2,0.0,0.0,12,0.0,Gary Nova,,327,0.0,57.2,22,2851,8.7,gary-nova-1,45,18,QB,0.0,145.3,0.0,0.0,,0.0,45,3,-5,-0.1,3,0.0,,2014,1,0.0,Rutgers,1,3,,220,-5,-0.1,,0.0,,SR
gary-nova-1,Career,6.8,0,689,0.0,0.0,0.0,0.0,,,6-2,0.0,0.0,51,0.0,Gary Nova,,1245,0.0,55.3,73,9258,7.4,gary-nova-1,141,24,QB,0.0,129.0,0.0,9.0,9.0,1.0,140,4,-256,-1.8,4,0.0,,Career,4,0.0,Rutgers,4,4,,220,-247,-1.8,,0.0,,
chris-laviano-1,2014,2.2,,11,0,0,,,,5.0,6-2,,,1,0,Chris Laviano,,28,,39.3,0,107,3.8,chris-laviano-1,7,0,QB,0,64.2,0,0,,0,7,0,69,9.9,0,,,2014,,,Rutgers,,0,,221,69,9.9,,,,FR
chris-laviano-1,2015,6.6,,187,0,0,,,,12.0,6-2,,,12,0,Chris Laviano,,307,,60.9,16,2247,7.3,chris-laviano-1,66,6,QB,0,131.8,1,5,5.0,1,65,0,-38,-0.6,1,,,2015,,,Rutgers,,1,,221,-33,-0.5,,,,SO
chris-laviano-1,2016,5.2,,70,0,0,,,,7.0,6-2,,,2,0,Chris Laviano,,145,,48.3,5,748,5.2,chris-laviano-1,45,0,QB,0,100.2,0,0,,0,45,0,52,1.2,0,,,2016,,,Rutgers,,0,,221,52,1.2,,,,SR
chris-laviano-1,Career,5.9,,268,0,0,,,,,6-2,,,15,0,Chris Laviano,,480,,55.8,21,3102,6.5,chris-laviano-1,118,6,QB,0,118.3,1,5,5.0,1,117,0,83,0.7,1,,,Career,,,Rutgers,,1,,221,88,0.7,,,,
desmon-peoples-1,2013,,,,0.0,0.0,,,,2.0,5-8,,,,0.0,Desmon Peoples,,,,,,,,desmon-peoples-1,7,0,RB,0.0,,0.0,3.0,3.0,1.0,6.0,0.0,16.0,2.7,0,,,2013,,,Rutgers,,0,,175,19,2.7,,,,SO
desmon-peoples-1,2014,,,,0.0,0.0,,,,10.0,5-8,,,,0.0,Desmon Peoples,,,,,,,,desmon-peoples-1,123,18,RB,0.0,,0.0,132.0,16.5,8.0,115.0,3.0,447.0,3.9,3,,,2014,,,Rutgers,,3,,175,579,4.7,,,,SO
desmon-peoples-1,2015,,,,,,,,,,5-8,,,,,Desmon Peoples,,,,,,,,desmon-peoples-1,0,0,RB,,,,,,,,,,,0,,,2015,,,Rutgers,,0,,175,0,,,,,JR
desmon-peoples-1,Career,,,,0.0,0.0,,,,,5-8,,,,0.0,Desmon Peoples,,,,,,,,desmon-peoples-1,130,18,RB,0.0,,0.0,135.0,15.0,9.0,121.0,3.0,463.0,3.8,3,,,Career,,,Rutgers,,3,,175,598,4.6,,,,
robert-martin-2,2014,,1,,0,0,0,0,,10.0,5-11,0,0,,0,Robert Martin,,,0,,,,,robert-martin-2,89,42,RB,0,,0,25,12.5,2,87,7,434,5.0,7,0.0,,2014,3,0.0,Rutgers,4,7,,208,459,5.2,,0,,FR
robert-martin-2,2015,,0,,0,0,0,0,,12.0,5-11,0,0,,0,Robert Martin,,,0,,,,,robert-martin-2,146,36,RB,0,,0,17,3.4,5,141,6,763,5.4,6,0.0,,2015,0,0.0,Rutgers,0,6,,208,780,5.3,,0,,SO
robert-martin-2,2016,,0,,0,0,0,0,,9.0,5-11,0,0,,0,Robert Martin,,,0,,,,,robert-martin-2,126,12,RB,0,,0,37,7.4,5,121,2,625,5.2,2,0.0,,2016,2,0.0,Rutgers,2,2,,208,662,5.3,,0,,JR
robert-martin-2,2017,,0,,0,0,0,0,,12.0,5-11,0,0,,0,Robert Martin,,,0,,,,,robert-martin-2,108,18,RB,0,,0,56,7.0,8,100,3,452,4.5,3,0.0,,2017,0,0.0,Rutgers,0,3,,208,508,4.7,,0,,SR
robert-martin-2,Career,,1,,0,0,0,0,,,5-11,0,0,,0,Robert Martin,,,0,,,,,robert-martin-2,469,108,RB,0,,0,135,6.8,20,449,18,2274,5.1,18,0.0,,Career,5,0.0,Rutgers,6,18,,208,2409,5.1,,0,,
justin-goodwin-1,2013,-45.0,0,0,0,0,0,0,,10.0,5-11,0,0,1,0,Justin Goodwin,,1,0,0.0,0,0,0.0,justin-goodwin-1,121,36,RB,0,-200.0,1,86,8.6,10,111,5,521,4.7,6,0.0,,2013,0,0.0,Rutgers,0,6,,211,607,5.0,,0,,FR
justin-goodwin-1,2014,,0,0,0,0,0,0,,10.0,5-11,1,0,0,0,Justin Goodwin,,0,0,,0,0,,justin-goodwin-1,92,6,RB,0,,0,57,6.3,9,83,1,328,4.0,1,0.0,,2014,3,0.0,Rutgers,3,1,,211,385,4.2,,0,0.0,SO
justin-goodwin-1,2015,,0,0,0,0,0,0,,12.0,5-11,0,0,0,0,Justin Goodwin,,0,0,,0,0,,justin-goodwin-1,24,6,RB,0,,0,93,7.2,13,11,1,20,1.8,1,0.0,,2015,1,0.0,Rutgers,1,1,,211,113,4.7,,0,,JR
justin-goodwin-1,2016,,0,0,0,0,0,0,,11.0,5-11,0,0,0,0,Justin Goodwin,,0,0,,0,0,,justin-goodwin-1,140,12,RB,0,,1,204,9.3,22,118,1,517,4.4,2,0.0,,2016,0,0.0,Rutgers,0,2,,211,721,5.2,,0,,SR
justin-goodwin-1,Career,-45.0,0,0,0,0,0,0,,,5-11,1,0,1,0,Justin Goodwin,,1,0,0.0,0,0,0.0,justin-goodwin-1,377,60,RB,0,-200.0,2,440,8.1,54,323,8,1386,4.3,10,0.0,,Career,4,0.0,Rutgers,4,10,,211,1826,4.8,,0,0.0,
