,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
quinn-kaehler-1,2013,7.7,0,232,0,0,0,0,,12.0,6-4,0,0,9,0,Quinn Kaehler,,389,0,59.6,19,3007,7.7,quinn-kaehler-1,49,6,QB,0,136.1,0,0,,0,49,1,-109,-2.2,1,0.0,,2013,0,0.0,San Diego State,0,1,,215,-109,-2.2,,0,,JR
quinn-kaehler-1,2014,5.9,1,169,0,0,0,0,,13.0,6-4,0,0,12,0,Quinn Kaehler,,307,0,55.0,9,2157,7.0,quinn-kaehler-1,27,0,QB,0,115.9,0,15,15.0,1,26,0,-105,-4.0,0,0.0,,2014,1,0.0,San Diego State,2,0,,215,-90,-3.3,,0,,SR
quinn-kaehler-1,Career,6.9,1,401,0,0,0,0,,,6-4,0,0,21,0,Quinn Kaehler,,696,0,57.6,28,5164,7.4,quinn-kaehler-1,76,6,QB,0,127.2,0,15,15.0,1,75,1,-214,-2.9,1,0.0,,Career,1,0.0,San Diego State,2,1,,215,-199,-2.6,,0,,
nick-bawden-1,2014,2.0,1.0,13.0,0.0,0.0,0.0,0.0,,4.0,6-3,0.0,0.0,2.0,0.0,Nick Bawden,,38.0,0.0,34.2,1.0,147.0,3.9,nick-bawden-1,11,0,QB,0.0,64.9,0.0,0.0,,0.0,11.0,0.0,43.0,3.9,0,0.0,,2014,1.0,0.0,San Diego State,2.0,0,,245,43,3.9,,0.0,,FR
nick-bawden-1,2015,,,,,,,,,,6-3,,,,,Nick Bawden,,,,,,,,nick-bawden-1,0,0,FB,,,,,,,,,,,0,,,2015,,,San Diego State,,0,,245,0,,,,,SO
nick-bawden-1,2016,,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,6-3,0.0,0.0,0.0,0.0,Nick Bawden,,0.0,0.0,,0.0,0.0,,nick-bawden-1,16,0,FB,0.0,,0.0,137.0,9.1,15.0,1.0,0.0,4.0,4.0,0,0.0,,2016,0.0,0.0,San Diego State,0.0,0,,245,141,8.8,,0.0,,JR
nick-bawden-1,2017,,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,6-3,0.0,0.0,0.0,0.0,Nick Bawden,,0.0,0.0,,0.0,0.0,,nick-bawden-1,15,6,FB,0.0,,1.0,103.0,6.9,15.0,0.0,0.0,0.0,,1,0.0,,2017,1.0,0.0,San Diego State,1.0,1,,245,103,6.9,,0.0,,SR
nick-bawden-1,Career,2.0,1.0,13.0,0.0,0.0,0.0,0.0,,,6-3,0.0,0.0,2.0,0.0,Nick Bawden,,38.0,0.0,34.2,1.0,147.0,3.9,nick-bawden-1,42,6,FB,0.0,64.9,1.0,240.0,8.0,30.0,12.0,0.0,47.0,3.9,1,0.0,,Career,2.0,0.0,San Diego State,3.0,1,,245,287,6.8,,0.0,,
chase-favreau-1,2014,-45.0,0,0,,,0,0,,3.0,6-1,0,0,1,,Chase Favreau,,1,0,0.0,0,0,0.0,chase-favreau-1,2,,QB,,-200.0,0,55,27.5,2,0,0,0,,0,0.0,,2014,0,0.0,San Diego State,0,,,200,55,27.5,,0,,FR
chase-favreau-1,2015,,0,0,,,0,0,,2.0,6-1,0,0,0,,Chase Favreau,,0,0,,0,0,,chase-favreau-1,2,,QB,,,0,16,8.0,2,0,0,0,,0,0.0,,2015,0,0.0,San Diego State,0,,,200,16,8.0,,0,,SO
chase-favreau-1,2016,,0,0,,,0,0,,3.0,6-1,0,0,0,,Chase Favreau,,0,0,,0,0,,chase-favreau-1,2,,WR,,,0,17,8.5,2,0,0,0,,0,0.0,,2016,1,0.0,San Diego State,1,,,200,17,8.5,,0,,JR
chase-favreau-1,Career,-45.0,0,0,,,0,0,,,6-1,0,0,1,,Chase Favreau,,1,0,0.0,0,0,0.0,chase-favreau-1,6,,WR,,-200.0,0,88,14.7,6,0,0,0,,0,0.0,,Career,1,0.0,San Diego State,1,,,200,88,14.7,,0,,
donnel-pumphrey-1,2013,0.0,0,0,0,0,0,0,,13.0,5-9,0,0,0,0,Donnel Pumphrey,,1,0,0.0,0,0,0.0,donnel-pumphrey-1,147,60,RB,0,0.0,2,234,10.6,22,125,8,752,6.0,10,0.0,,2013,0,0.0,San Diego State,0,10,,180,986,6.7,,0,,FR
donnel-pumphrey-1,2014,0.0,0,0,0,0,0,0,,13.0,5-9,0,0,0,0,Donnel Pumphrey,,2,0,0.0,0,0,0.0,donnel-pumphrey-1,299,120,RB,0,0.0,0,160,7.0,23,276,20,1867,6.8,20,0.0,,2014,2,0.0,San Diego State,2,20,,180,2027,6.8,,0,,SO
donnel-pumphrey-1,2015,36.0,0,1,0,0,0,0,,14.0,5-9,0,0,0,0,Donnel Pumphrey,,1,0,100.0,1,16,16.0,donnel-pumphrey-1,336,120,RB,0,564.4,3,414,15.3,27,309,17,1653,5.3,20,0.0,,2015,0,0.0,San Diego State,0,20,,180,2067,6.2,,0,,JR
donnel-pumphrey-1,2016,0.0,0,0,0,0,0,0,,14.0,5-9,0,0,0,0,Donnel Pumphrey,,1,0,0.0,0,0,0.0,donnel-pumphrey-1,376,102,RB,0,0.0,0,231,8.6,27,349,17,2133,6.1,17,0.0,,2016,1,0.0,San Diego State,1,17,,180,2364,6.3,,0,,SR
donnel-pumphrey-1,Career,7.2,0,1,0,0,0,0,,,5-9,0,0,0,0,Donnel Pumphrey,,5,0,20.0,1,16,3.2,donnel-pumphrey-1,1158,402,RB,0,112.9,5,1039,10.5,99,1059,62,6405,6.0,67,0.0,,Career,3,0.0,San Diego State,3,67,,180,7444,6.4,,0,,
chase-price-1,2012,,,,,,,,,13.0,5-8,,,,,Chase Price,,,,,,,,chase-price-1,30,6,RB,,,0,-2,-2.0,1,29,1,114,3.9,1,,,2012,,,San Diego State,,1,,200,112,3.7,,,,FR
chase-price-1,2013,,0.0,,0.0,0.0,0.0,0.0,,5.0,5-8,0.0,0.0,,0.0,Chase Price,,,0.0,,,,,chase-price-1,20,0,RB,0.0,,0,5,1.7,3,17,0,78,4.6,0,0.0,,2013,0.0,0.0,San Diego State,0.0,0,,200,83,4.2,,0.0,,SO
chase-price-1,2014,,0.0,,0.0,0.0,0.0,0.0,,13.0,5-8,0.0,0.0,,0.0,Chase Price,,,0.0,,,,,chase-price-1,158,30,RB,0.0,,0,126,7.4,17,141,5,674,4.8,5,0.0,,2014,0.0,0.0,San Diego State,0.0,5,,200,800,5.1,,0.0,,JR
chase-price-1,2015,,0.0,,0.0,0.0,0.0,0.0,,14.0,5-8,0.0,0.0,,0.0,Chase Price,,,0.0,,,,,chase-price-1,203,42,RB,0.0,,1,118,9.1,13,190,6,1008,5.3,7,0.0,,2015,2.0,0.0,San Diego State,2.0,7,,200,1126,5.5,,0.0,,SR
chase-price-1,Career,,0.0,,0.0,0.0,0.0,0.0,,,5-8,0.0,0.0,,0.0,Chase Price,,,0.0,,,,,chase-price-1,411,78,RB,0.0,,1,247,7.3,34,377,12,1874,5.0,13,0.0,,Career,2.0,0.0,San Diego State,2.0,13,,200,2121,5.2,,0.0,,
marcus-stamps-2,2014,,2,,,,0,0,,7.0,6-1,0,0,,,Marcus Stamps,,,0,,,,,marcus-stamps-2,8,,RB,,,0,0,,0,8,0,63,7.9,0,0.0,,2014,3,0.0,San Diego State,5,,,215,63,7.9,,0,,FR
marcus-stamps-2,2015,,2,,,,0,1,,7.0,6-1,0,0,,,Marcus Stamps,,,0,,,,,marcus-stamps-2,16,,RB,,,0,0,,0,16,0,33,2.1,0,0.0,,2015,1,0.0,San Diego State,3,,,215,33,2.1,,0,,SO
marcus-stamps-2,2016,,0,,,,0,0,,1.0,6-1,1,0,,,Marcus Stamps,,,0,,,,,marcus-stamps-2,0,,RB,,,0,0,,0,0,0,0,,0,0.0,,2016,0,0.0,San Diego State,0,,,215,0,,,0,0.0,JR
marcus-stamps-2,Career,,4,,,,0,1,,,6-1,1,0,,,Marcus Stamps,,,0,,,,,marcus-stamps-2,24,,RB,,,0,0,,0,24,0,96,4.0,0,0.0,,Career,4,0.0,San Diego State,8,,,215,96,4.0,,0,0.0,
lucky-radley-1,2012,,2,,,,,,,12.0,5-8,,,,,Lucky Radley,,,,,,,,lucky-radley-1,15,6,RB,,,,,,,15,1,50,3.3,1,0.0,,2012,0,0.0,Utah,2,1,,185,50,3.3,,,,SO
lucky-radley-1,2013,,1,,0.0,0.0,0.0,0.0,,9.0,5-8,0.0,0.0,,0.0,Lucky Radley,,,0.0,,,,,lucky-radley-1,70,18,RB,0.0,,1.0,80.0,7.3,11.0,59,2,284,4.8,3,0.0,,2013,2,0.0,Utah,3,3,,185,364,5.2,,0.0,,JR
lucky-radley-1,2014,,0,,0.0,0.0,0.0,1.0,,5.0,5-8,0.0,0.0,,0.0,Lucky Radley,,,0.0,,,,,lucky-radley-1,8,6,RB,0.0,,0.0,5.0,5.0,1.0,7,1,29,4.1,1,0.0,,2014,3,0.0,San Diego State,3,1,,185,34,4.3,,0.0,,SR
lucky-radley-1,Career,,3,,0.0,0.0,0.0,1.0,,,5-8,0.0,0.0,,0.0,Lucky Radley,,,0.0,,,,,lucky-radley-1,93,30,RB,0.0,,1.0,85.0,7.1,12.0,81,4,363,4.5,5,0.0,,Career,5,0.0,Overall,8,5,,185,448,4.8,,0.0,,
rashaad-penny-1,2014,,0,,0,0,0,0,,10.0,5-11,0,0,,0,Rashaad Penny,,,0,,,,,rashaad-penny-1,2,0,RB,0,,0,0,,0,2,0,22,11.0,0,0.0,,2014,0,0.0,San Diego State,0,0,,220,22,11.0,,0,,FR
rashaad-penny-1,2015,,2,,0,0,0,0,,14.0,5-11,0,0,,3,Rashaad Penny,,,0,,,,,rashaad-penny-1,69,48,RB,0,,1,120,15.0,8,61,4,368,6.0,5,0.0,,2015,3,0.0,San Diego State,5,8,,220,488,7.1,,0,,SO
rashaad-penny-1,2016,,1,,0,0,0,0,,14.0,5-11,0,0,,2,Rashaad Penny,,,0,,,,,rashaad-penny-1,151,96,RB,0,,3,224,14.9,15,136,11,1018,7.5,14,0.0,,2016,0,0.0,San Diego State,1,16,,220,1242,8.2,,0,,JR
rashaad-penny-1,2017,,0,,0,0,0,0,,13.0,5-11,0,0,,2,Rashaad Penny,,,0,,,,,rashaad-penny-1,308,168,RB,1,,2,135,7.1,19,289,23,2248,7.8,25,0.0,,2017,0,0.0,San Diego State,0,28,,220,2383,7.7,,0,,SR
rashaad-penny-1,Career,,3,,0,0,0,0,,,5-11,0,0,,7,Rashaad Penny,,,0,,,,,rashaad-penny-1,530,312,RB,1,,6,479,11.4,42,488,38,3656,7.5,44,0.0,,Career,3,0.0,San Diego State,6,52,,220,4135,7.8,,0,,
lloyd-mills-1,2014,15.0,1,1,0,0,0,0,,13.0,5-10,0,0,0,0,Lloyd Mills,,1,0,100.0,0,15,15.0,lloyd-mills-1,26,6,WR,0,226.0,1,310,14.1,22,4,0,103,25.8,1,0.0,,2014,0,0.0,San Diego State,1,1,,175,413,15.9,,0,,SO
lloyd-mills-1,2015,27.0,0,1,0,0,0,0,,7.0,5-10,0,0,0,0,Lloyd Mills,,1,0,100.0,1,7,7.0,lloyd-mills-1,2,0,WR,0,488.8,0,8,4.0,2,0,0,0,,0,0.0,,2015,0,0.0,San Diego State,0,0,,175,8,4.0,,0,,JR
lloyd-mills-1,Career,21.0,1,2,0,0,0,0,,,5-10,0,0,0,0,Lloyd Mills,,2,0,100.0,1,22,11.0,lloyd-mills-1,28,6,WR,0,357.4,1,318,13.3,24,4,0,103,25.8,1,0.0,,Career,0,0.0,San Diego State,1,1,,175,421,15.0,,0,,
ezell-ruffin-1,2012,,,,,,,,,12.0,6-1,,,,,Ezell Ruffin,,,,,,,,ezell-ruffin-1,21,0,WR,,,0,319,18.8,17,4,0,21,5.3,0,,,2012,,,San Diego State,,0,,210,340,16.2,,,,SO
ezell-ruffin-1,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,13.0,6-1,0.0,0.0,0.0,0.0,Ezell Ruffin,,2.0,0.0,0.0,0.0,0.0,0.0,ezell-ruffin-1,76,18,WR,0.0,0.0,3,1136,16.7,68,8,0,4,0.5,3,0.0,,2013,1.0,0.0,San Diego State,1.0,3,,210,1140,15.0,,0.0,,JR
ezell-ruffin-1,2014,,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,6-1,0.0,0.0,0.0,0.0,Ezell Ruffin,,0.0,0.0,,0.0,0.0,,ezell-ruffin-1,28,12,WR,0.0,,2,422,16.2,26,2,0,-2,-1.0,2,0.0,,2014,0.0,0.0,San Diego State,0.0,2,,210,420,15.0,,0.0,,SR
ezell-ruffin-1,Career,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6-1,0.0,0.0,0.0,0.0,Ezell Ruffin,,2.0,0.0,0.0,0.0,0.0,0.0,ezell-ruffin-1,125,30,WR,0.0,0.0,5,1877,16.9,111,14,0,23,1.6,5,0.0,,Career,1.0,0.0,San Diego State,1.0,5,,210,1900,15.2,,0.0,,
jemond-hazely-1,2012,,,,,,,,,6.0,6-1,,,,,Jemond Hazely,,,,,,,,jemond-hazely-1,1,0,WR,,,,,,,1,0,5,5.0,0,,,2012,,,San Diego State,,0,,195,5,5.0,,,,FR
jemond-hazely-1,2014,,,,0.0,0.0,,,,9.0,6-1,,,,0.0,Jemond Hazely,,,,,,,,jemond-hazely-1,14,6,WR,0.0,,1.0,173.0,13.3,13.0,1,0,5,5.0,1,,,2014,,,San Diego State,,1,,195,178,12.7,,,,JR
