,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
joe-gray-1,2012,5.8,,3,,,,,,3.0,6-2,,,0,,Joe Gray,,4,,75.0,0,23,5.8,joe-gray-1,2,0,QB,,123.3,,,,,2,0,0,0.0,0,,,2012,,,San Jose State,,0,,207,0,0.0,,,,FR
joe-gray-1,2014,6.4,,210,0.0,0.0,,,,11.0,6-2,,,9,0.0,Joe Gray,,330,,63.6,11,2305,7.0,joe-gray-1,58,18,QB,0.0,127.9,0.0,0.0,,0.0,58,3,99,1.7,3,,,2014,,,San Jose State,,3,,207,99,1.7,,,,JR
joe-gray-1,2015,7.4,,73,0.0,0.0,,,,6.0,6-2,,,4,0.0,Joe Gray,,105,,69.5,6,839,8.0,joe-gray-1,16,6,QB,0.0,147.9,0.0,0.0,,0.0,16,1,-11,-0.7,1,,,2015,,,San Jose State,,1,,207,-11,-0.7,,,,SR
joe-gray-1,Career,6.7,,286,0.0,0.0,,,,,6-2,,,13,0.0,Joe Gray,,439,,65.1,17,3167,7.2,joe-gray-1,76,24,QB,0.0,132.6,0.0,0.0,,0.0,76,4,88,1.2,4,,,Career,,,San Jose State,,4,,207,88,1.2,,,,
blake-jurich-1,2011,-13.7,,1,,,,,,1.0,6-4,,,1,,Blake Jurich,,3,,33.3,0,4,1.3,blake-jurich-1,3,0,QB,,-22.1,,,,,3,0,22,7.3,0,,,2011,,,San Jose State,,0,,235,22,7.3,,,,FR
blake-jurich-1,2012,7.8,,5,,,,,,13.0,6-4,,,0,,Blake Jurich,,11,,45.5,1,66,6.0,blake-jurich-1,43,18,QB,,125.9,,,,,43,3,174,4.0,3,,,2012,,,San Jose State,,3,,235,174,4.0,,,,SO
blake-jurich-1,2013,-3.8,,3,0.0,0.0,,,,5.0,6-4,,,1,0.0,Blake Jurich,,6,,50.0,0,22,3.7,blake-jurich-1,8,0,QB,0.0,47.5,0.0,0.0,,0.0,8,0,12,1.5,0,,,2013,,,San Jose State,,0,,235,12,1.5,,,,JR
blake-jurich-1,2014,5.7,,59,0.0,0.0,,,,5.0,6-4,,,5,0.0,Blake Jurich,,96,,61.5,5,672,7.0,blake-jurich-1,30,6,QB,0.0,127.0,0.0,0.0,,0.0,30,1,45,1.5,1,,,2014,,,San Jose State,,1,,235,45,1.5,,,,SR
blake-jurich-1,Career,4.9,,68,0.0,0.0,,,,,6-4,,,7,0.0,Blake Jurich,,116,,58.6,6,764,6.6,blake-jurich-1,84,24,QB,0.0,118.9,0.0,0.0,,0.0,84,4,253,3.0,4,,,Career,,,San Jose State,,4,,235,253,3.0,,,,
mitch-ravizza-1,2014,2.7,,14.0,0.0,0.0,,,,2.0,5-10,,,0.0,0.0,Mitch Ravizza,,23.0,,60.9,0.0,61.0,2.7,mitch-ravizza-1,19,6,QB,0.0,83.1,0.0,0.0,,0.0,19.0,1.0,80.0,4.2,1,,,2014,,,San Jose State,,1,,185,80,4.2,,,,SO
mitch-ravizza-1,2015,,,,,,,,,,5-10,,,,,Mitch Ravizza,,,,,,,,mitch-ravizza-1,0,0,QB,,,,,,,,,,,0,,,2015,,,San Jose State,,0,,185,0,,,,,JR
mitch-ravizza-1,Career,2.7,,14.0,0.0,0.0,,,,,5-10,,,0.0,0.0,Mitch Ravizza,,23.0,,60.9,0.0,61.0,2.7,mitch-ravizza-1,19,6,QB,0.0,83.1,0.0,0.0,,0.0,19.0,1.0,80.0,4.2,1,,,Career,,,San Jose State,,1,,185,80,4.2,,,,
