,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
brandon-bridge-1,2013,5.0,0,29,0,0,0,0,,9.0,6-5,0,0,2,0,Brandon Bridge,,66,0,43.9,1,398,6.0,brandon-bridge-1,37,6,QB,0,93.5,0,0,,0,37,1,170,4.6,1,0.0,,2013,0,0.0,South Alabama,0,1,,235,170,4.6,,0,,JR
brandon-bridge-1,2014,6.1,1,160,0,0,0,0,,11.0,6-5,0,0,8,0,Brandon Bridge,,307,0,52.1,15,1927,6.3,brandon-bridge-1,101,24,QB,0,115.8,0,0,,0,101,4,297,2.9,4,0.0,,2014,0,0.0,South Alabama,1,4,,235,297,2.9,,0,,SR
brandon-bridge-1,Career,5.9,1,189,0,0,0,0,,,6-5,0,0,10,0,Brandon Bridge,,373,0,50.7,16,2325,6.2,brandon-bridge-1,138,30,QB,0,111.8,0,0,,0,138,5,467,3.4,5,0.0,,Career,0,0.0,South Alabama,1,5,,235,467,3.4,,0,,
hunter-vaughn-1,2014,1.6,,38.0,0.0,0.0,,,,4.0,6-7,,,6.0,0.0,Hunter Vaughn,,59.0,,64.4,1.0,342.0,5.8,hunter-vaughn-1,26,6,QB,0.0,98.4,1.0,28.0,28.0,1.0,25.0,0.0,47.0,1.9,1,,,2014,,,South Alabama,,1.0,,310,75,2.9,,,,SO
hunter-vaughn-1,2015,,,,,,,,,,6-7,,,,,Hunter Vaughn,,,,,,,,hunter-vaughn-1,0,0,QB,,,,,,,,,,,0,,,2015,,,South Alabama,,0.0,,310,0,,,,,JR
hunter-vaughn-1,2019,,,,,,,,,,6-7,,,,,Hunter Vaughn,,,,,,,,hunter-vaughn-1,0,0,OL,,,,,,,,,,,0,,,2019,,,Colorado,,,,310,0,,,,,JR
hunter-vaughn-1,Career,1.6,,38.0,0.0,0.0,,,,,6-7,,,6.0,0.0,Hunter Vaughn,,59.0,,64.4,1.0,342.0,5.8,hunter-vaughn-1,26,6,OL,0.0,98.4,1.0,28.0,28.0,1.0,25.0,0.0,47.0,1.9,1,,,Career,,,Overall,,1.0,,310,75,2.9,,,,
matt-floyd-1,2012,2.2,0.0,57.0,,,,,,8.0,6-2,,,5.0,,Matt Floyd,,110.0,,51.8,0.0,466.0,4.2,matt-floyd-1,18,,QB,,78.3,,,,,18.0,0.0,-12.0,-0.7,0,0.0,,2012,2.0,0.0,South Florida,2.0,,,210,-12,-0.7,,,,FR
matt-floyd-1,2013,-0.9,0.0,9.0,,,0.0,0.0,,1.0,6-2,0.0,0.0,2.0,,Matt Floyd,,20.0,0.0,45.0,0.0,72.0,3.6,matt-floyd-1,2,,QB,,55.2,0.0,0.0,,0.0,2.0,0.0,-9.0,-4.5,0,0.0,,2013,0.0,0.0,South Florida,0.0,,,210,-9,-4.5,,0.0,,SO
matt-floyd-1,2014,2.9,0.0,19.0,,,0.0,0.0,,5.0,6-2,0.0,0.0,3.0,,Matt Floyd,,44.0,0.0,43.2,0.0,264.0,6.0,matt-floyd-1,13,,QB,,79.9,0.0,0.0,,0.0,13.0,0.0,-10.0,-0.8,0,0.0,,2014,0.0,0.0,South Alabama,0.0,,,210,-10,-0.8,,0.0,,JR
matt-floyd-1,2015,,,,,,,,,,6-2,,,,,Matt Floyd,,,,,,,,matt-floyd-1,0,,QB,,,,,,,,,,,0,,,2015,,,South Alabama,,,,210,0,,,,,SR
matt-floyd-1,Career,2.0,0.0,85.0,,,0.0,0.0,,,6-2,0.0,0.0,10.0,,Matt Floyd,,174.0,0.0,48.9,0.0,802.0,4.6,matt-floyd-1,33,,QB,,76.1,0.0,0.0,,0.0,33.0,0.0,-31.0,-0.9,0,0.0,,Career,2.0,0.0,Overall,2.0,,,210,-31,-0.9,,0.0,,
trey-fetner-1,2012,,,0,,,,,,8.0,6-0,,,0,,Trey Fetner,,0,,,0,0,,trey-fetner-1,13,12,QB,,,,,,,13,2,30,2.3,2,,,2012,,,South Alabama,,2,,225,30,2.3,,,,FR
trey-fetner-1,2013,0.0,0.0,0,0.0,0.0,0.0,0.0,,3.0,6-0,0.0,0.0,0,0.0,Trey Fetner,,1,0.0,0.0,0,0,0.0,trey-fetner-1,6,6,QB,0.0,0.0,0.0,0.0,,0.0,6,1,20,3.3,1,0.0,,2013,1.0,0.0,South Alabama,1.0,1,,225,20,3.3,,0.0,,SO
trey-fetner-1,2014,,1.0,0,0.0,0.0,0.0,0.0,,2.0,6-0,0.0,0.0,0,0.0,Trey Fetner,,0,0.0,,0,0,,trey-fetner-1,1,0,QB,0.0,,0.0,0.0,,0.0,1,0,1,1.0,0,0.0,,2014,0.0,0.0,South Alabama,1.0,0,,225,1,1.0,,0.0,,JR
trey-fetner-1,Career,0.0,1.0,0,0.0,0.0,0.0,0.0,,,6-0,0.0,0.0,0,0.0,Trey Fetner,,1,0.0,0.0,0,0,0.0,trey-fetner-1,20,18,QB,0.0,0.0,0.0,0.0,,0.0,20,3,51,2.6,3,0.0,,Career,1.0,0.0,South Alabama,2.0,3,,225,51,2.6,,0.0,,
kendall-houston-1,2012,,,,,,,,,12.0,5-10,,,,,Kendall Houston,,,,,,,,kendall-houston-1,89,18,RB,,,1,34,4.3,8,81,2,217,2.7,3,,,2012,,,South Alabama,,3,,230,251,2.8,,,,SO
kendall-houston-1,2013,,,,0.0,0.0,,,,10.0,5-10,,,,0.0,Kendall Houston,,,,,,,,kendall-houston-1,68,36,RB,0.0,,0,8,4.0,2,66,6,209,3.2,6,,,2013,,,South Alabama,,6,,230,217,3.2,,,,JR
kendall-houston-1,2014,,,,0.0,0.0,,,,13.0,5-10,,,,0.0,Kendall Houston,,,,,,,,kendall-houston-1,144,12,RB,0.0,,0,18,3.6,5,139,2,705,5.1,2,,,2014,,,South Alabama,,2,,230,723,5.0,,,,SR
kendall-houston-1,Career,,,,0.0,0.0,,,,,5-10,,,,0.0,Kendall Houston,,,,,,,,kendall-houston-1,301,66,RB,0.0,,1,60,4.0,15,286,10,1131,4.0,11,,,Career,,,South Alabama,,11,,230,1191,4.0,,,,
