,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
dylan-thompson-1,2011,8.5,,2,,,,,,4.0,6-3,,,0,,Dylan Thompson,,2,,100.0,0,17,8.5,dylan-thompson-1,5,6,QB,,171.4,,,,,5,1,16,3.2,1,,,2011,,,South Carolina,,1,,218,16,3.2,,,,FR
dylan-thompson-1,2012,9.0,,66,,,,,,11.0,6-3,,,2,,Dylan Thompson,,127,,52.0,10,1027,8.1,dylan-thompson-1,34,6,QB,,142.7,,,,,34,1,23,0.7,1,,,2012,,,South Carolina,,1,,218,23,0.7,,,,SO
dylan-thompson-1,2013,8.2,,52,0.0,0.0,,,,8.0,6-3,,,3,0.0,Dylan Thompson,,89,,58.4,4,783,8.8,dylan-thompson-1,17,18,QB,0.0,140.4,0.0,-1.0,-1.0,1.0,16,3,27,1.7,3,,,2013,,,South Carolina,,3,,218,26,1.5,,,,JR
dylan-thompson-1,2014,8.0,,270,0.0,0.0,,,,13.0,6-3,,,11,0.0,Dylan Thompson,,451,,59.9,26,3564,7.9,dylan-thompson-1,69,30,QB,0.0,140.4,1.0,21.0,10.5,2.0,67,4,-72,-1.1,5,,,2014,,,South Carolina,,5,,218,-51,-0.7,,,,SR
dylan-thompson-1,Career,8.2,,390,0.0,0.0,,,,,6-3,,,16,0.0,Dylan Thompson,,669,,58.3,40,5391,8.1,dylan-thompson-1,125,60,QB,0.0,140.9,1.0,20.0,6.7,3.0,122,9,-6,0.0,10,,,Career,,,South Carolina,,10,,218,14,0.1,,,,
connor-mitch-1,2014,3.2,,2,0,0,,,,2.0,6-3,,,0,0,Connor Mitch,,6,,33.3,0,19,3.2,connor-mitch-1,3,0,QB,0,59.9,0,0,,0,3,0,-3,-1.0,0,,,2014,,,South Carolina,,0,,211,-3,-1.0,,,,FR
connor-mitch-1,2015,6.4,,13,0,0,,,,2.0,6-3,,,0,0,Connor Mitch,,29,,44.8,1,165,5.7,connor-mitch-1,14,6,QB,0,104.0,0,0,,0,14,1,51,3.6,1,,,2015,,,South Carolina,,1,,211,51,3.6,,,,SO
connor-mitch-1,Career,5.8,,15,0,0,,,,,6-3,,,0,0,Connor Mitch,,35,,42.9,1,184,5.3,connor-mitch-1,17,6,QB,0,96.4,0,0,,0,17,1,48,2.8,1,,,Career,,,South Carolina,,1,,211,48,2.8,,,,
perry-orth-1,2013,5.0,,1,0,0,,,,1.0,6-1,,,0,0,Perry Orth,,1,,100.0,0,5,5.0,perry-orth-1,0,0,QB,0,142.0,0,0,,0,0,0,0,,0,,,2013,,,South Carolina,,0,,200,0,,,,,FR
perry-orth-1,2014,0.0,,0,0,0,,,,1.0,6-1,,,0,0,Perry Orth,,2,,0.0,0,0,0.0,perry-orth-1,1,0,QB,0,0.0,0,0,,0,1,0,-13,-13.0,0,,,2014,,,South Carolina,,0,,200,-13,-13.0,,,,SO
perry-orth-1,2015,6.8,,143,0,0,,,,12.0,6-1,,,9,0,Perry Orth,,261,,54.8,12,1929,7.4,perry-orth-1,54,18,QB,0,125.1,1,17,17.0,1,53,2,138,2.6,3,,,2015,,,South Carolina,,3,,200,155,2.9,,,,JR
perry-orth-1,2016,6.3,,57,0,0,,,,4.0,6-1,,,2,0,Perry Orth,,90,,63.3,0,661,7.3,perry-orth-1,16,0,QB,0,120.6,0,0,,0,16,0,-59,-3.7,0,,,2016,,,South Carolina,,0,,200,-59,-3.7,,,,SR
perry-orth-1,Career,6.6,,201,0,0,,,,,6-1,,,11,0,Perry Orth,,354,,56.8,12,2595,7.3,perry-orth-1,71,18,QB,0,123.3,1,17,17.0,1,70,2,66,0.9,3,,,Career,,,South Carolina,,3,,200,83,1.2,,,,
mike-davis-9,2012,,,,0,0,,,,,5-9,,,,0,Mike Davis,,,,,,,,mike-davis-9,56,12,RB,0,,0,35,8.8,4,52,2,275,5.3,2,,0.0,2012,,,South Carolina,,2,0.0,223,310,5.5,,,,FR
mike-davis-9,2013,,,,0,0,,,,12.0,5-9,,,,0,Mike Davis,,,,,,,,mike-davis-9,237,66,RB,0,,0,352,10.4,34,203,11,1183,5.8,11,,,2013,,,South Carolina,,11,,223,1535,6.5,,,,SO
mike-davis-9,2014,,,,0,0,,,,13.0,5-9,,,,0,Mike Davis,0.0,,,,,,,mike-davis-9,231,72,RB,0,,2,368,11.5,32,199,9,982,4.9,11,,,2014,,,South Carolina,,12,,223,1350,5.8,,,,JR
mike-davis-9,Career,,,,0,0,,,,,5-9,,,,0,Mike Davis,0.0,,,,,,,mike-davis-9,524,150,RB,0,,2,755,10.8,70,454,22,2440,5.4,24,,0.0,Career,,,South Carolina,,25,0.0,223,3195,6.1,,,,
brandon-wilds-1,2011,,0,,,,0,0,,13.0,6-2,,,,,Brandon Wilds,,,0,,,,,brandon-wilds-1,122,18,RB,,,0,136,9.1,15,107,3,486,4.5,3,0.0,,2011,2,0.0,South Carolina,2,3,,216,622,5.1,,,,FR
brandon-wilds-1,2013,,0,,0.0,0.0,0,0,,7.0,6-2,0.0,0.0,,0.0,Brandon Wilds,,,0,,,,,brandon-wilds-1,52,30,RB,0.0,,2,119,13.2,9,43,3,221,5.1,5,0.0,,2013,0,0.0,South Carolina,0,5,,216,340,6.5,,0.0,,SO
brandon-wilds-1,2014,,0,,0.0,0.0,0,0,,12.0,6-2,0.0,0.0,,0.0,Brandon Wilds,,,0,,,,,brandon-wilds-1,124,30,RB,0.0,,1,143,7.9,18,106,4,570,5.4,5,0.0,,2014,2,0.0,South Carolina,2,5,,216,713,5.8,,0.0,,JR
brandon-wilds-1,2015,,0,,0.0,0.0,0,0,,9.0,6-2,0.0,0.0,,0.0,Brandon Wilds,,,0,,,,,brandon-wilds-1,140,18,RB,0.0,,0,142,8.4,17,123,3,567,4.6,3,0.0,,2015,0,0.0,South Carolina,0,3,,216,709,5.1,,0.0,,SR
brandon-wilds-1,Career,,0,,0.0,0.0,0,0,,,6-2,0.0,0.0,,0.0,Brandon Wilds,,,0,,,,,brandon-wilds-1,438,96,RB,0.0,,3,540,9.2,59,379,13,1844,4.9,16,0.0,,Career,4,0.0,South Carolina,4,16,,216,2384,5.4,,0.0,,
david-williams-5,2014,,0,,0,0,0,0,,8.0,6-1,0,0,,0,David Williams,,,0,,,,,david-williams-5,52,12,RB,0,,0,99,14.1,7,45,2,256,5.7,2,0.0,,2014,0,0.0,South Carolina,0,2,,229,355,6.8,,0,,FR
david-williams-5,2015,,0,,0,0,0,0,,12.0,6-1,0,0,,0,David Williams,,,0,,,,,david-williams-5,97,0,RB,0,,0,93,8.5,11,86,0,299,3.5,0,0.0,,2015,1,0.0,South Carolina,1,0,,229,392,4.0,,0,,SO
david-williams-5,2016,,0,,0,0,0,0,,9.0,6-1,0,0,,0,David Williams,,,0,,,,,david-williams-5,65,18,RB,0,,0,72,8.0,9,56,3,239,4.3,3,0.0,,2016,0,0.0,South Carolina,0,3,,229,311,4.8,,0,,JR
david-williams-5,2017,,0,,0,0,0,0,,12.0,6-1,0,0,,0,David Williams,,,0,,,,,david-williams-5,127,60,RB,0,,2,171,17.1,10,117,8,656,5.6,10,0.0,,2017,0,0.0,Arkansas,0,10,,229,827,6.5,,0,,SR
david-williams-5,Career,,0,,0,0,0,0,,,6-1,0,0,,0,David Williams,,,0,,,,,david-williams-5,341,90,RB,0,,2,435,11.8,37,304,13,1450,4.8,15,0.0,,Career,1,0.0,Overall,1,15,,229,1885,5.5,,0,,
shon-carson-1,2011,,,,,,,,,2.0,5-8,,,,0.0,Shon Carson,,,,,,,,shon-carson-1,3,0,RB,,,,,,,3.0,0.0,9.0,3.0,0,,,2011,,,South Carolina,,0,,204,9,3.0,,,,FR
