,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
mike-white-6,2013,4.2,0.0,93.0,0.0,0.0,0.0,0.0,,6.0,6-4,0.0,0.0,9.0,0.0,Mike White,,175.0,0.0,53.1,3.0,1083.0,6.2,mike-white-6,14,0,QB,0.0,100.5,0.0,0.0,,0.0,14.0,0.0,-43.0,-3.1,0,0.0,,2013,0.0,0.0,South Florida,0.0,0,,225,-43,-3.1,,0.0,,FR
mike-white-6,2014,6.1,0.0,122.0,0.0,0.0,0.0,0.0,,11.0,6-4,0.0,0.0,7.0,0.0,Mike White,,242.0,0.0,50.4,8.0,1639.0,6.8,mike-white-6,29,0,QB,0.0,112.4,0.0,0.0,,0.0,29.0,0.0,-85.0,-2.9,0,0.0,,2014,0.0,0.0,South Florida,0.0,0,,225,-85,-2.9,,0.0,,SO
mike-white-6,2015,,,,,,,,,,6-4,,,,,Mike White,,,,,,,,mike-white-6,0,0,QB,,,,,,,,,,,0,,,2015,,,Western Kentucky,,0,,225,0,,,,,JR
mike-white-6,2016,11.5,0.0,280.0,0.0,0.0,0.0,0.0,,14.0,6-4,0.0,0.0,7.0,0.0,Mike White,,416.0,0.0,67.3,37.0,4363.0,10.5,mike-white-6,29,0,QB,0.0,181.4,0.0,0.0,,0.0,29.0,0.0,-74.0,-2.6,0,0.0,,2016,0.0,0.0,Western Kentucky,0.0,0,,225,-74,-2.6,,0.0,,JR
mike-white-6,2017,7.7,1.0,368.0,0.0,0.0,0.0,0.0,,13.0,6-4,0.0,0.0,8.0,0.0,Mike White,,560.0,0.0,65.7,26.0,4177.0,7.5,mike-white-6,64,36,QB,0.0,140.8,0.0,0.0,,0.0,64.0,6.0,-268.0,-4.2,6,0.0,,2017,0.0,0.0,Western Kentucky,1.0,6,,225,-268,-4.2,,0.0,,SR
mike-white-6,Career,8.1,1.0,863.0,0.0,0.0,0.0,0.0,,,6-4,0.0,0.0,31.0,0.0,Mike White,,1393.0,0.0,62.0,74.0,11262.0,8.1,mike-white-6,136,36,QB,0.0,142.9,0.0,0.0,,0.0,136.0,6.0,-470.0,-3.5,6,0.0,,Career,0.0,0.0,Overall,1.0,6,,225,-470,-3.5,,0.0,,
steven-bench-2,2013,4.6,0,26,0,0,0,0,,7.0,6-2,0,0,3,0,Steven Bench,,64,0,40.6,2,392,6.1,steven-bench-2,23,0,QB,0,93.0,0,0,,0,23,0,-19,-0.8,0,0.0,,2013,0,0.0,South Florida,0,0,,215,-19,-0.8,,0,,SO
steven-bench-2,2014,5.8,0,49,0,0,0,0,,6.0,6-2,0,0,2,0,Steven Bench,,100,0,49.0,3,611,6.1,steven-bench-2,16,6,QB,0,106.2,0,0,,0,16,1,-15,-0.9,1,0.0,,2014,1,0.0,South Florida,1,1,,215,-15,-0.9,,0,,JR
steven-bench-2,2015,8.0,1,13,0,0,0,0,,6.0,6-2,0,0,1,0,Steven Bench,,21,0,61.9,2,173,8.2,steven-bench-2,9,12,QB,0,153.0,0,0,,0,9,2,62,6.9,2,0.0,,2015,2,1.0,South Florida,3,2,,215,62,6.9,,0,,SR
steven-bench-2,Career,5.7,1,88,0,0,0,0,,,6-2,0,0,6,0,Steven Bench,,185,0,47.6,7,1176,6.4,steven-bench-2,48,18,QB,0,107.0,0,0,,0,48,3,28,0.6,3,0.0,,Career,3,1.0,South Florida,4,3,,215,28,0.6,,0,,
quinton-flowers-1,2014,1.1,0,8,0,0,0,0,,5.0,6-0,0,0,2,0,Quinton Flowers,,20,0,40.0,0,111,5.6,quinton-flowers-1,13,0,QB,0,66.6,0,0,,0,13,0,73,5.6,0,0.0,,2014,0,0.0,South Florida,0,0,,210,73,5.6,,0,,FR
quinton-flowers-1,2015,8.6,2,162,0,0,0,0,,13.0,6-0,0,0,8,0,Quinton Flowers,,275,0,58.9,22,2290,8.3,quinton-flowers-1,191,72,QB,0,149.4,0,0,,0,191,12,991,5.2,12,0.0,,2015,2,0.0,South Florida,4,12,,210,991,5.2,,0,,SO
quinton-flowers-1,2016,9.0,0,207,0,0,0,0,,13.0,6-0,0,0,7,0,Quinton Flowers,,331,0,62.5,24,2812,8.5,quinton-flowers-1,199,108,QB,0,153.6,0,-3,-3.0,1,198,18,1530,7.7,18,0.0,,2016,0,0.0,South Florida,0,18,,210,1527,7.7,,0,,JR
quinton-flowers-1,2017,8.9,0,188,0,0,0,0,,12.0,6-0,0,0,6,0,Quinton Flowers,,354,0,53.1,25,2911,8.2,quinton-flowers-1,196,66,QB,0,142.1,0,0,,0,196,11,1078,5.5,11,0.0,,2017,0,0.0,South Florida,0,11,,210,1078,5.5,,0,,SR
quinton-flowers-1,Career,8.7,2,565,0,0,0,0,,,6-0,0,0,23,0,Quinton Flowers,,980,0,57.7,71,8124,8.3,quinton-flowers-1,599,246,QB,0,146.5,0,-3,-3.0,1,598,41,3672,6.1,41,0.0,,Career,2,0.0,South Florida,4,41,,210,3669,6.1,,0,,
marlon-mack-1,2014,,0,,0,0,0,0,,12.0,5-11,0,0,,0,Marlon Mack,,,0,,,,,marlon-mack-1,223,54,RB,0,,0,160,7.6,21,202,9,1041,5.2,9,0.0,,2014,0,0.0,South Florida,0,9,,213,1201,5.4,,0,,FR
marlon-mack-1,2015,,1,,0,0,0,0,,12.0,5-11,0,0,,0,Marlon Mack,,,0,,,,,marlon-mack-1,226,54,RB,0,,1,111,6.9,16,210,8,1381,6.6,9,0.0,,2015,2,0.0,South Florida,3,9,,213,1492,6.6,,0,,SO
marlon-mack-1,2016,,0,,0,0,0,0,,12.0,5-11,0,0,,0,Marlon Mack,,,0,,,,,marlon-mack-1,202,90,RB,0,,0,227,8.1,28,174,15,1187,6.8,15,0.0,,2016,0,0.0,South Florida,0,15,,213,1414,7.0,,0,,JR
marlon-mack-1,Career,,1,,0,0,0,0,,,5-11,0,0,,0,Marlon Mack,,,0,,,,,marlon-mack-1,651,198,RB,0,,1,498,7.7,65,586,32,3609,6.2,33,0.0,,Career,2,0.0,South Florida,3,33,,213,4107,6.3,,0,,
dernest-johnson-1,2014,,0,0,0,0,0,0,,11.0,5-10,0,0,0,0,D'Ernest Johnson,,0,0,,0,0,,dernest-johnson-1,54,6,RB,0,,1,107,13.4,8,46,0,150,3.3,1,0.0,,2014,1,0.0,South Florida,1,1,,208,257,4.8,,0,,FR
dernest-johnson-1,2015,51.5,0,2,0,0,0,0,,13.0,5-10,0,0,0,0,D'Ernest Johnson,,2,0,100.0,2,63,31.5,dernest-johnson-1,96,30,RB,0,694.6,4,346,13.8,25,71,1,307,4.3,5,0.0,,2015,4,0.0,South Florida,4,5,,208,653,6.8,,0,,SO
dernest-johnson-1,2016,0.0,1,0,0,0,0,0,,13.0,5-10,0,0,0,0,D'Ernest Johnson,,1,0,0.0,0,0,0.0,dernest-johnson-1,139,84,RB,1,0.0,5,293,10.5,28,111,8,543,4.9,13,0.0,,2016,5,0.0,South Florida,6,14,,208,836,6.0,,0,,JR
dernest-johnson-1,2017,,0,0,0,0,0,0,,12.0,5-10,0,0,0,0,D'Ernest Johnson,,0,0,,0,0,,dernest-johnson-1,204,54,RB,0,,2,153,13.9,11,193,7,796,4.1,9,0.0,,2017,0,0.0,South Florida,0,9,,208,949,4.7,,0,,SR
dernest-johnson-1,Career,34.3,1,2,0,0,0,0,,,5-10,0,0,0,0,D'Ernest Johnson,,3,0,66.7,2,63,21.0,dernest-johnson-1,493,174,RB,1,463.1,12,899,12.5,72,421,16,1796,4.3,28,0.0,,Career,10,0.0,South Florida,11,29,,208,2695,5.5,,0,,
darius-tice-1,2013,,0,,0,0,0,0,,7.0,5-10,0,0,,0,Darius Tice,,,0,,,,,darius-tice-1,36,0,RB,0,,0,4,4.0,1,35,0,141,4.0,0,0.0,,2013,0,0.0,South Florida,0,0,,210,145,4.0,,0,,FR
darius-tice-1,2014,,0,,0,0,0,0,,9.0,5-10,0,0,,0,Darius Tice,,,0,,,,,darius-tice-1,48,0,RB,0,,0,68,8.5,8,40,0,104,2.6,0,0.0,,2014,0,0.0,South Florida,0,0,,210,172,3.6,,0,,SO
darius-tice-1,2015,,1,,0,0,0,0,,13.0,5-10,0,0,,0,Darius Tice,,,0,,,,,darius-tice-1,93,24,RB,0,,0,10,2.0,5,88,4,460,5.2,4,0.0,,2015,3,0.0,South Florida,4,4,,210,470,5.1,,0,,JR
darius-tice-1,2016,,0,,0,0,0,0,,4.0,5-10,0,0,,0,Darius Tice,,,0,,,,,darius-tice-1,32,12,RB,0,,1,54,27.0,2,30,1,169,5.6,2,0.0,,2016,0,0.0,South Florida,0,2,,210,223,7.0,,0,,SR
darius-tice-1,2017,,0,,0,0,0,0,,12.0,5-10,0,0,,0,Darius Tice,,,0,,,,,darius-tice-1,180,66,RB,0,,0,13,6.5,2,178,11,943,5.3,11,0.0,,2017,2,0.0,South Florida,2,11,,210,956,5.3,,0,,SR
darius-tice-1,Career,,1,,0,0,0,0,,,5-10,0,0,,0,Darius Tice,,,0,,,,,darius-tice-1,389,102,RB,0,,1,149,8.3,18,371,16,1817,4.9,17,0.0,,Career,5,0.0,South Florida,6,17,,210,1966,5.1,,0,,
stafon-mccray-1,2014,,0,,,,0,0,,2.0,5-11,0,0,,,Sta'Fon McCray,,,0,,,,,stafon-mccray-1,,,RB,,,,,,,,,,,,0.0,,2014,2,0.0,South Florida,2,,,215,,,,0,,FR
stafon-mccray-1,Career,,0,,,,0,0,,,5-11,0,0,,,Sta'Fon McCray,,,0,,,,,stafon-mccray-1,,,RB,,,,,,,,,,,,0.0,,Career,2,0.0,South Florida,2,,,215,,,,0,,
rodney-adams-1,2013,,0,0,0,0,0,0,,3.0,6-1,0,0,0,0,Rodney Adams,,0,0,,0,0,,rodney-adams-1,3,0,WR,0,,0,15,7.5,2,1,0,5,5.0,0,0.0,,2013,0,0.0,Toledo,0,0,,190,20,6.7,,0,,FR
rodney-adams-1,2014,0.0,0,0,0,0,0,0,,9.0,6-1,0,0,0,0,Rodney Adams,,1,0,0.0,0,0,0.0,rodney-adams-1,28,18,WR,0,0.0,2,323,14.0,23,5,1,52,10.4,3,0.0,,2014,1,0.0,South Florida,1,3,,190,375,13.4,,0,,SO
rodney-adams-1,2015,,0,0,0,0,0,0,,13.0,6-1,0,0,0,1,Rodney Adams,,0,0,,0,0,,rodney-adams-1,55,66,WR,0,,9,816,18.5,44,11,1,87,7.9,10,0.0,,2015,3,0.0,South Florida,3,11,,190,903,16.4,,0,,JR
rodney-adams-1,2016,,0,0,0,0,0,0,,13.0,6-1,0,0,0,0,Rodney Adams,,0,0,,0,0,,rodney-adams-1,90,60,WR,0,,5,822,12.3,67,23,5,231,10.0,10,0.0,,2016,1,0.0,South Florida,1,10,,190,1053,11.7,,0,,SR
rodney-adams-1,Career,0.0,0,0,0,0,0,0,,,6-1,0,0,0,1,Rodney Adams,,1,0,0.0,0,0,0.0,rodney-adams-1,176,144,WR,0,0.0,16,1976,14.5,136,40,7,375,9.4,23,0.0,,Career,5,0.0,Overall,5,24,,190,2351,13.4,,0,,
deonte-welch-1,2011,,0.0,,,,0.0,0.0,,12.0,6-0,,,,,Deonte Welch,,,0.0,,,,,deonte-welch-1,31,6,WR,,,1,433,14.0,31,,,,,1,0.0,,2011,0.0,0.0,South Florida,0.0,1,,215,433,14.0,,,,FR
deonte-welch-1,2012,,,,,,,,,12.0,6-0,,,,,Deonte Welch,,,,,,,,deonte-welch-1,18,0,WR,,,0,183,10.2,18,,,,,0,,,2012,,,South Florida,,0,,215,183,10.2,,,,SO
deonte-welch-1,2013,,0.0,,0.0,0.0,0.0,0.0,,8.0,6-0,0.0,0.0,,0.0,Deonte Welch,,,0.0,,,,,deonte-welch-1,8,0,WR,0.0,,0,123,15.4,8,0.0,0.0,0.0,,0,0.0,,2013,3.0,0.0,South Florida,3.0,0,,215,123,15.4,,0.0,,JR
deonte-welch-1,2014,,2.0,,0.0,0.0,0.0,0.0,,11.0,6-0,0.0,0.0,,0.0,Deonte Welch,,,0.0,,,,,deonte-welch-1,25,0,WR,0.0,,0,269,11.7,23,2.0,0.0,-6.0,-3.0,0,0.0,,2014,2.0,0.0,South Florida,4.0,0,,215,263,10.5,,0.0,,SR
deonte-welch-1,Career,,2.0,,0.0,0.0,0.0,0.0,,,6-0,0.0,0.0,,0.0,Deonte Welch,,,0.0,,,,,deonte-welch-1,82,6,WR,0.0,,1,1008,12.6,80,2.0,0.0,-6.0,-3.0,1,0.0,,Career,5.0,0.0,South Florida,7.0,1,,215,1002,12.2,,0.0,,
ryeshene-bronson-1,2014,,0,,0,0,0,0,,3.0,6-3,0,0,,0,Ryeshene Bronson,,,0,,,,,ryeshene-bronson-1,4,6,WR,0,,1,85,28.3,3,1,0,6,6.0,1,0.0,,2014,0,0.0,South Florida,0,1,,200,91,22.8,,0,,FR
ryeshene-bronson-1,2015,,0,,0,0,0,0,,11.0,6-3,0,0,,0,Ryeshene Bronson,,,0,,,,,ryeshene-bronson-1,17,6,WR,0,,1,258,15.2,17,0,0,0,,1,0.0,,2015,1,0.0,South Florida,1,1,,200,258,15.2,,0,,SO
ryeshene-bronson-1,2016,,0,,0,0,0,0,,7.0,6-3,0,0,,0,Ryeshene Bronson,,,0,,,,,ryeshene-bronson-1,10,6,WR,0,,1,188,18.8,10,0,0,0,,1,0.0,,2016,2,0.0,South Florida,2,1,,200,188,18.8,,0,,JR
ryeshene-bronson-1,2018,,0,,0,0,0,0,,8.0,6-3,0,0,,0,Ryeshene Bronson,,,0,,,,,ryeshene-bronson-1,26,6,WR,0,,1,281,11.2,25,1,0,3,3.0,1,0.0,,2018,0,0.0,South Florida,0,1,,200,284,10.9,,0,,SR
ryeshene-bronson-1,Career,,0,,0,0,0,0,,,6-3,0,0,,0,Ryeshene Bronson,,,0,,,,,ryeshene-bronson-1,57,24,WR,0,,4,812,14.8,55,2,0,9,4.5,4,0.0,,Career,3,0.0,South Florida,3,4,,200,821,14.4,,0,,
andre-davis-4,2011,,0,,,,0.0,0.0,,11.0,6-1,,,,,Andre Davis,,,0.0,,,,,andre-davis-4,22,18,WR,1,,2,273,12.4,22,,,,,2,0.0,,2011,0,0.0,South Florida,0,3,,205,273,12.4,,,,FR
andre-davis-4,2012,0.0,0,0.0,,,,,,12.0,6-1,,,0.0,,Andre Davis,,1.0,,0.0,0.0,0.0,0.0,andre-davis-4,46,36,WR,0,0.0,6,534,11.6,46,,,,,6,0.0,,2012,1,0.0,South Florida,1,6,,205,534,11.6,,,,SO
andre-davis-4,2013,,0,0.0,0.0,0.0,0.0,0.0,,12.0,6-1,0.0,0.0,0.0,0.0,Andre Davis,,0.0,0.0,,0.0,0.0,,andre-davis-4,49,12,WR,0,,2,735,15.0,49,0.0,0.0,0.0,,2,0.0,,2013,3,0.0,South Florida,3,2,,205,735,15.0,,0.0,,JR
andre-davis-4,2014,,0,0.0,0.0,0.0,0.0,0.0,,8.0,6-1,0.0,0.0,0.0,0.0,Andre Davis,,0.0,0.0,,0.0,0.0,,andre-davis-4,36,42,WR,0,,7,594,16.5,36,0.0,0.0,0.0,,7,0.0,,2014,1,0.0,South Florida,1,7,,205,594,16.5,,0.0,,SR
andre-davis-4,Career,0.0,0,0.0,0.0,0.0,0.0,0.0,,,6-1,0.0,0.0,0.0,0.0,Andre Davis,,1.0,0.0,0.0,0.0,0.0,0.0,andre-davis-4,153,108,WR,1,0.0,17,2136,14.0,153,0.0,0.0,0.0,,17,0.0,,Career,5,0.0,South Florida,5,18,,205,2136,14.0,,0.0,,
eric-dungy-1,2011,,0,,,,0.0,0.0,,5.0,6-1,,,,,Eric Dungy,,,0.0,,,,,eric-dungy-1,2,6,WR,,,1,34,17.0,2,,,,,1,0.0,,2011,0,0.0,Oregon,0,1,,190,34,17.0,,,,FR
eric-dungy-1,2012,,2,,,,,,,11.0,6-1,,,,,Eric Dungy,,,,,,,,eric-dungy-1,5,0,WR,,,0,41,8.2,5,,,,,0,0.0,,2012,2,0.0,Oregon,4,0,,190,41,8.2,,,,SO
eric-dungy-1,2014,,0,,0.0,0.0,0.0,0.0,,1.0,6-1,0.0,0.0,,0.0,Eric Dungy,,,0.0,,,,,eric-dungy-1,1,0,WR,0.0,,0,7,7.0,1,0.0,0.0,0.0,,0,0.0,,2014,0,0.0,South Florida,0,0,,190,7,7.0,,0.0,,JR
eric-dungy-1,Career,,2,,0.0,0.0,0.0,0.0,,,6-1,0.0,0.0,,0.0,Eric Dungy,,,0.0,,,,,eric-dungy-1,8,6,WR,0.0,,1,82,10.3,8,0.0,0.0,0.0,,1,0.0,,Career,2,0.0,Overall,4,1,,190,82,10.3,,0.0,,
chris-dunkley-1,2012,,,,,,,,,4.0,6-0,,,,,Chris Dunkley,,,,,,,,chris-dunkley-1,4,6,WR,,,1,93,23.3,4,,,,,1,,,2012,,,South Florida,,1,,188,93,23.3,,,,SO
chris-dunkley-1,2013,,0.0,,0.0,0.0,0.0,0.0,,8.0,6-0,0.0,0.0,,0.0,Chris Dunkley,,,0.0,,,,,chris-dunkley-1,12,12,WR,1.0,,0,87,12.4,7,5.0,1.0,53.0,10.6,1,0.0,,2013,1.0,0.0,South Florida,1.0,2,,188,140,11.7,,0.0,,JR
chris-dunkley-1,2014,,3.0,,0.0,0.0,1.0,1.0,,11.0,6-0,0.0,0.0,,0.0,Chris Dunkley,,,5.0,,,,,chris-dunkley-1,0,0,WR,0.0,,0,0,,0,0.0,0.0,0.0,,0,1.0,,2014,23.0,1.5,South Florida,26.0,0,,188,0,,,0.0,,SR
chris-dunkley-1,Career,,3.0,,0.0,0.0,1.0,1.0,,,6-0,0.0,0.0,,0.0,Chris Dunkley,,,5.0,,,,,chris-dunkley-1,16,18,WR,1.0,,1,180,16.4,11,5.0,1.0,53.0,10.6,2,1.0,,Career,24.0,1.5,South Florida,27.0,3,,188,233,14.6,,0.0,,
mike-mcfarland-1,2011,,0.0,,,,0.0,0.0,,12.0,6-5,,,,,Mike McFarland,,,0.0,,,,,mike-mcfarland-1,1,0,TE,,,0,8,8.0,1,,,,,0,0.0,,2011,0.0,0.0,South Florida,0.0,0,,252,8,8.0,,,,FR
mike-mcfarland-1,2012,,,,,,,,,11.0,6-5,,,,,Mike McFarland,,,,,,,,mike-mcfarland-1,4,0,TE,,,0,32,8.0,4,,,,,0,,,2012,,,South Florida,,0,,252,32,8.0,,,,SO
mike-mcfarland-1,2013,,0.0,0.0,0.0,0.0,0.0,0.0,,11.0,6-5,0.0,0.0,0.0,0.0,Mike McFarland,,0.0,0.0,,0.0,0.0,,mike-mcfarland-1,23,12,TE,0.0,,2,288,12.5,23,0.0,0.0,0.0,,2,0.0,,2013,0.0,0.0,South Florida,0.0,2,,252,288,12.5,,0.0,,JR
mike-mcfarland-1,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,6-5,0.0,0.0,0.0,0.0,Mike McFarland,,1.0,0.0,0.0,0.0,0.0,0.0,mike-mcfarland-1,27,0,TE,0.0,0.0,0,315,11.7,27,0.0,0.0,0.0,,0,0.0,,2014,1.0,0.0,South Florida,1.0,0,,252,315,11.7,,0.0,,SR
mike-mcfarland-1,Career,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6-5,0.0,0.0,0.0,0.0,Mike McFarland,,1.0,0.0,0.0,0.0,0.0,0.0,mike-mcfarland-1,55,12,TE,0.0,0.0,2,643,11.7,55,0.0,0.0,0.0,,2,0.0,,Career,1.0,0.0,South Florida,1.0,2,,252,643,11.7,,0.0,,
sean-price-1,2012,,,,,,,,,12.0,6-3,,,,0,Sean Price,,,,,,,,sean-price-1,21,6,TE,,,1,209,10.0,21,,,,,1,,,2012,,,South Florida,,1,,252,209,10.0,,,,FR
sean-price-1,2013,,0.0,,0.0,0.0,0.0,0.0,,9.0,6-3,0.0,0.0,,0,Sean Price,,,0.0,,,,,sean-price-1,21,0,TE,0.0,,0,185,8.8,21,0.0,0.0,0.0,,0,0.0,,2013,0.0,0.0,South Florida,0.0,0,,252,185,8.8,,0.0,,SO
sean-price-1,2014,,1.0,,0.0,0.0,0.0,0.0,,8.0,6-3,0.0,0.0,,0,Sean Price,,,0.0,,,,,sean-price-1,14,0,TE,0.0,,0,207,14.8,14,0.0,0.0,0.0,,0,0.0,,2014,0.0,0.0,South Florida,1.0,0,,252,207,14.8,,0.0,,JR
sean-price-1,2015,,0.0,,0.0,0.0,0.0,0.0,,9.0,6-3,0.0,0.0,,0,Sean Price,,,0.0,,,,,sean-price-1,20,30,TE,0.0,,5,306,15.3,20,0.0,0.0,0.0,,5,0.0,,2015,0.0,0.0,South Florida,0.0,5,,252,306,15.3,,0.0,,SR
sean-price-1,Career,,1.0,,0.0,0.0,0.0,0.0,,,6-3,0.0,0.0,,0,Sean Price,,,0.0,,,,,sean-price-1,76,36,TE,0.0,,6,907,11.9,76,0.0,0.0,0.0,,6,0.0,,Career,0.0,0.0,South Florida,1.0,6,,252,907,11.9,,0.0,,
marlon-pope-1,2014,,2,,,,0,0,,4.0,6-4,0,0,,,Marlon Pope,,,0,,,,,marlon-pope-1,1,,TE,,,0,10,10.0,1,0,0,0,,0,0.0,,2014,3,0.0,South Florida,5,,,260,10,10.0,,0,,JR
marlon-pope-1,2015,,0,,,,0,0,,2.0,6-4,0,0,,,Marlon Pope,,,0,,,,,marlon-pope-1,2,,TE,,,0,42,21.0,2,0,0,0,,0,0.0,,2015,0,0.0,South Florida,0,,,260,42,21.0,,0,,SR
marlon-pope-1,Career,,2,,,,0,0,,,6-4,0,0,,,Marlon Pope,,,0,,,,,marlon-pope-1,3,,TE,,,0,52,17.3,3,0,0,0,,0,0.0,,Career,3,0.0,South Florida,5,,,260,52,17.3,,0,,
marvin-kloss-1,2011,,1,,0,0,0,0,,12.0,6-0,0.0,0.0,,0,Marvin Kloss,,,1,,,,,marvin-kloss-1,,0,K,0,,,,,,,,,,,0.0,0.0,2011,1,0.0,South Florida,2,0,0.0,209,,,,0.0,,FR
marvin-kloss-1,2012,,2,,0,0,0,0,0.0,,6-0,,,,0,Marvin Kloss,,,0,,,,,marvin-kloss-1,,0,K,0,,,,,,,,,,,0.0,0.0,2012,0,0.0,South Florida,2,0,0.0,209,,,0.0,,,SO
marvin-kloss-1,2013,,0,,15,18,0,0,,12.0,6-0,0.0,0.0,,0,Marvin Kloss,,,0,,,,,marvin-kloss-1,,69,K,0,,,,,,,,,,,0.0,,2013,0,0.0,South Florida,0,0,,209,,,,0.0,,JR
marvin-kloss-1,2014,,0,,23,13,0,0,,12.0,6-0,0.0,0.0,,0,Marvin Kloss,,,0,,,,,marvin-kloss-1,,62,K,0,,,,,,,,,,,0.0,,2014,0,0.0,South Florida,0,0,,209,,,,0.0,,SR
marvin-kloss-1,Career,,3,,38,31,0,0,0.0,,6-0,0.0,0.0,,0,Marvin Kloss,,,1,,,,,marvin-kloss-1,,131,K,0,,,,,,,,,,,0.0,0.0,Career,1,0.0,South Florida,4,0,0.0,209,,,0.0,0.0,,
elkino-watson-1,2011,,15,,,,0.0,0.0,,12.0,6-2,0,0,,,Elkino Watson,,,0.0,,,,,elkino-watson-1,,,DL,,,,,,,,,,,,1.0,,2011,18,9.0,South Florida,33,,,291,,,,0,,FR
