,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
cody-kessler-1,2012,4.5,,2,,,,,,10.0,6-1,,,0,,Cody Kessler,,2,,100.0,0,9,4.5,cody-kessler-1,0,0,QB,,137.8,,,,,,,,,0,,,2012,,,USC,,0,,215,0,,,,,FR
cody-kessler-1,2013,8.5,0.0,236,0.0,0.0,0.0,0.0,,14.0,6-1,0.0,0.0,7,0.0,Cody Kessler,,361,0.0,65.4,20,2968,8.2,cody-kessler-1,42,6,QB,0.0,148.8,0.0,0.0,,0.0,42.0,1.0,-124.0,-3.0,1,0.0,,2013,0.0,0.0,USC,0.0,1,,215,-124,-3.0,,0.0,,SO
cody-kessler-1,2014,9.7,0.0,315,0.0,0.0,0.0,0.0,,13.0,6-1,0.0,0.0,5,0.0,Cody Kessler,,452,0.0,69.7,39,3826,8.5,cody-kessler-1,55,12,QB,0.0,167.1,0.0,0.0,,0.0,55.0,2.0,-152.0,-2.8,2,0.0,,2014,0.0,0.0,USC,0.0,2,,215,-152,-2.8,,0.0,,JR
cody-kessler-1,2015,8.5,0.0,298,0.0,0.0,0.0,0.0,,14.0,6-1,0.0,0.0,7,0.0,Cody Kessler,,446,0.0,66.8,29,3536,7.9,cody-kessler-1,61,24,QB,0.0,151.7,0.0,0.0,,0.0,61.0,4.0,-149.0,-2.4,4,0.0,,2015,1.0,0.0,USC,1.0,4,,215,-149,-2.4,,0.0,,SR
cody-kessler-1,Career,8.9,0.0,851,0.0,0.0,0.0,0.0,,,6-1,0.0,0.0,19,0.0,Cody Kessler,,1261,0.0,67.5,88,10339,8.2,cody-kessler-1,158,42,QB,0.0,156.4,0.0,0.0,,0.0,158.0,7.0,-425.0,-2.7,7,0.0,,Career,1.0,0.0,USC,1.0,7,,215,-425,-2.7,,0.0,,
max-browne-1,2014,4.3,,3,,,,,,3.0,6-5,,,0,,Max Browne,,7,,42.9,0,30,4.3,max-browne-1,4,,QB,,78.9,0,0,,0,4,0,13,3.3,0,,,2014,,,USC,,,,230,13,3.3,,,,FR
max-browne-1,2015,9.4,,8,,,,,,3.0,6-5,,,0,,Max Browne,,12,,66.7,0,113,9.4,max-browne-1,0,,QB,,145.8,0,0,,0,0,0,0,,0,,,2015,,,USC,,,,230,0,,,,,SO
max-browne-1,2016,4.9,,58,,,,,,8.0,6-5,,,2,,Max Browne,,93,,62.4,2,507,5.5,max-browne-1,9,,QB,,111.0,0,0,,0,9,0,-23,-2.6,0,,,2016,,,USC,,,,230,-23,-2.6,,,,JR
max-browne-1,2017,7.5,,96,,,,,,6.0,6-5,,,2,,Max Browne,,135,,71.1,5,997,7.4,max-browne-1,19,,QB,,142.4,0,0,,0,19,0,-74,-3.9,0,,,2017,,,Pitt,,,,230,-74,-3.9,,,,SR
max-browne-1,Career,6.5,,165,,,,,,,6-5,,,4,,Max Browne,,247,,66.8,7,1647,6.7,max-browne-1,32,,QB,,128.9,0,0,,0,32,0,-84,-2.6,0,,,Career,,,Overall,,,,230,-84,-2.6,,,,
