,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
garrett-krstich-1,2013,-6.4,,1,,,,,,1.0,6-3,,,1,,Garrett Krstich,,5,,20.0,0,13,2.6,garrett-krstich-1,2,,QB,,1.8,0,0,,0,2,0,2,1.0,0,,,2013,,,SMU,,,,224,2,1.0,,,,SO
garrett-krstich-1,2014,3.2,,99,,,,,,6.0,6-3,,,7,,Garrett Krstich,,181,,54.7,2,855,4.7,garrett-krstich-1,40,,QB,,90.3,0,0,,0,40,0,81,2.0,0,,,2014,,,SMU,,,,224,81,2.0,,,,JR
garrett-krstich-1,2015,-22.5,,1,,,,,,1.0,6-3,,,1,,Garrett Krstich,,2,,50.0,0,0,0.0,garrett-krstich-1,2,,QB,,-50.0,0,0,,0,2,0,16,8.0,0,,,2015,,,SMU,,,,224,16,8.0,,,,SR
garrett-krstich-1,Career,2.7,,101,,,,,,,6-3,,,9,,Garrett Krstich,,188,,53.7,2,868,4.6,garrett-krstich-1,44,,QB,,86.4,0,0,,0,44,0,99,2.3,0,,,Career,,,SMU,,,,224,99,2.3,,,,
matt-davis-4,2014,4.2,0,89,0,0,0,0,,10.0,6-0,0,0,5,0,Matt Davis,,164,0,54.3,3,855,5.2,matt-davis-4,108,24,QB,0,98.0,0,0,,0,108,4,613,5.7,4,0.0,,2014,0,0.0,SMU,0,4,,212,613,5.7,,0,,SO
matt-davis-4,2015,6.7,0,182,0,0,0,0,,12.0,6-0,0,0,7,0,Matt Davis,,336,0,54.2,16,2259,6.7,matt-davis-4,187,60,QB,0,122.2,0,0,,0,187,10,761,4.1,10,0.0,,2015,2,0.0,SMU,2,10,,212,761,4.1,,0,,JR
matt-davis-4,2016,8.8,0,8,0,0,0,0,,1.0,6-0,0,0,1,0,Matt Davis,,17,0,47.1,2,155,9.1,matt-davis-4,14,0,QB,0,150.7,0,0,,0,14,0,91,6.5,0,0.0,,2016,1,0.0,SMU,1,0,,212,91,6.5,,0,,SR
matt-davis-4,Career,6.0,0,279,0,0,0,0,,,6-0,0,0,13,0,Matt Davis,,517,0,54.0,21,3269,6.3,matt-davis-4,309,84,QB,0,115.5,0,0,,0,309,14,1465,4.7,14,0.0,,Career,3,0.0,SMU,3,14,,212,1465,4.7,,0,,
neal-burcham-1,2013,3.8,,64,,,,,,4.0,6-3,,,4,,Neal Burcham,,109,,58.7,2,556,5.1,neal-burcham-1,13,,QB,,100.3,0,0,,0,13,0,-62,-4.8,0,,,2013,,,SMU,,,,207,-62,-4.8,,,,FR
neal-burcham-1,2014,1.4,,27,,,,,,2.0,6-3,,,2,,Neal Burcham,,48,,56.3,0,158,3.3,neal-burcham-1,7,,QB,,75.6,0,0,,0,7,0,-42,-6.0,0,,,2014,,,SMU,,,,207,-42,-6.0,,,,SO
neal-burcham-1,Career,3.1,,91,,,,,,,6-3,,,6,,Neal Burcham,,157,,58.0,2,714,4.5,neal-burcham-1,20,,QB,,92.7,0,0,,0,20,0,-104,-5.2,0,,,Career,,,SMU,,,,207,-104,-5.2,,,,
kolney-cassel-1,2014,4.8,,15,,,,,,5.0,6-2,,,0,,Kolney Cassel,,37,,40.5,1,156,4.2,kolney-cassel-1,6,,QB,,84.9,0,0,,0,6,0,-38,-6.3,0,,,2014,,,SMU,,,,200,-38,-6.3,,,,FR
kolney-cassel-1,2018,8.0,,1,,,,,,1.0,6-2,,,0,,Kolney Cassel,,1,,100.0,0,8,8.0,kolney-cassel-1,0,,QB,,167.2,0,0,,0,0,0,0,,0,,,2018,,,Hawaii,,,,200,0,,,,,SR
kolney-cassel-1,Career,4.8,,16,,,,,,,6-2,,,0,,Kolney Cassel,,38,,42.1,1,164,4.3,kolney-cassel-1,6,,QB,,87.0,0,0,,0,6,0,-38,-6.3,0,,,Career,,,Overall,,,,200,-38,-6.3,,,,
prescott-line-1,2013,,0,,0,0,0,0,,12.0,6-0,0,0,,0,Prescott Line,,,0,,,,,prescott-line-1,101,18,RB,0,,0,56,5.1,11,90,3,332,3.7,3,0.0,,2013,1,0.0,SMU,1,3,,253,388,3.8,,0,,FR
prescott-line-1,2014,,1,,0,0,1,1,,11.0,6-0,0,0,,0,Prescott Line,,,0,,,,,prescott-line-1,88,24,RB,0,,0,41,4.1,10,78,4,256,3.3,4,0.0,,2014,1,0.0,SMU,2,4,,253,297,3.4,,0,,SO
prescott-line-1,2015,,0,,0,0,0,0,,11.0,6-0,0,0,,0,Prescott Line,,,0,,,,,prescott-line-1,66,6,RB,0,,0,51,8.5,6,60,1,186,3.1,1,0.0,,2015,0,0.0,SMU,0,1,,253,237,3.6,,0,,JR
prescott-line-1,2016,,0,,0,0,0,0,,6.0,6-0,0,0,,0,Prescott Line,,,0,,,,,prescott-line-1,8,0,FB,0,,0,18,6.0,3,5,0,12,2.4,0,0.0,,2016,0,0.0,Michigan State,0,0,,253,30,3.8,,0,,SR
prescott-line-1,Career,,1,,0,0,1,1,,,6-0,0,0,,0,Prescott Line,,,0,,,,,prescott-line-1,263,48,FB,0,,0,166,5.5,30,233,8,786,3.4,8,0.0,,Career,2,0.0,Overall,3,8,,253,952,3.6,,0,,
kc-nlemchi-1,2013,,,,0,0,,,,8.0,6-0,,,,0,K.C. Nlemchi,,,,,,,,kc-nlemchi-1,67,6,RB,0,,0,99,6.2,16,51,1,238,4.7,1,,,2013,,,SMU,,1,,220,337,5.0,,,,SO
kc-nlemchi-1,2014,,,,0,0,,,,9.0,6-0,,,,0,K.C. Nlemchi,,,,,,,,kc-nlemchi-1,63,6,RB,0,,0,131,8.2,16,47,1,149,3.2,1,,,2014,,,SMU,,1,,220,280,4.4,,,,JR
kc-nlemchi-1,2015,,,,0,0,,,,1.0,6-0,,,,0,K.C. Nlemchi,,,,,,,,kc-nlemchi-1,1,0,RB,0,,0,3,3.0,1,0,0,0,,0,,,2015,,,SMU,,0,,220,3,3.0,,,,SR
