,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
nick-mullens-1,2013,5.1,0,136,0,0,0,0,,9.0,6-1,0,0,14,0,Nick Mullens,,276,0,49.3,13,1776,6.4,nick-mullens-1,40,12,QB,0,108.7,0,0,,0,40,2,-103,-2.6,2,0.0,,2013,1,0.0,Southern Mississippi,1,2,,187,-103,-2.6,,0,,FR
nick-mullens-1,2014,6.3,0,218,0,0,0,0,,10.0,6-1,0,0,9,0,Nick Mullens,,365,0,59.7,12,2470,6.8,nick-mullens-1,49,0,QB,0,122.5,0,0,,0,49,0,39,0.8,0,0.0,,2014,0,0.0,Southern Mississippi,0,0,,187,39,0.8,,0,,SO
nick-mullens-1,2015,9.0,0,331,0,0,0,0,,14.0,6-1,0,0,12,0,Nick Mullens,,521,0,63.5,38,4476,8.6,nick-mullens-1,43,18,QB,0,155.2,0,0,,0,43,3,-92,-2.1,3,0.0,,2015,0,0.0,Southern Mississippi,0,3,,187,-92,-2.1,,0,,JR
nick-mullens-1,2016,8.5,0,243,0,0,0,0,,11.0,6-1,0,0,11,0,Nick Mullens,,384,0,63.3,24,3272,8.5,nick-mullens-1,51,24,QB,0,149.8,0,0,,0,51,4,-54,-1.1,4,0.0,,2016,2,0.0,Southern Mississippi,2,4,,187,-54,-1.1,,0,,SR
nick-mullens-1,Career,7.5,0,928,0,0,0,0,,,6-1,0,0,46,0,Nick Mullens,,1546,0,60.0,87,11994,7.8,nick-mullens-1,183,54,QB,0,137.8,0,0,,0,183,9,-210,-1.1,9,0.0,,Career,3,0.0,Southern Mississippi,3,9,,187,-210,-1.1,,0,,
cole-weeks-1,2012,3.2,,8,,,,,,2.0,6-0,,,1,,Cole Weeks,,19,,42.1,0,106,5.6,cole-weeks-1,4,,QB,,78.4,,,,,4,0,1,0.3,0,,,2012,,,Southern Mississippi,,,,198,1,0.3,,,,SO
cole-weeks-1,2013,,,0,,,,,,1.0,6-0,,,0,,Cole Weeks,,0,,,0,0,,cole-weeks-1,0,,QB,,,0.0,0.0,,0.0,0,0,0,,0,,,2013,,,Southern Mississippi,,,,198,0,,,,,JR
cole-weeks-1,2014,5.1,,59,,,,,,5.0,6-0,,,5,,Cole Weeks,,112,,52.7,2,761,6.8,cole-weeks-1,25,,QB,,106.7,0.0,0.0,,0.0,25,0,-28,-1.1,0,,,2014,,,Southern Mississippi,,,,198,-28,-1.1,,,,SR
cole-weeks-1,Career,4.9,,67,,,,,,,6-0,,,6,,Cole Weeks,,131,,51.1,2,867,6.6,cole-weeks-1,29,,QB,,102.6,0.0,0.0,,0.0,29,0,-27,-0.9,0,,,Career,,,Southern Mississippi,,,,198,-27,-0.9,,,,
parker-adamson-1,2014,0.0,,0.0,0.0,0.0,,,,1.0,6-4,,,0.0,0.0,Parker Adamson,,1.0,,0.0,0.0,0.0,0.0,parker-adamson-1,0,0,QB,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0,,,2014,,,Southern Mississippi,,0,,214,0,,,,,FR
parker-adamson-1,2015,,,,,,,,,,6-4,,,,,Parker Adamson,,,,,,,,parker-adamson-1,0,0,QB,,,,,,,,,,,0,,,2015,,,Southern Mississippi,,0,,214,0,,,,,SO
parker-adamson-1,2016,5.5,,19.0,0.0,0.0,,,,4.0,6-4,,,0.0,0.0,Parker Adamson,,39.0,,48.7,1.0,193.0,4.9,parker-adamson-1,13,6,QB,0.0,98.7,0.0,0.0,,0.0,13.0,1.0,60.0,4.6,1,,,2016,,,Southern Mississippi,,1,,214,60,4.6,,,,JR
parker-adamson-1,Career,5.3,,19.0,0.0,0.0,,,,,6-4,,,0.0,0.0,Parker Adamson,,40.0,,47.5,1.0,193.0,4.8,parker-adamson-1,13,6,QB,0.0,96.3,0.0,0.0,,0.0,13.0,1.0,60.0,4.6,1,,,Career,,,Southern Mississippi,,1,,214,60,4.6,,,,
tez-parks-1,2014,0.0,1,0,0,0,0,0,,8.0,6-1,0,0,0,0,Tez Parks,,1,0,0.0,0,0,0.0,tez-parks-1,33,0,RB,0,0.0,0,28,5.6,5,28,0,156,5.6,0,0.0,,2014,0,0.0,Southern Mississippi,1,0,,210,184,5.6,,0,,FR
tez-parks-1,2015,,0,0,0,0,0,0,,1.0,6-1,0,0,0,0,Tez Parks,,0,0,,0,0,,tez-parks-1,0,0,RB,0,,0,0,,0,0,0,0,,0,0.0,,2015,1,0.0,Southern Mississippi,1,0,,210,0,,,0,,SO
tez-parks-1,2016,-45.0,0,0,0,0,0,0,,10.0,6-1,0,0,1,0,Tez Parks,,1,0,0.0,0,0,0.0,tez-parks-1,35,0,RB,0,-200.0,0,9,9.0,1,34,0,155,4.6,0,0.0,,2016,0,0.0,Southern Mississippi,0,0,,210,164,4.7,,0,,SO
tez-parks-1,2017,0.0,0,0,0,0,0,0,,9.0,6-1,0,0,0,0,Tez Parks,,1,0,0.0,0,0,0.0,tez-parks-1,64,6,RB,0,0.0,0,83,7.5,11,53,1,272,5.1,1,0.0,,2017,1,0.0,Southern Mississippi,1,1,,210,355,5.5,,0,,JR
tez-parks-1,2018,,0,0,0,0,0,0,,5.0,6-1,0,0,0,0,Tez Parks,,0,0,,0,0,,tez-parks-1,55,6,RB,0,,1,98,12.3,8,47,0,127,2.7,1,0.0,,2018,1,0.0,Southern Mississippi,1,1,,210,225,4.1,,0,,SR
tez-parks-1,Career,-15.0,1,0,0,0,0,0,,,6-1,0,0,1,0,Tez Parks,,3,0,0.0,0,0,0.0,tez-parks-1,187,12,RB,0,-66.7,1,218,8.7,25,162,1,710,4.4,2,0.0,,Career,3,0.0,Southern Mississippi,4,2,,210,928,5.0,,0,,
ito-smith-1,2014,,0,,0,0,0,0,,11.0,5-9,0,0,,0,Ito Smith,,,0,,,,,ito-smith-1,144,12,RB,0,,0,76,9.5,8,136,2,536,3.9,2,0.0,,2014,0,0.0,Southern Mississippi,0,2,,195,612,4.3,,0,,FR
ito-smith-1,2015,,0,,0,0,0,0,,14.0,5-9,0,0,,0,Ito Smith,,,0,,,,,ito-smith-1,220,78,RB,0,,3,515,10.5,49,171,10,1128,6.6,13,0.0,,2015,3,0.0,Southern Mississippi,3,13,,195,1643,7.5,,0,,SO
ito-smith-1,2016,,0,,0,0,0,0,,13.0,5-9,0,0,,0,Ito Smith,,,0,,,,,ito-smith-1,308,114,RB,0,,2,459,10.7,43,265,17,1459,5.5,19,0.0,,2016,2,0.0,Southern Mississippi,2,19,,195,1918,6.2,,0,,JR
ito-smith-1,2017,,0,,0,0,0,0,,13.0,5-9,0,0,,0,Ito Smith,,,0,,,,,ito-smith-1,288,90,RB,0,,2,396,9.9,40,248,13,1415,5.7,15,0.0,,2017,0,0.0,Southern Mississippi,0,15,,195,1811,6.3,,0,,SR
ito-smith-1,Career,,0,,0,0,0,0,,,5-9,0,0,,0,Ito Smith,,,0,,,,,ito-smith-1,960,294,RB,0,,7,1446,10.3,140,820,42,4538,5.5,49,0.0,,Career,5,0.0,Southern Mississippi,5,49,,195,5984,6.2,,0,,
george-payne-1,2013,,0.0,,0.0,0.0,0.0,0.0,,5.0,6-0,0.0,0.0,,0.0,George Payne,,,0.0,,,,,george-payne-1,45,6,RB,0.0,,0.0,7.0,3.5,2.0,43.0,1.0,173.0,4.0,1,0.0,,2013,0.0,0.0,Southern Mississippi,0.0,1,,207,180,4.0,,0.0,,FR
george-payne-1,2014,,0.0,,0.0,0.0,0.0,0.0,,10.0,6-0,0.0,0.0,,0.0,George Payne,,,0.0,,,,,george-payne-1,94,42,RB,0.0,,1.0,109.0,13.6,8.0,86.0,6.0,271.0,3.2,7,0.0,,2014,0.0,0.0,Southern Mississippi,0.0,7,,207,380,4.0,,0.0,,SO
george-payne-1,2015,,,,,,,,,,6-0,,,,,George Payne,,,,,,,,george-payne-1,0,0,RB,,,,,,,,,,,0,,,2015,,,Southern Mississippi,,0,,207,0,,,,,JR
george-payne-1,2016,,0.0,,0.0,0.0,0.0,0.0,,13.0,6-0,0.0,0.0,,0.0,George Payne,,,0.0,,,,,george-payne-1,113,12,RB,0.0,,0.0,67.0,6.7,10.0,103.0,2.0,496.0,4.8,2,0.0,,2016,1.0,0.0,Southern Mississippi,1.0,2,,207,563,5.0,,0.0,,JR
george-payne-1,2018,,1.0,,0.0,0.0,0.0,0.0,,1.0,6-0,0.0,0.0,,0.0,George Payne,,,0.0,,,,,george-payne-1,0,0,RB,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0,0.0,,2018,0.0,0.5,Southern Mississippi,1.0,0,,207,0,,,0.0,,SR
george-payne-1,Career,,1.0,,0.0,0.0,0.0,0.0,,,6-0,0.0,0.0,,0.0,George Payne,,,0.0,,,,,george-payne-1,252,60,RB,0.0,,1.0,183.0,9.2,20.0,232.0,9.0,940.0,4.1,10,0.0,,Career,1.0,0.5,Southern Mississippi,2.0,10,,207,1123,4.5,,0.0,,
jalen-richard-1,2012,,0,,,,,,,10.0,5-8,,,,0,Jalen Richard,,,,,,,,jalen-richard-1,95,30,RB,,,1,39,4.9,8,87,4,426,4.9,5,0.0,,2012,1,0.0,Southern Mississippi,1,5,,207,465,4.9,,,,FR
jalen-richard-1,2013,,1,,0.0,0.0,0.0,0.0,,11.0,5-8,0.0,0.0,,0,Jalen Richard,,,0.0,,,,,jalen-richard-1,106,6,RB,0.0,,1,168,8.0,21,85,0,326,3.8,1,0.0,,2013,0,0.0,Southern Mississippi,1,1,,207,494,4.7,,0.0,,SO
jalen-richard-1,2014,,0,,0.0,0.0,0.0,0.0,,7.0,5-8,0.0,0.0,,0,Jalen Richard,,,0.0,,,,,jalen-richard-1,64,12,RB,0.0,,1,184,7.7,24,40,1,236,5.9,2,0.0,,2014,0,0.0,Southern Mississippi,0,2,,207,420,6.6,,0.0,,JR
jalen-richard-1,2015,,0,,0.0,0.0,0.0,0.0,,13.0,5-8,0.0,0.0,,1,Jalen Richard,,,0.0,,,,,jalen-richard-1,215,102,RB,0.0,,2,284,9.5,30,185,14,1098,5.9,16,0.0,,2015,0,0.0,Southern Mississippi,0,17,,207,1382,6.4,,0.0,,SR
jalen-richard-1,Career,,1,,0.0,0.0,0.0,0.0,,,5-8,0.0,0.0,,1,Jalen Richard,,,0.0,,,,,jalen-richard-1,480,150,RB,0.0,,5,675,8.1,83,397,19,2086,5.3,24,0.0,,Career,1,0.0,Southern Mississippi,2,25,,207,2761,5.8,,0.0,,
casey-martin-1,2012,,,,,,,,,3.0,5-10,,,,,Casey Martin,,,,,,,,casey-martin-1,4,0,WR,,,0,20,5.0,4,,,,,0,,,2012,,,Houston,,0,,175,20,5.0,,,,SO
casey-martin-1,2014,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,11.0,5-10,0.0,0.0,0.0,0.0,Casey Martin,,1.0,0.0,0.0,0.0,0.0,0.0,casey-martin-1,55,12,WR,0.0,0.0,2,531,9.7,55,0.0,0.0,0.0,,2,0.0,,2014,2.0,0.0,Southern Mississippi,3.0,2,,175,531,9.7,,0.0,,JR
casey-martin-1,2015,,0.0,0.0,0.0,0.0,0.0,0.0,,14.0,5-10,0.0,0.0,0.0,0.0,Casey Martin,,0.0,0.0,,0.0,0.0,,casey-martin-1,81,42,WR,0.0,,7,925,11.6,80,1.0,0.0,-5.0,-5.0,7,0.0,,2015,0.0,0.0,Southern Mississippi,0.0,7,,175,920,11.4,,0.0,,SR
casey-martin-1,Career,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,5-10,0.0,0.0,0.0,0.0,Casey Martin,,1.0,0.0,0.0,0.0,0.0,0.0,casey-martin-1,140,54,WR,0.0,0.0,9,1476,10.6,139,1.0,0.0,-5.0,-5.0,9,0.0,,Career,2.0,0.0,Overall,3.0,9,,175,1471,10.5,,0.0,,
kyle-foster-2,2014,,0,,,,0,0,,8.0,6-3,0,0,,,Kyle Foster,,,0,,,,,kyle-foster-2,13,,WR,,,0,168,14.0,12,1,0,0,0.0,0,0.0,,2014,1,0.0,Southern Mississippi,1,,,218,168,12.9,,0,,JR
kyle-foster-2,Career,,0,,,,0,0,,,6-3,0,0,,,Kyle Foster,,,0,,,,,kyle-foster-2,13,,WR,,,0,168,14.0,12,1,0,0,0.0,0,0.0,,Career,1,0.0,Southern Mississippi,1,,,218,168,12.9,,0,,
curtis-mikell-1,2014,,3,,0,0,0,0,,7.0,5-8,0,0,,0,Curtis Mikell,,,0,,,,,curtis-mikell-1,7,0,WR,0,,0,48,8.0,6,1,0,-4,-4.0,0,0.0,,2014,2,0.0,Southern Mississippi,5,0,,170,44,6.3,,0,,FR
