,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
kevin-hogan-2,2012,7.5,,109,,,,,,10.0,6-4,,,3,,Kevin Hogan,,152,,71.7,9,1096,7.2,kevin-hogan-2,55,12,QB,,147.9,,,,,55,2,263,4.8,2,,,2012,,,Stanford,,2,,218,263,4.8,,,,FR
kevin-hogan-2,2013,8.7,,180,0.0,0.0,,,,14.0,6-4,,,10,0.0,Kevin Hogan,,295,,61.0,20,2630,8.9,kevin-hogan-2,84,12,QB,0.0,151.5,0.0,0.0,,0.0,84,2,355,4.2,2,,,2013,,,Stanford,,2,,218,355,4.2,,,,SO
kevin-hogan-2,2014,8.0,,232,0.0,0.0,,,,13.0,6-4,,,8,0.0,Kevin Hogan,,352,,65.9,19,2792,7.9,kevin-hogan-2,91,30,QB,0.0,145.8,0.0,0.0,,0.0,91,5,295,3.2,5,,,2014,,,Stanford,,5,,218,295,3.2,,,,JR
kevin-hogan-2,2015,10.0,,206,0.0,0.0,,,,14.0,6-4,,,8,0.0,Kevin Hogan,,304,,67.8,27,2867,9.4,kevin-hogan-2,86,42,QB,0.0,171.0,1.0,11.0,11.0,1.0,85,6,336,4.0,7,,,2015,,,Stanford,,7,,218,347,4.0,,,,SR
kevin-hogan-2,Career,8.7,,727,0.0,0.0,,,,,6-4,,,29,0.0,Kevin Hogan,,1103,,65.9,75,9385,8.5,kevin-hogan-2,316,96,QB,0.0,154.6,1.0,11.0,11.0,1.0,315,15,1249,4.0,16,,,Career,,,Stanford,,16,,218,1260,4.0,,,,
evan-crower-1,2013,10.7,,10,,,,,,3.0,6-5,,,0,,Evan Crower,,15,,66.7,1,141,9.4,evan-crower-1,1,,QB,,167.6,0,0,,0,1,0,-3,-3.0,0,,,2013,,,Stanford,,,,216,-3,-3.0,,,,JR
evan-crower-1,2014,7.5,,15,,,,,,5.0,6-5,,,0,,Evan Crower,,27,,55.6,1,183,6.8,evan-crower-1,0,,QB,,124.7,0,0,,0,0,0,0,,0,,,2014,,,Stanford,,,,216,0,,,,,SR
evan-crower-1,Career,8.7,,25,,,,,,,6-5,,,0,,Evan Crower,,42,,59.5,2,324,7.7,evan-crower-1,1,,QB,,140.0,0,0,,0,1,0,-3,-3.0,0,,,Career,,,Stanford,,,,216,-3,-3.0,,,,
ryan-burns-1,2014,13.0,,1,,,,,,2.0,6-5,,,0,,Ryan Burns,,1,,100.0,0,13,13.0,ryan-burns-1,3,,QB,,209.2,0,0,,0,3,0,8,2.7,0,,,2014,,,Stanford,,,,230,8,2.7,,,,SO
ryan-burns-1,2015,,,0,,,,,,3.0,6-5,,,0,,Ryan Burns,,0,,,0,0,,ryan-burns-1,4,,QB,,,0,0,,0,4,0,13,3.3,0,,,2015,,,Stanford,,,,230,13,3.3,,,,JR
ryan-burns-1,2016,5.6,,102,,,,,,11.0,6-5,,,7,,Ryan Burns,,167,,61.1,5,1151,6.9,ryan-burns-1,60,,QB,,120.5,0,0,,0,60,0,3,0.1,0,,,2016,,,Stanford,,,,230,3,0.1,,,,SR
ryan-burns-1,2017,11.0,,5,,,,,,6.0,6-5,,,0,,Ryan Burns,,7,,71.4,1,57,8.1,ryan-burns-1,8,,QB,,187.0,0,16,16.0,1,7,0,21,3.0,0,,,2017,,,Stanford,,,,230,37,4.6,,,,SR
ryan-burns-1,Career,5.9,,108,,,,,,,6-5,,,7,,Ryan Burns,,175,,61.7,6,1221,7.0,ryan-burns-1,75,,QB,,123.6,0,16,16.0,1,74,0,45,0.6,0,,,Career,,,Stanford,,,,230,61,0.8,,,,
remound-wright-1,2012,,,,,,,,,13.0,5-9,,,,0,Remound Wright,,,,,,,,remound-wright-1,24,6,RB,,,0,35,35.0,1,23,1,81,3.5,1,,,2012,,,Stanford,,1,,204,116,4.8,,,,SO
remound-wright-1,2013,,,,0.0,0.0,,,,8.0,5-9,,,,0,Remound Wright,,,,,,,,remound-wright-1,20,6,RB,0.0,,0,0,,0,20,1,102,5.1,1,,,2013,,,Stanford,,1,,204,102,5.1,,,,JR
remound-wright-1,2014,,,,0.0,0.0,,,,12.0,5-9,,,,0,Remound Wright,,,,,,,,remound-wright-1,143,66,RB,0.0,,0,67,8.4,8,135,11,601,4.5,11,,,2014,,,Stanford,,11,,204,668,4.7,,,,SR
remound-wright-1,2015,,,,0.0,0.0,,,,14.0,5-9,,,,0,Remound Wright,,,,,,,,remound-wright-1,88,90,RB,0.0,,2,49,8.2,6,82,13,239,2.9,15,,,2015,,,Stanford,,15,,204,288,3.3,,,,SR
remound-wright-1,Career,,,,0.0,0.0,,,,,5-9,,,,0,Remound Wright,,,,,,,,remound-wright-1,275,168,RB,0.0,,2,151,10.1,15,260,26,1023,3.9,28,,,Career,,,Stanford,,28,,204,1174,4.3,,,,
kelsey-young-1,2012,,,,,,,,,14.0,5-10,,,,0,Kelsey Young,,,,,,,,kelsey-young-1,22,12,RB,,,0,74,9.3,8,14,2,160,11.4,2,,,2012,,,Stanford,,2,,198,234,10.6,,,,SO
kelsey-young-1,2013,,0.0,,0.0,0.0,0.0,0.0,,11.0,5-10,0.0,0.0,,0,Kelsey Young,,,0.0,,,,,kelsey-young-1,17,6,RB,0.0,,0,37,12.3,3,14,1,110,7.9,1,0.0,,2013,0.0,0.0,Stanford,0.0,1,,198,147,8.6,,0.0,,JR
