,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
aj-long-1,2014,4.0,,89.0,0.0,0.0,,,,6.0,6-0,,,8.0,0.0,Aj Long,,165.0,,53.9,4.0,935.0,5.7,aj-long-1,45,12,QB,0.0,99.8,0.0,0.0,,0.0,45.0,2.0,-4.0,-0.1,2,,,2014,,,Syracuse,,2,,177,-4,-0.1,,,,FR
aj-long-1,2015,,,,,,,,,,6-0,,,,,Aj Long,,,,,,,,aj-long-1,0,0,QB,,,,,,,,,,,0,,,2015,,,Syracuse,,0,,177,0,,,,,SO
aj-long-1,Career,4.0,,89.0,0.0,0.0,,,,,6-0,,,8.0,0.0,Aj Long,,165.0,,53.9,4.0,935.0,5.7,aj-long-1,45,12,QB,0.0,99.8,0.0,0.0,,0.0,45.0,2.0,-4.0,-0.1,2,,,Career,,,Syracuse,,2,,177,-4,-0.1,,,,
terrel-hunt-1,2013,5.4,5,167,0,0,0,0,,12.0,6-3,0,0,8,0,Terrel Hunt,,273,0,61.2,10,1632,6.0,terrel-hunt-1,109,42,QB,0,117.6,0,-11,-5.5,2,107,7,500,4.7,7,0.0,,2013,2,0.0,Syracuse,7,7,,234,489,4.5,,0,,SO
terrel-hunt-1,2014,5.7,0,83,0,0,0,0,,6.0,6-3,0,0,4,0,Terrel Hunt,,145,0,57.2,1,983,6.8,terrel-hunt-1,52,36,QB,0,110.9,0,0,,0,52,6,292,5.6,6,0.0,,2014,2,0.0,Syracuse,2,6,,234,292,5.6,,0,,SR
terrel-hunt-1,2015,-22.5,0,0,0,0,0,0,,1.0,6-3,0,0,1,0,Terrel Hunt,,2,0,0.0,0,0,0.0,terrel-hunt-1,1,0,QB,0,-100.0,0,0,,0,1,0,2,2.0,0,0.0,,2015,0,0.0,Syracuse,0,0,,234,2,2.0,,0,,SR
terrel-hunt-1,Career,5.4,5,250,0,0,0,0,,,6-3,0,0,13,0,Terrel Hunt,,420,0,59.5,11,2615,6.2,terrel-hunt-1,162,78,QB,0,114.3,0,-11,-5.5,2,160,13,794,5.0,13,0.0,,Career,4,0.0,Syracuse,9,13,,234,783,4.8,,0,,
austin-wilson-2,2014,1.5,,28,0,0,,,,5.0,6-2,,,4,0,Austin Wilson,0.0,50,,56.0,0,253,5.1,austin-wilson-2,11,6,QB,0,82.5,0,0,,0,11,0,-29,-2.6,0,,,2014,,,Syracuse,,1,,220,-29,-2.6,,,,SO
austin-wilson-2,2015,3.0,,4,0,0,,,,2.0,6-2,,,1,0,Austin Wilson,,8,,50.0,1,49,6.1,austin-wilson-2,1,0,QB,0,117.7,0,0,,0,1,0,-2,-2.0,0,,,2015,,,Syracuse,,0,,220,-2,-2.0,,,,SO
austin-wilson-2,2016,1.0,,17,0,0,,,,2.0,6-2,,,2,0,Austin Wilson,,27,,63.0,0,116,4.3,austin-wilson-2,2,0,QB,0,84.2,0,0,,0,2,0,-7,-3.5,0,,,2016,,,Syracuse,,0,,220,-7,-3.5,,,,JR
