,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
pj-walker-1,2013,8.5,0,152,0,0,0,0,,9.0,5-11,0,0,8,0,P.J. Walker,,250,0,60.8,20,2084,8.3,pj-walker-1,90,18,QB,0,150.8,0,0,,0,90,3,332,3.7,3,0.0,,2013,0,0.0,Temple,0,3,,205,332,3.7,,0,,FR
pj-walker-1,2014,5.0,1,203,0,0,0,0,,12.0,5-11,0,0,15,0,P.J. Walker,,381,0,53.3,13,2317,6.1,pj-walker-1,107,18,QB,0,107.8,0,14,14.0,1,106,3,324,3.1,3,0.0,,2014,2,0.5,Temple,3,3,,205,338,3.2,,0,,SO
pj-walker-1,2015,6.9,0,245,0,0,0,0,,14.0,5-11,0,0,8,0,P.J. Walker,,432,1,56.7,19,2972,6.9,pj-walker-1,81,12,QB,0,125.3,0,25,25.0,1,80,2,215,2.7,2,0.0,,2015,0,0.0,Temple,0,2,,205,240,3.0,,0,,JR
pj-walker-1,2016,8.0,0,230,0,0,0,0,,14.0,5-11,0,0,13,0,P.J. Walker,,395,0,58.2,22,3295,8.3,pj-walker-1,65,6,QB,0,140.1,0,0,,0,65,1,-100,-1.5,1,0.0,,2016,1,0.0,Temple,1,1,,205,-100,-1.5,,0,,SR
pj-walker-1,Career,7.0,1,830,0,0,0,0,,,5-11,0,0,44,0,P.J. Walker,,1458,1,56.9,74,10668,7.3,pj-walker-1,343,54,QB,0,129.1,0,39,19.5,2,341,9,771,2.3,9,0.0,,Career,3,0.5,Temple,4,9,,205,810,2.4,,0,,
connor-reilly-1,2011,,1,0,0,0,0,0,,2.0,6-3,0,0,0,0,Connor Reilly,,0,0,,0,0,,connor-reilly-1,0,0,QB,0,,0,0,,0,0,0,0,,0,0.0,0.0,2011,0,0.0,Temple,1,0,0.0,215,0,,,0,,FR
connor-reilly-1,2013,4.9,0,76,0,0,0,0,,6.0,6-3,0,0,2,0,Connor Reilly,,148,0,51.4,2,771,5.2,connor-reilly-1,34,6,QB,0,96.9,0,0,,0,34,1,101,3.0,1,0.0,,2013,0,0.0,Temple,0,1,,215,101,3.0,,0,,JR
connor-reilly-1,2014,1.7,0,10,0,0,0,0,,5.0,6-3,0,0,1,0,Connor Reilly,,19,0,52.6,0,77,4.1,connor-reilly-1,4,6,QB,0,76.1,0,0,,0,4,1,-5,-1.3,1,0.0,,2014,0,0.0,Temple,0,1,,215,-5,-1.3,,0,,SR
connor-reilly-1,Career,4.5,1,86,0,0,0,0,,,6-3,0,0,3,0,Connor Reilly,,167,0,51.5,2,848,5.1,connor-reilly-1,38,12,QB,0,94.5,0,0,,0,38,2,96,2.5,2,0.0,0.0,Career,0,0.0,Temple,1,2,0.0,215,96,2.5,,0,,
tim-digiorgio-2,2014,0.0,,0,,,,,,1.0,6-3,,,0,,Tim Digiorgio,,1,,0.0,0,0,0.0,tim-digiorgio-2,0,,QB,,0.0,0,0,,0,0,0,0,,0,,,2014,,,Temple,,,,196,0,,,,,FR
