,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
justin-worley-1,2011,5.6,0,48,,,0.0,0.0,,4.0,6-4,,,3,,Justin Worley,,87,0.0,55.2,1,604,6.9,justin-worley-1,7,0,QB,,110.4,,,,,7.0,0.0,-22.0,-3.1,0,0.0,,2011,0,0.0,Tennessee,0,0,,220,-22,-3.1,,,,FR
justin-worley-1,2012,1.9,0,15,,,,,,5.0,6-4,,,2,,Justin Worley,,23,,65.2,0,134,5.8,justin-worley-1,0,0,QB,,96.8,,,,,,,,,0,0.0,,2012,1,0.0,Tennessee,1,0,,220,0,,,,,SO
justin-worley-1,2013,5.5,0,109,0.0,0.0,0.0,0.0,,8.0,6-4,0.0,0.0,8,0.0,Justin Worley,,196,0.0,55.6,10,1239,6.3,justin-worley-1,19,0,QB,0.0,117.4,0.0,0.0,,0.0,19.0,0.0,56.0,2.9,0,0.0,,2013,2,0.0,Tennessee,2,0,,220,56,2.9,,0.0,,JR
justin-worley-1,2014,5.8,0,157,0.0,0.0,0.0,0.0,,7.0,6-4,0.0,0.0,8,0.0,Justin Worley,,252,0.0,62.3,12,1579,6.3,justin-worley-1,45,18,QB,0.0,124.3,0.0,0.0,,0.0,45.0,3.0,-105.0,-2.3,3,0.0,,2014,0,0.0,Tennessee,0,3,,220,-105,-2.3,,0.0,,SR
justin-worley-1,Career,5.5,0,329,0.0,0.0,0.0,0.0,,,6-4,0.0,0.0,21,0.0,Justin Worley,,558,0.0,59.0,23,3556,6.4,justin-worley-1,71,18,QB,0.0,118.6,0.0,0.0,,0.0,71.0,3.0,-71.0,-1.0,3,0.0,,Career,3,0.0,Tennessee,3,3,,220,-71,-1.0,,0.0,,
joshua-dobbs-1,2013,3.8,,72,0,0,,,,5.0,6-3,,,6,0,Joshua Dobbs,,121,,59.5,2,695,5.7,joshua-dobbs-1,38,6,QB,0,103.3,0,0,,0,38,1,189,5.0,1,,,2013,,,Tennessee,,1,,210,189,5.0,,,,FR
joshua-dobbs-1,2014,6.3,,112,0,0,,,,6.0,6-3,,,6,0,Joshua Dobbs,,177,,63.3,9,1206,6.8,joshua-dobbs-1,104,48,QB,0,130.5,0,0,,0,104,8,469,4.5,8,,,2014,,,Tennessee,,8,,210,469,4.5,,,,SO
joshua-dobbs-1,2015,6.9,,205,0,0,,,,13.0,6-3,,,5,0,Joshua Dobbs,,344,,59.6,15,2291,6.7,joshua-dobbs-1,147,72,QB,0,127.0,1,58,58.0,1,146,11,671,4.6,12,,,2015,,,Tennessee,,12,,210,729,5.0,,,,JR
joshua-dobbs-1,2016,8.3,,225,0,0,,,,13.0,6-3,,,12,0,Joshua Dobbs,,357,,63.0,27,2946,8.3,joshua-dobbs-1,151,78,QB,0,150.6,1,4,4.0,1,150,12,831,5.5,13,,,2016,,,Tennessee,,13,,210,835,5.5,,,,SR
joshua-dobbs-1,Career,6.9,,614,0,0,,,,,6-3,,,29,0,Joshua Dobbs,,999,,61.5,53,7138,7.1,joshua-dobbs-1,440,204,QB,0,133.2,2,62,31.0,2,438,32,2160,4.9,34,,,Career,,,Tennessee,,34,,210,2222,5.1,,,,
nathan-peterman-1,2013,-2.0,0,10,0,0,0,0,,3.0,6-2,0,0,2,0,Nathan Peterman,,23,0,43.5,0,45,2.0,nathan-peterman-1,6,0,QB,0,42.5,0,0,,0,6,0,-6,-1.0,0,0.0,,2013,0,0.0,Tennessee,0,0,,225,-6,-1.0,,0,,FR
nathan-peterman-1,2014,2.5,0,10,0,0,0,0,,6.0,6-2,0,0,0,0,Nathan Peterman,,20,0,50.0,0,49,2.5,nathan-peterman-1,9,6,QB,0,70.6,0,0,,0,9,1,13,1.4,1,0.0,,2014,0,0.0,Tennessee,0,1,,225,13,1.4,,0,,SO
nathan-peterman-1,2015,7.4,0,193,0,0,0,0,,13.0,6-2,0,0,8,0,Nathan Peterman,,313,0,61.7,20,2287,7.3,nathan-peterman-1,85,6,QB,0,139.0,0,2,,0,85,1,232,2.7,1,0.0,,2015,1,0.0,Pitt,1,1,,225,234,2.8,,0,,JR
nathan-peterman-1,2016,10.1,0,185,0,0,0,0,,13.0,6-2,0,0,7,0,Nathan Peterman,,306,0,60.5,27,2855,9.3,nathan-peterman-1,73,18,QB,0,163.4,0,11,11.0,1,72,3,286,4.0,3,0.0,,2016,1,0.0,Pitt,1,3,,225,297,4.1,,0,,SR
nathan-peterman-1,Career,8.2,0,398,0,0,0,0,,,6-2,0,0,17,0,Nathan Peterman,,662,0,60.1,47,5236,7.9,nathan-peterman-1,173,30,QB,0,144.9,0,13,13.0,1,172,5,525,3.1,5,0.0,,Career,2,0.0,Overall,2,5,,225,538,3.1,,0,,
patrick-ashford-1,2014,51.0,,1,,,,,,1.0,6-0,,,0,,Patrick Ashford,,1,,100.0,1,31,31.0,patrick-ashford-1,,,QB,,690.4,,,,,,,,,,,,2014,,,Tennessee,,,,208,,,,,,JR
patrick-ashford-1,2015,0.0,,0,,,,,,1.0,6-0,,,0,,Patrick Ashford,,1,,0.0,0,0,0.0,patrick-ashford-1,,,HB,,0.0,,,,,,,,,,,,2015,,,Tennessee,,,,208,,,,,,SR
patrick-ashford-1,Career,25.5,,1,,,,,,,6-0,,,0,,Patrick Ashford,,2,,50.0,1,31,15.5,patrick-ashford-1,,,HB,,345.2,,,,,,,,,,,,Career,,,Tennessee,,,,208,,,,,,
marlin-lane-jr-1,2011,,,0,0,0,,,,12.0,5-11,,,0,0,Marlin Lane Jr.,,0,,,0,0,,marlin-lane-jr-1,92,24,RB,0,,2,161,9.5,17,75,2,280,3.7,4,,0.0,2011,,,Tennessee,,4,0.0,209,441,4.8,,,,FR
marlin-lane-jr-1,2012,,,0,0,0,,,,12.0,5-11,,,0,0,Marlin Lane Jr.,0.0,0,,,0,0,,marlin-lane-jr-1,149,14,RB,0,,0,228,7.9,29,120,2,658,5.5,2,,0.0,2012,,,Tennessee,,2,1.0,209,886,5.9,,,,SO
marlin-lane-jr-1,2013,,,0,0,0,,,,11.0,5-11,,,0,0,Marlin Lane Jr.,,0,,,0,0,,marlin-lane-jr-1,110,24,RB,0,,0,50,5.6,9,101,4,534,5.3,4,,,2013,,,Tennessee,,4,,209,584,5.3,,,,JR
marlin-lane-jr-1,2014,69.0,,1,0,0,,,,12.0,5-11,,,0,0,Marlin Lane Jr.,,1,,100.0,1,49,49.0,marlin-lane-jr-1,97,6,RB,0,841.6,0,78,7.1,11,86,1,300,3.5,1,,,2014,,,Tennessee,,1,,209,378,3.9,,,,SR
marlin-lane-jr-1,Career,69.0,,1,0,0,,,,,5-11,,,0,0,Marlin Lane Jr.,0.0,1,,100.0,1,49,49.0,marlin-lane-jr-1,448,68,RB,0,841.6,2,517,7.8,66,382,9,1772,4.6,11,,0.0,Career,,,Tennessee,,11,1.0,209,2289,5.1,,,,
