,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
kenny-hill-1,2013,9.2,0.0,16.0,0.0,0.0,0.0,0.0,,4.0,6-1,0.0,0.0,0.0,0.0,Kenny Hill,,22.0,0.0,72.7,1.0,183.0,8.3,kenny-hill-1,7,0,QB,0.0,157.6,0.0,0.0,,0.0,7.0,0.0,37.0,5.3,0,0.0,,2013,0.0,0.0,Texas A&M,0.0,0,,212,37,5.3,,0.0,,FR
kenny-hill-1,2014,8.6,0.0,214.0,0.0,0.0,0.0,0.0,,8.0,6-1,0.0,0.0,8.0,0.0,Kenny Hill,,321.0,0.0,66.7,23.0,2649.0,8.3,kenny-hill-1,52,0,QB,0.0,154.6,0.0,0.0,,0.0,52.0,0.0,156.0,3.0,0,0.0,,2014,0.0,0.0,Texas A&M,0.0,0,,212,156,3.0,,0.0,,SO
kenny-hill-1,2015,,,,,,,,,,6-1,,,,,Kenny Hill,,,,,,,,kenny-hill-1,0,0,QB,,,,,,,,,,,0,,,2015,,,Texas Christian,,0,,212,0,,,,,JR
kenny-hill-1,2016,6.7,0.0,269.0,0.0,0.0,0.0,0.0,,13.0,6-1,0.0,0.0,13.0,0.0,Kenny Hill,,440.0,0.0,61.1,17.0,3208.0,7.3,kenny-hill-1,125,60,QB,0.0,129.2,0.0,0.0,,0.0,125.0,10.0,609.0,4.9,10,0.0,,2016,1.0,0.0,Texas Christian,1.0,10,,212,609,4.9,,0.0,,JR
kenny-hill-1,2017,8.1,1.0,269.0,0.0,0.0,0.0,0.0,,13.0,6-1,0.0,0.0,8.0,0.0,Kenny Hill,,400.0,0.0,67.3,23.0,3152.0,7.9,kenny-hill-1,103,42,QB,0.0,148.4,2.0,76.0,25.3,3.0,100.0,5.0,325.0,3.3,7,0.0,,2017,0.0,0.0,Texas Christian,1.0,7,,212,401,3.9,,0.0,,SR
kenny-hill-1,Career,7.7,1.0,768.0,0.0,0.0,0.0,0.0,,,6-1,0.0,0.0,29.0,0.0,Kenny Hill,,1183.0,0.0,64.9,64.0,9192.0,7.8,kenny-hill-1,287,102,QB,0.0,143.1,2.0,76.0,25.3,3.0,284.0,15.0,1127.0,4.0,17,0.0,,Career,1.0,0.0,Overall,2.0,17,,212,1203,4.2,,0.0,,
kyle-allen-1,2014,6.9,0,118,0,0,0,0,,10.0,6-3,0,0,7,0,Kyle Allen,,192,0,61.5,16,1322,6.9,kyle-allen-1,29,6,QB,0,139.5,0,0,,0,29,1,44,1.5,1,0.0,,2014,1,0.0,Texas A&M,1,1,,211,44,1.5,,0,,FR
kyle-allen-1,2015,7.9,1,160,0,0,0,0,,10.0,6-3,0,0,7,0,Kyle Allen,,283,0,56.5,17,2210,7.8,kyle-allen-1,66,12,QB,0,137.0,0,28,28.0,1,65,2,102,1.6,2,0.0,,2015,1,0.0,Texas A&M,2,2,,211,130,2.0,,0,,SO
kyle-allen-1,2017,6.2,0,80,0,0,0,0,,4.0,6-3,0,0,4,0,Kyle Allen,,105,0,76.2,4,751,7.2,kyle-allen-1,11,0,QB,0,141.2,0,0,,0,11,0,-14,-1.3,0,0.0,,2017,0,0.0,Houston,0,4,,211,-14,-1.3,,0,,JR
kyle-allen-1,Career,7.3,1,358,0,0,0,0,,,6-3,0,0,18,0,Kyle Allen,,580,0,61.7,37,4283,7.4,kyle-allen-1,106,18,QB,0,138.6,0,28,28.0,1,105,3,132,1.3,3,0.0,,Career,2,0.0,Overall,3,7,,211,160,1.5,,0,,
conner-mcqueen-1,2014,,,0.0,,,,,,1.0,5-10,,,0.0,,Conner McQueen,,0.0,,,0.0,0.0,,conner-mcqueen-1,1,,QB,,,0.0,0.0,,0.0,1.0,0.0,-1.0,-1.0,0,,,2014,,,Texas A&M,,,,175,-1,-1.0,,,,SO
conner-mcqueen-1,2015,,,,,,,,,,5-10,,,,,Conner McQueen,,,,,,,,conner-mcqueen-1,0,,QB,,,,,,,,,,,0,,,2015,,,Texas A&M,,,,175,0,,,,,JR
conner-mcqueen-1,2016,1.0,,1.0,,,,,,2.0,5-10,,,0.0,,Conner McQueen,,1.0,,100.0,0.0,1.0,1.0,conner-mcqueen-1,1,,QB,,108.4,0.0,0.0,,0.0,1.0,0.0,9.0,9.0,0,,,2016,,,Texas A&M,,,,175,9,9.0,,,,SR
conner-mcqueen-1,Career,1.0,,1.0,,,,,,,5-10,,,0.0,,Conner McQueen,,1.0,,100.0,0.0,1.0,1.0,conner-mcqueen-1,2,,QB,,108.4,0.0,0.0,,0.0,2.0,0.0,8.0,4.0,0,,,Career,,,Texas A&M,,,,175,8,4.0,,,,
tra-carson-1,2011,,0,,,,0,0,,10.0,6-0,,,,,Tra Carson,,,0,,,,,tra-carson-1,46,6,RB,,,0,6,6.0,1,45,1,254,5.6,1,0.0,,2011,0,0.0,Oregon,0,1,,235,260,5.7,,,,FR
tra-carson-1,2013,,4,0.0,0.0,0.0,0,0,,11.0,6-0,0.0,0.0,0.0,0.0,Tra Carson,,0.0,0,,0.0,0.0,,tra-carson-1,65,42,RB,0.0,,0,38,12.7,3,62,7,329,5.3,7,0.0,,2013,4,0.0,Texas A&M,8,7,,235,367,5.6,,0.0,,SO
tra-carson-1,2014,0.0,1,0.0,0.0,0.0,1,0,,12.0,6-0,0.0,0.0,0.0,0.0,Tra Carson,,1.0,0,0.0,0.0,0.0,0.0,tra-carson-1,133,30,RB,0.0,0.0,0,78,8.7,9,124,5,581,4.7,5,0.0,,2014,1,0.0,Texas A&M,2,5,,235,659,5.0,,0.0,,JR
tra-carson-1,2015,14.0,0,1.0,0.0,0.0,0,0,,13.0,6-0,0.0,0.0,0.0,0.0,Tra Carson,,2.0,0,50.0,0.0,28.0,14.0,tra-carson-1,271,48,RB,0.0,167.6,1,183,6.3,29,242,7,1165,4.8,8,0.0,,2015,1,0.0,Texas A&M,1,8,,235,1348,5.0,,0.0,,SR
tra-carson-1,Career,9.3,5,1.0,0.0,0.0,1,0,,,6-0,0.0,0.0,0.0,0.0,Tra Carson,,3.0,0,33.3,0.0,28.0,9.3,tra-carson-1,515,126,RB,0.0,111.7,1,305,7.3,42,473,20,2329,4.9,21,0.0,,Career,6,0.0,Overall,11,21,,235,2634,5.1,,0.0,,
brandon-williams-10,2011,,0,,,,0,0,,8.0,6-0,,,,,Brandon Williams,,,0,,,,,brandon-williams-10,46,0,RB,,,,,,,46,0,219,4.8,0,0.0,,2011,0,0.0,Oklahoma,0,0,,205,219,4.8,,,,FR
