,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
trevone-boykin-1,2012,6.5,0,167,,,,,,12.0,6-2,,,10,,Trevone Boykin,,292,,57.2,15,2054,7.0,trevone-boykin-1,127,18,QB,,126.4,,,,,127,3,417,3.3,3,0.0,,2012,2,0.0,Texas Christian,2,3,,205,417,3.3,,,,FR
trevone-boykin-1,2013,5.8,0,105,0.0,0.0,0.0,0.0,,12.0,6-2,0.0,0.0,7,0.0,Trevone Boykin,,176,0.0,59.7,7,1198,6.8,trevone-boykin-1,131,42,QB,0.0,122.0,0.0,204.0,7.8,26.0,105,7,313,3.0,7,0.0,,2013,1,0.0,Texas Christian,1,7,,205,517,3.9,,0.0,,SO
trevone-boykin-1,2014,8.4,0,301,0.0,0.0,0.0,0.0,,13.0,6-2,0.0,0.0,10,0.0,Trevone Boykin,,492,0.0,61.2,33,3901,7.9,trevone-boykin-1,154,54,QB,0.0,145.9,1.0,53.0,26.5,2.0,152,8,707,4.7,9,0.0,,2014,0,0.0,Texas Christian,0,9,,205,760,4.9,,0.0,,JR
trevone-boykin-1,2015,9.5,0,256,0.0,0.0,0.0,0.0,,11.0,6-2,0.0,0.0,10,0.0,Trevone Boykin,,395,0.0,64.8,31,3574,9.0,trevone-boykin-1,123,54,QB,0.0,161.6,0.0,0.0,,0.0,123,9,612,5.0,9,0.0,,2015,0,0.0,Texas Christian,0,9,,205,612,5.0,,0.0,,SR
trevone-boykin-1,Career,8.0,0,829,0.0,0.0,0.0,0.0,,,6-2,0.0,0.0,37,0.0,Trevone Boykin,,1355,0.0,61.2,86,10727,7.9,trevone-boykin-1,535,168,QB,0.0,143.2,1.0,257.0,9.2,28.0,507,27,2049,4.0,28,0.0,,Career,3,0.0,Texas Christian,3,28,,205,2306,4.3,,0.0,,
matt-joeckel-1,2012,3.8,,5,,,,,,5.0,6-5,,,0,,Matt Joeckel,,11,,45.5,0,42,3.8,matt-joeckel-1,1,,QB,,77.5,,,,,1,0,1,1.0,0,,,2012,,,Texas A&M,,,,237,1,1.0,,,,SO
matt-joeckel-1,2013,9.0,,22,,,,,,4.0,6-5,,,0,,Matt Joeckel,,37,,59.5,2,293,7.9,matt-joeckel-1,1,,QB,,143.8,0.0,0.0,,0.0,1,0,0,0.0,0,,,2013,,,Texas A&M,,,,237,0,0.0,,,,JR
matt-joeckel-1,2014,6.1,,12,,,,,,4.0,6-5,,,1,,Matt Joeckel,,21,,57.1,2,134,6.4,matt-joeckel-1,3,,QB,,132.6,0.0,0.0,,0.0,3,0,20,6.7,0,,,2014,,,Texas Christian,,,,237,20,6.7,,,,SR
matt-joeckel-1,Career,7.3,,39,,,,,,,6-5,,,1,,Matt Joeckel,,69,,56.5,4,469,6.8,matt-joeckel-1,5,,QB,,129.8,0.0,0.0,,0.0,5,0,21,4.2,0,,,Career,,,Overall,,,,237,21,4.2,,,,
bram-kohlhausen-1,2012,-6.6,,4,,,,,,3.0,6-2,,,2,,Bram Kohlhausen,,9,,44.4,0,31,3.4,bram-kohlhausen-1,0,0,QB,,28.9,,,,,,,,,0,,,2012,,,Houston,,0,,203,0,,,,,SO
bram-kohlhausen-1,2014,4.8,0.0,7,0.0,0.0,0.0,0.0,,3.0,6-2,0.0,0.0,0,0.0,Bram Kohlhausen,,9,0.0,77.8,0,43,4.8,bram-kohlhausen-1,1,0,QB,0.0,117.9,0.0,0.0,,0.0,1.0,0.0,-1.0,-1.0,0,0.0,,2014,0.0,0.0,Texas Christian,0.0,0,,203,-1,-1.0,,0.0,,JR
