,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
jameill-showers-1,2011,8.0,,4,,,,,,4.0,6-2,0,0,0,,Jameill Showers,,5,,80.0,0,40,8.0,jameill-showers-1,9,6,QB,,147.2,,,,,9,1,33,3.7,1,,,2011,,,Texas A&M,,1,,230,33,3.7,,0,,FR
jameill-showers-1,2012,7.1,,27,,,,,,7.0,6-2,0,0,1,,Jameill Showers,,44,,61.4,2,319,7.3,jameill-showers-1,9,0,QB,,132.7,,,,,9,0,39,4.3,0,,,2012,,,Texas A&M,,0,,230,39,4.3,,0,,SO
jameill-showers-1,2013,6.9,0.0,107,0.0,0.0,0.0,0.0,,7.0,6-2,0,0,4,0.0,Jameill Showers,,188,0.0,56.9,11,1263,6.7,jameill-showers-1,62,24,QB,0.0,128.4,0.0,0.0,,0.0,62,4,195,3.1,4,0.0,,2013,0.0,0.0,UTEP,0.0,4,,230,195,3.1,,0,,JR
jameill-showers-1,2014,6.4,2.0,159,0.0,0.0,1.0,0.0,,13.0,6-2,0,0,6,0.0,Jameill Showers,,286,0.0,55.6,12,1858,6.5,jameill-showers-1,93,24,QB,0.0,119.8,0.0,0.0,,0.0,93,4,312,3.4,4,0.0,,2014,1.0,0.0,UTEP,3.0,4,,230,312,3.4,,0,,SR
jameill-showers-1,Career,6.7,2.0,297,0.0,0.0,1.0,0.0,,,6-2,0,0,11,0.0,Jameill Showers,,523,0.0,56.8,25,3480,6.7,jameill-showers-1,173,54,QB,0.0,124.2,0.0,0.0,,0.0,173,9,579,3.3,9,0.0,,Career,1.0,0.0,Overall,3.0,9,,230,579,3.3,,0,,
garrett-simpson-1,2013,18.3,0,3,0,0,0,0,,1.0,6-7,0,0,0,0,Garrett Simpson,,3,0,100.0,0,55,18.3,garrett-simpson-1,0,0,QB,0,254.0,0,0,,0,0,0,0,,0,0.0,,2013,0,0.0,UTEP,0,0,,250,0,,,0,,FR
garrett-simpson-1,2014,,0,0,0,0,0,0,,1.0,6-7,0,0,0,0,Garrett Simpson,,0,0,,0,0,,garrett-simpson-1,1,6,QB,0,,0,0,,0,1,1,1,1.0,1,0.0,,2014,0,0.0,UTEP,0,1,,250,1,1.0,,0,,SO
garrett-simpson-1,2015,,0,0,0,0,0,0,,1.0,6-7,0,0,0,0,Garrett Simpson,,0,0,,0,0,,garrett-simpson-1,0,0,QB,0,,0,0,,0,0,0,0,,0,0.0,,2015,1,0.0,UTEP,1,0,,250,0,,,0,,JR
garrett-simpson-1,Career,18.3,0,3,0,0,0,0,,,6-7,0,0,0,0,Garrett Simpson,,3,0,100.0,0,55,18.3,garrett-simpson-1,1,6,QB,0,254.0,0,0,,0,1,1,1,1.0,1,0.0,,Career,1,0.0,UTEP,1,1,,250,1,1.0,,0,,
aaron-jones-6,2013,,3,0,0,0,0,2,,9.0,5-9,0,0,0,0,Aaron Jones,,0,0,,0,0,,aaron-jones-6,159,24,RB,0,,0,14,3.5,4,155,4,811,5.2,4,0.0,,2013,1,0.0,UTEP,4,4,,208,825,5.2,,0,,FR
