,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
tucker-carter-1,2013,3.6,,23,0,0,,,,5.0,6-3,,,2,0,Tucker Carter,,33,,69.7,1,190,5.8,tucker-carter-1,7,0,QB,0,115.9,0,0,,0,7,0,-1,-0.1,0,,,2013,,,UTSA,,0,,220,-1,-0.1,,,,JR
tucker-carter-1,2014,5.6,,96,0,0,,,,8.0,6-3,,,5,0,Tucker Carter,,167,,57.5,4,1083,6.5,tucker-carter-1,45,18,QB,0,113.9,0,0,,0,45,3,29,0.6,3,,,2014,,,UTSA,,3,,220,29,0.6,,,,SR
tucker-carter-1,Career,5.3,,119,0,0,,,,,6-3,,,7,0,Tucker Carter,,200,,59.5,5,1273,6.4,tucker-carter-1,52,18,QB,0,114.2,0,0,,0,52,3,28,0.5,3,,,Career,,,UTSA,,3,,220,28,0.5,,,,
austin-robinson-1,2014,3.0,3.0,81.0,0.0,0.0,0.0,0.0,,8.0,6-3,0.0,0.0,5.0,0.0,Austin Robinson,,146.0,1.0,55.5,1.0,645.0,4.4,austin-robinson-1,66,6,QB,0.0,88.0,0.0,0.0,,0.0,66.0,1.0,222.0,3.4,1,0.0,,2014,1.0,0.0,UTSA,4.0,1,,235,222,3.4,,0.0,,FR
austin-robinson-1,2015,,,,,,,,,,6-3,,,,,Austin Robinson,,,,,,,,austin-robinson-1,0,0,QB,,,,,,,,,,,0,,,2015,,,UTSA,,0,,235,0,,,,,SO
austin-robinson-1,2016,,1.0,0.0,0.0,0.0,0.0,0.0,,4.0,6-3,0.0,0.0,0.0,0.0,Austin Robinson,,0.0,0.0,,0.0,0.0,,austin-robinson-1,0,0,S,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0,1.0,,2016,3.0,1.5,Houston,4.0,0,,235,0,,,0.0,,JR
austin-robinson-1,2017,,14.0,0.0,0.0,0.0,0.0,0.0,,7.0,6-3,0.0,0.0,0.0,0.0,Austin Robinson,,0.0,0.0,,0.0,0.0,,austin-robinson-1,0,0,LB,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0,1.0,,2017,19.0,4.0,Houston,33.0,0,,235,0,,,0.0,,SR
austin-robinson-1,2018,,53.0,0.0,0.0,0.0,2.0,1.0,,13.0,6-3,0.0,0.0,0.0,0.0,Austin Robinson,,0.0,3.0,,0.0,0.0,,austin-robinson-1,0,0,LB,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0,6.0,,2018,74.0,14.0,Houston,127.0,0,,235,0,,,0.0,,SR
austin-robinson-1,Career,3.0,71.0,81.0,0.0,0.0,2.0,1.0,,,6-3,0.0,0.0,5.0,0.0,Austin Robinson,,146.0,4.0,55.5,1.0,645.0,4.4,austin-robinson-1,66,6,LB,0.0,88.0,0.0,0.0,,0.0,66.0,1.0,222.0,3.4,1,8.0,,Career,97.0,19.5,Overall,168.0,1,,235,222,3.4,,0.0,,
blake-bogenschutz-1,2014,4.9,,22,0,0,,,,3.0,6-0,,,2,0,Blake Bogenschutz,,39,,56.4,0,282,7.2,blake-bogenschutz-1,16,6,QB,0,106.9,0,0,,0,16,1,16,1.0,1,,,2014,,,UTSA,,1,,195,16,1.0,,,,FR
blake-bogenschutz-1,2015,5.8,,81,0,0,,,,5.0,6-0,,,4,0,Blake Bogenschutz,,137,,59.1,4,897,6.5,blake-bogenschutz-1,43,6,QB,0,117.9,0,0,,0,43,1,27,0.6,1,,,2015,,,UTSA,,1,,195,27,0.6,,,,FR
blake-bogenschutz-1,Career,5.6,,103,0,0,,,,,6-0,,,6,0,Blake Bogenschutz,,176,,58.5,4,1179,6.7,blake-bogenschutz-1,59,12,QB,0,115.5,0,0,,0,59,2,43,0.7,2,,,Career,,,UTSA,,2,,195,43,0.7,,,,
dalton-sturm-1,2014,26.3,0,3,0,0,0,0,,1.0,6-2,0,0,0,0,Dalton Sturm,,3,0,100.0,1,59,19.7,dalton-sturm-1,2,0,QB,0,375.2,0,0,,0,2,0,8,4.0,0,0.0,,2014,0,0.0,UTSA,0,0,,205,8,4.0,,0,,FR
dalton-sturm-1,2015,6.2,0,124,0,0,0,0,,10.0,6-2,0,0,7,0,Dalton Sturm,,211,0,58.8,13,1361,6.5,dalton-sturm-1,129,6,QB,0,126.6,0,-5,-5.0,1,128,1,356,2.8,1,0.0,,2015,0,0.0,UTSA,0,1,,205,351,2.7,,0,,SO
dalton-sturm-1,2016,7.7,1,169,0,0,0,0,,13.0,6-2,0,0,6,0,Dalton Sturm,,299,0,56.5,20,2170,7.3,dalton-sturm-1,111,24,QB,0,135.5,0,0,0.0,1,110,4,313,2.8,4,0.0,,2016,2,0.0,UTSA,3,4,,205,313,2.8,,0,,JR
dalton-sturm-1,2017,7.6,0,185,0,0,0,0,,11.0,6-2,0,0,5,0,Dalton Sturm,,297,0,62.3,15,2185,7.4,dalton-sturm-1,120,12,QB,0,137.4,0,-3,,0,120,2,545,4.5,2,0.0,,2017,1,0.0,UTSA,1,2,,205,542,4.5,,0,,SR
dalton-sturm-1,Career,7.3,1,481,0,0,0,0,,,6-2,0,0,18,0,Dalton Sturm,,810,0,59.4,49,5775,7.1,dalton-sturm-1,362,42,QB,0,134.8,0,-8,-4.0,2,360,7,1222,3.4,7,0.0,,Career,3,0.0,UTSA,4,7,,205,1214,3.4,,0,,
david-glasco-ii-1,2012,,,,,,,,,12.0,5-10,,,,,David Glasco II,,,,,,,,david-glasco-ii-1,122,36,RB,,,1,72,6.5,11,111,5,537,4.8,6,,,2012,,,UTSA,,6,,205,609,5.0,,,,SO
david-glasco-ii-1,2013,,0.0,,0.0,0.0,0.0,0.0,,10.0,5-10,0.0,0.0,,0.0,David Glasco II,,,0.0,,,,,david-glasco-ii-1,97,36,RB,0.0,,1,12,6.0,2,95,5,496,5.2,6,0.0,,2013,0.0,0.0,UTSA,0.0,6,,205,508,5.2,,0.0,,JR
david-glasco-ii-1,2014,,1.0,,0.0,0.0,0.0,0.0,,12.0,5-10,0.0,0.0,,0.0,David Glasco II,,,0.0,,,,,david-glasco-ii-1,155,30,RB,0.0,,0,18,3.6,5,150,5,570,3.8,5,0.0,,2014,1.0,0.0,UTSA,2.0,5,,205,588,3.8,,0.0,,SR
david-glasco-ii-1,Career,,1.0,,0.0,0.0,0.0,0.0,,,5-10,0.0,0.0,,0.0,David Glasco II,,,0.0,,,,,david-glasco-ii-1,374,102,RB,0.0,,2,102,5.7,18,356,15,1603,4.5,17,0.0,,Career,1.0,0.0,UTSA,2.0,17,,205,1705,4.6,,0.0,,
jarveon-williams-1,2013,,0,0,0,0,0,0,,11.0,5-9,0,0,0,0,Jarveon Williams,,0,0,,0,0,,jarveon-williams-1,42,6,RB,0,,1,134,9.6,14,28,0,126,4.5,1,0.0,,2013,0,0.0,UTSA,0,1,,200,260,6.2,,0,,FR
jarveon-williams-1,2014,,0,0,0,0,0,0,,8.0,5-9,0,0,0,0,Jarveon Williams,,0,0,,0,0,,jarveon-williams-1,80,18,RB,0,,0,124,8.9,14,66,3,325,4.9,3,0.0,,2014,0,0.0,UTSA,0,3,,200,449,5.6,,0,,SO
jarveon-williams-1,2015,,0,0,0,0,0,0,,11.0,5-9,0,0,0,0,Jarveon Williams,,0,0,,0,0,,jarveon-williams-1,182,48,RB,0,,0,60,6.7,9,173,8,1039,6.0,8,0.0,,2015,1,0.0,UTSA,1,8,,200,1099,6.0,,0,,JR
jarveon-williams-1,2016,23.0,0,1,0,0,0,0,,13.0,5-9,0,0,0,0,Jarveon Williams,,1,0,100.0,1,3,3.0,jarveon-williams-1,226,48,RB,0,455.2,0,221,11.6,19,207,8,900,4.3,8,0.0,,2016,0,0.0,UTSA,0,8,,200,1121,5.0,,0,,SR
jarveon-williams-1,Career,23.0,0,1,0,0,0,0,,,5-9,0,0,0,0,Jarveon Williams,,1,0,100.0,1,3,3.0,jarveon-williams-1,530,120,RB,0,455.2,1,539,9.6,56,474,19,2390,5.0,20,0.0,,Career,1,0.0,UTSA,1,20,,200,2929,5.5,,0,,
brandon-armstrong-1,2012,,,,,,,,,10.0,5-6,,,,0,Brandon Armstrong,,,,,,,,brandon-armstrong-1,39,6,RB,,,1,83,6.9,12,27,0,97,3.6,1,,,2012,,,UTSA,,1,,150,180,4.6,,,,SO
brandon-armstrong-1,2013,,0.0,,0.0,0.0,0.0,0.0,,12.0,5-6,0.0,0.0,,0,Brandon Armstrong,,,0.0,,,,,brandon-armstrong-1,46,30,RB,0.0,,2,172,11.5,15,31,3,251,8.1,5,0.0,,2013,1.0,0.0,UTSA,1.0,5,,150,423,9.2,,0.0,,JR
brandon-armstrong-1,2014,,0.0,,0.0,0.0,0.0,0.0,,11.0,5-6,0.0,0.0,,0,Brandon Armstrong,,,0.0,,,,,brandon-armstrong-1,65,6,RB,0.0,,0,138,9.2,15,50,1,208,4.2,1,0.0,,2014,0.0,0.0,UTSA,0.0,1,,150,346,5.3,,0.0,,SR
brandon-armstrong-1,Career,,0.0,,0.0,0.0,0.0,0.0,,,5-6,0.0,0.0,,0,Brandon Armstrong,,,0.0,,,,,brandon-armstrong-1,150,42,RB,0.0,,3,393,9.4,42,108,4,556,5.1,7,0.0,,Career,1.0,0.0,UTSA,1.0,7,,150,949,6.3,,0.0,,
tyrell-clay-1,2014,,,0,0,0,,,,1.0,5-9,,,0,0,Tyrell Clay,,0,,,0,0,,tyrell-clay-1,3,0,RB,0,,0,0,,0,3,0,5,1.7,0,,,2014,,,UTSA,,0,,210,5,1.7,,,,FR
tyrell-clay-1,2015,31.0,,1,0,0,,,,8.0,5-9,,,0,0,Tyrell Clay,,1,,100.0,0,31,31.0,tyrell-clay-1,45,18,RB,0,360.4,0,10,5.0,2,43,3,197,4.6,3,,,2015,,,UTSA,,3,,210,207,4.6,,,,SO
tyrell-clay-1,2016,,,0,0,0,,,,4.0,5-9,,,0,0,Tyrell Clay,,0,,,0,0,,tyrell-clay-1,14,0,RB,0,,0,9,9.0,1,13,0,41,3.2,0,,,2016,,,UTSA,,0,,210,50,3.6,,,,JR
tyrell-clay-1,2017,,,0,0,0,,,,10.0,5-9,,,0,0,Tyrell Clay,,0,,,0,0,,tyrell-clay-1,130,12,RB,0,,0,54,6.0,9,121,2,554,4.6,2,,,2017,,,UTSA,,2,,210,608,4.7,,,,SR
tyrell-clay-1,Career,31.0,,1,0,0,,,,,5-9,,,0,0,Tyrell Clay,,1,,100.0,0,31,31.0,tyrell-clay-1,192,30,RB,0,360.4,0,73,6.1,12,180,5,797,4.4,5,,,Career,,,UTSA,,5,,210,870,4.5,,,,
treston-coleman-1,2014,,,,,,,,,1.0,5-10,,,,,Treston Coleman,,,,,,,,treston-coleman-1,1,,RB,,,0,0,,0,1,0,3,3.0,0,,,2014,,,UTSA,,,,240,3,3.0,,,,SO
treston-coleman-1,Career,,,,,,,,,,5-10,,,,,Treston Coleman,,,,,,,,treston-coleman-1,1,,RB,,,0,0,,0,1,0,3,3.0,0,,,Career,,,UTSA,,,,240,3,3.0,,,,
nate-shaw-2,2012,,0,,,,,,,12.0,5-11,,,,0,Nate Shaw,,,,,,,,nate-shaw-2,7,6,RB,,,0,28,5.6,5,2,1,5,2.5,1,0.0,,2012,3,0.0,UTSA,3,1,,240,33,4.7,,,,SO
nate-shaw-2,2013,,1,,0.0,0.0,0.0,0.0,,2.0,5-11,0.0,0.0,,0,Nate Shaw,,,0.0,,,,,nate-shaw-2,0,0,RB,0.0,,0,0,,0,0,0,0,,0,0.0,,2013,1,0.0,UTSA,2,0,,240,0,,,0.0,,JR
nate-shaw-2,2014,,0,,0.0,0.0,0.0,0.0,,2.0,5-11,0.0,0.0,,0,Nate Shaw,,,0.0,,,,,nate-shaw-2,1,0,RB,0.0,,0,13,13.0,1,0,0,0,,0,0.0,,2014,1,0.0,UTSA,1,0,,240,13,13.0,,0.0,,SR
nate-shaw-2,Career,,1,,0.0,0.0,0.0,0.0,,,5-11,0.0,0.0,,0,Nate Shaw,,,0.0,,,,,nate-shaw-2,8,6,RB,0.0,,0,41,6.8,6,2,1,5,2.5,1,0.0,,Career,5,0.0,UTSA,6,1,,240,46,5.8,,0.0,,
kam-jones-1,2012,-22.5,1,0,,,,,,12.0,5-11,,,1,0,Kam Jones,,2,,0.0,0,0,0.0,kam-jones-1,51,6,WR,,-100.0,1,323,14.0,23,28,0,174,6.2,1,0.0,,2012,0,0.0,UTSA,1,1,,190,497,9.7,,,,SO
kam-jones-1,2013,0.0,1,0,0.0,0.0,0.0,0.0,,11.0,5-11,0.0,0.0,0,0,Kam Jones,,1,0.0,0.0,0,0,0.0,kam-jones-1,63,36,WR,0.0,0.0,1,345,10.1,34,29,5,302,10.4,6,0.0,,2013,1,0.0,UTSA,2,6,,190,647,10.3,,0.0,,JR
kam-jones-1,2014,55.0,0,1,0.0,0.0,0.0,0.0,,12.0,5-11,0.0,0.0,0,0,Kam Jones,,1,0.0,100.0,1,35,35.0,kam-jones-1,59,6,WR,0.0,724.0,0,232,6.8,34,25,1,69,2.8,1,0.0,,2014,0,0.0,UTSA,0,1,,190,301,5.1,,0.0,,SR
