,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
tyler-jones-4,2013,6.7,0,100,0,0,0,0,,8.0,6-2,0,0,5,0,Tyler Jones,,160,0,62.5,8,1130,7.1,tyler-jones-4,89,0,QB,0,132.1,0,0,,0,89,0,257,2.9,0,0.0,,2013,1,0.0,Texas State,1,0,,197,257,2.9,,0,,FR
tyler-jones-4,2014,7.4,0,246,0,0,0,0,,12.0,6-2,0,0,7,0,Tyler Jones,,376,0,65.4,22,2670,7.1,tyler-jones-4,166,36,QB,0,140.7,0,0,,0,166,6,539,3.2,6,0.0,,2014,0,0.0,Texas State,0,6,,197,539,3.2,,0,,SO
tyler-jones-4,2015,6.1,0,223,0,0,0,0,,12.0,6-2,0,0,10,0,Tyler Jones,,382,0,58.4,14,2517,6.6,tyler-jones-4,139,60,QB,0,120.6,0,0,,0,139,10,593,4.3,10,0.0,,2015,1,0.0,Texas State,1,10,,197,593,4.3,,0,,JR
tyler-jones-4,2016,5.2,0,220,0,0,0,0,,11.0,6-2,0,0,14,0,Tyler Jones,,342,0,64.3,11,2184,6.4,tyler-jones-4,116,36,QB,0,120.4,1,22,22.0,1,115,5,-8,-0.1,6,0.0,,2016,1,0.0,Texas State,1,6,,197,14,0.1,,0,,SR
tyler-jones-4,Career,6.3,0,789,0,0,0,0,,,6-2,0,0,36,0,Tyler Jones,,1260,0,62.6,55,8501,6.7,tyler-jones-4,510,132,QB,0,128.0,1,22,22.0,1,509,21,1381,2.7,22,0.0,,Career,3,0.0,Texas State,3,22,,197,1403,2.8,,0,,
connor-white-1,2014,8.2,1,4,,,0,0,,2.0,6-5,0,0,0,,Connor White,,5,0,80.0,0,41,8.2,connor-white-1,3,,QB,,148.9,0,0,,0,3,0,20,6.7,0,0.0,,2014,0,0.0,Texas State,1,,,200,20,6.7,,0,,FR
connor-white-1,2015,3.5,0,26,,,0,0,,5.0,6-5,0,0,2,,Connor White,,47,0,55.3,1,235,5.0,connor-white-1,16,,QB,,95.8,0,0,,0,16,0,68,4.3,0,0.0,,2015,0,0.0,Texas State,0,,,200,68,4.3,,0,,SO
connor-white-1,2016,3.5,0,23,,,0,0,,5.0,6-5,0,0,2,,Connor White,,44,0,52.3,1,223,5.1,connor-white-1,29,,QB,,93.3,0,0,,0,29,0,91,3.1,0,0.0,,2016,0,0.0,Texas State,0,,,200,91,3.1,,0,,SO
connor-white-1,Career,3.7,1,53,,,0,0,,,6-5,0,0,4,,Connor White,,96,0,55.2,2,499,5.2,connor-white-1,48,,QB,,97.4,0,0,,0,48,0,179,3.7,0,0.0,,Career,0,0.0,Texas State,1,,,200,179,3.7,,0,,
randy-price-1,2014,,,,,,,,,3.0,6-3,,,,,Randy Price,,,,,,,,randy-price-1,12,,QB,,,0,30,6.0,5,7,0,60,8.6,0,,,2014,,,Texas State,,,,219,90,7.5,,,,JR
