,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
davis-webb-1,2013,7.5,0,226,0,0,0,0,,10.0,6-5,0,0,9,0,Davis Webb,,361,0,62.6,20,2718,7.5,davis-webb-1,25,0,QB,0,139.1,0,0,,0,25,0,-12,-0.5,0,0.0,,2013,0,0.0,Texas Tech,0,0,,229,-12,-0.5,,0,,FR
davis-webb-1,2014,7.1,0,211,0,0,0,0,,8.0,6-5,0,0,13,0,Davis Webb,,345,0,61.2,24,2539,7.4,davis-webb-1,18,6,QB,0,138.4,0,-10,-10.0,1,17,1,16,0.9,1,0.0,,2014,0,0.0,Texas Tech,0,1,,229,6,0.3,,0,,SO
davis-webb-1,2015,8.3,0,22,0,0,0,0,,5.0,6-5,0,0,0,0,Davis Webb,,41,0,53.7,2,300,7.3,davis-webb-1,2,12,QB,0,131.2,0,0,,0,2,2,6,3.0,2,0.0,,2015,0,0.0,Texas Tech,0,2,,229,6,3.0,,0,,JR
davis-webb-1,2016,7.3,0,382,0,0,0,0,,12.0,6-5,0,0,12,0,Davis Webb,,620,0,61.6,37,4295,6.9,davis-webb-1,33,36,QB,0,135.6,0,0,,0,33,6,-110,-3.3,6,0.0,,2016,1,0.0,California,1,6,,229,-110,-3.3,,0,,SR
davis-webb-1,Career,7.3,0,841,0,0,0,0,,,6-5,0,0,34,0,Davis Webb,,1367,0,61.5,83,9852,7.2,davis-webb-1,78,54,QB,0,137.1,0,-10,-10.0,1,77,9,-100,-1.3,9,0.0,,Career,1,0.0,Overall,1,9,,229,-110,-1.4,,0,,
patrick-mahomes-1,2014,9.1,0,105,0,0,0,0,,7.0,6-3,0,0,4,0,Patrick Mahomes,,185,0,56.8,16,1547,8.4,patrick-mahomes-1,46,0,QB,0,151.2,0,0,,0,46,0,104,2.3,0,0.0,,2014,0,0.0,Texas Tech,0,0,,230,104,2.3,,0,,FR
patrick-mahomes-1,2015,8.2,0,364,0,0,0,0,,13.0,6-3,0,0,15,0,Patrick Mahomes,,573,0,63.5,36,4653,8.1,patrick-mahomes-1,132,60,QB,0,147.2,0,3,3.0,1,131,10,456,3.5,10,0.0,,2015,1,0.0,Texas Tech,1,10,,230,459,3.5,,0,,SO
patrick-mahomes-1,2016,9.2,0,388,0,0,0,0,,12.0,6-3,0,0,10,0,Patrick Mahomes,,591,0,65.7,41,5052,8.5,patrick-mahomes-1,131,72,QB,0,157.0,0,0,,0,131,12,285,2.2,12,0.0,,2016,0,0.0,Texas Tech,0,12,,230,285,2.2,,0,,JR
patrick-mahomes-1,Career,8.8,0,857,0,0,0,0,,,6-3,0,0,29,0,Patrick Mahomes,,1349,0,63.5,93,11252,8.3,patrick-mahomes-1,309,132,QB,0,152.0,0,3,3.0,1,308,22,845,2.7,22,0.0,,Career,1,0.0,Texas Tech,1,22,,230,848,2.7,,0,,
vincent-testaverde-1,2014,2.7,,15.0,,,,,,1.0,6-2,,,1.0,,Vincent Testaverde,,26.0,,57.7,0.0,116.0,4.5,vincent-testaverde-1,1,,QB,,87.5,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0,,,2014,,,Texas Tech,,,,205,0,0.0,,,,FR
vincent-testaverde-1,2015,,,,,,,,,,6-2,,,,,Vincent Testaverde,,,,,,,,vincent-testaverde-1,0,,QB,,,,,,,,,,,0,,,2015,,,Miami (FL),,,,205,0,,,,,SO
vincent-testaverde-1,Career,2.7,,15.0,,,,,,,6-2,,,1.0,,Vincent Testaverde,,26.0,,57.7,0.0,116.0,4.5,vincent-testaverde-1,1,,QB,,87.5,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0,,,Career,,,Overall,,,,205,0,0.0,,,,
deandre-washington-1,2011,,1,,,,0,0,,12.0,5-8,,,,0,Deandre Washington,,,0,,,,,deandre-washington-1,96,18,RB,0,,0,109,5.7,19,77,3,366,4.8,3,0.0,,2011,0,0.0,Texas Tech,1,3,,200,475,4.9,,,,FR
deandre-washington-1,2013,,2,,0.0,0.0,0,0,,12.0,5-8,0.0,0.0,,0,Deandre Washington,,,0,,,,,deandre-washington-1,141,24,RB,0,,0,269,7.9,34,107,4,450,4.2,4,0.0,,2013,1,0.0,Texas Tech,3,4,,200,719,5.1,,0.0,,SO
deandre-washington-1,2014,,1,,0.0,0.0,0,0,,12.0,5-8,0.0,0.0,,0,Deandre Washington,,,0,,,,,deandre-washington-1,218,24,RB,0,,2,328,10.9,30,188,2,1103,5.9,4,0.0,,2014,2,0.0,Texas Tech,3,4,,200,1431,6.6,,0.0,,JR
deandre-washington-1,2015,,0,,0.0,0.0,0,0,,13.0,5-8,0.0,0.0,,0,Deandre Washington,,,0,,,,,deandre-washington-1,274,96,RB,0,,2,385,9.4,41,233,14,1492,6.4,16,0.0,,2015,1,0.0,Texas Tech,1,16,,200,1877,6.9,,0.0,,SR
deandre-washington-1,Career,,4,,0.0,0.0,0,0,,,5-8,0.0,0.0,,0,Deandre Washington,,,0,,,,,deandre-washington-1,729,162,RB,0,,4,1091,8.8,124,605,23,3411,5.6,27,0.0,,Career,4,0.0,Texas Tech,8,27,,200,4502,6.2,,0.0,,
justin-stockton-1,2014,,0,,0,0,0,0,,12.0,5-10,0,0,,0,Justin Stockton,,,0,,,,,justin-stockton-1,60,30,RB,0,,1,76,6.3,12,48,4,396,8.3,5,0.0,,2014,0,0.0,Texas Tech,0,5,,205,472,7.9,,0,,FR
