,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
tyrone-swoopes-1,2013,2.0,0,5,0,0,0,0,,5.0,6-4,0,0,0,0,Tyrone Swoopes,,13,0,38.5,0,26,2.0,tyrone-swoopes-1,20,6,QB,0,55.3,0,0,,0,20,1,79,4.0,1,0.0,,2013,0,0.0,Texas,0,1,,249,79,4.0,,0,,FR
tyrone-swoopes-1,2014,5.7,0,224,0,0,0,1,,12.0,6-4,0,0,11,0,Tyrone Swoopes,,384,0,58.3,13,2409,6.3,tyrone-swoopes-1,108,24,QB,0,116.5,0,0,,0,108,4,262,2.4,4,0.0,,2014,1,0.0,Texas,1,4,,249,262,2.4,,0,,SO
tyrone-swoopes-1,2015,6.2,0,47,0,0,0,0,,11.0,6-4,0,0,1,0,Tyrone Swoopes,,93,0,50.5,4,537,5.8,tyrone-swoopes-1,74,72,QB,0,111.1,0,0,,0,74,12,451,6.1,12,0.0,,2015,1,0.0,Texas,1,12,,249,451,6.1,,0,,JR
tyrone-swoopes-1,2016,2.3,0,5,0,0,0,0,,11.0,6-4,0,0,1,0,Tyrone Swoopes,,9,0,55.6,0,66,7.3,tyrone-swoopes-1,54,42,QB,0,94.9,0,0,,0,54,7,174,3.2,7,0.0,,2016,0,0.0,Texas,0,7,,249,174,3.2,,0,,SR
tyrone-swoopes-1,Career,5.6,0,281,0,0,0,1,,,6-4,0,0,13,0,Tyrone Swoopes,,499,0,56.3,17,3038,6.1,tyrone-swoopes-1,256,144,QB,0,113.5,0,0,,0,256,24,966,3.8,24,0.0,,Career,2,0.0,Texas,2,24,,249,966,3.8,,0,,
david-ash-1,2011,4.6,,99,,,,,,13.0,6-3,,,8,,David Ash,,173,,57.2,4,1079,6.2,david-ash-1,75,12,QB,,108.0,1.0,27.0,13.5,2.0,73,1,103,1.4,2,,,2011,,,Texas,,2,,230,130,1.7,,,,FR
david-ash-1,2012,8.6,,214,,,,,,12.0,6-3,,,8,,David Ash,,318,,67.3,19,2699,8.5,david-ash-1,51,12,QB,,153.3,,,,,51,2,141,2.8,2,,,2012,,,Texas,,2,,230,141,2.8,,,,SO
david-ash-1,2013,9.3,,53,0.0,0.0,,,,3.0,6-3,,,2,0.0,David Ash,,87,,60.9,7,760,8.7,david-ash-1,31,6,QB,0.0,156.3,0.0,0.0,,0.0,31,1,152,4.9,1,,,2013,,,Texas,,1,,230,152,4.9,,,,JR
david-ash-1,2014,6.2,,19,0.0,0.0,,,,1.0,6-3,,,0,0.0,David Ash,,34,,55.9,1,190,5.6,david-ash-1,7,6,QB,0.0,112.5,0.0,0.0,,0.0,7,1,-17,-2.4,1,,,2014,,,Texas,,1,,230,-17,-2.4,,,,JR
david-ash-1,Career,7.4,,385,0.0,0.0,,,,,6-3,,,18,0.0,David Ash,,612,,62.9,31,4728,7.7,david-ash-1,164,36,QB,0.0,138.6,1.0,27.0,13.5,2.0,162,5,379,2.3,6,,,Career,,,Texas,,6,,230,406,2.5,,,,
