,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
logan-woodside-1,2013,6.3,0.0,21.0,0.0,0.0,0.0,0.0,,4.0,6-2,0.0,0.0,0.0,0.0,Logan Woodside,,41.0,0.0,51.2,1.0,240.0,5.9,logan-woodside-1,6,0,QB,0.0,108.4,0.0,0.0,,0.0,6.0,0.0,16.0,2.7,0,0.0,,2013,0.0,0.0,Toledo,0.0,0,,210,16,2.7,,0.0,,FR
logan-woodside-1,2014,7.7,0.0,185.0,0.0,0.0,0.0,0.0,,12.0,6-2,0.0,0.0,8.0,0.0,Logan Woodside,,296.0,0.0,62.5,19.0,2263.0,7.6,logan-woodside-1,52,18,QB,0.0,142.5,0.0,0.0,,0.0,52.0,3.0,78.0,1.5,3,0.0,,2014,0.0,0.0,Toledo,0.0,3,,210,78,1.5,,0.0,,SO
logan-woodside-1,2015,,,,,,,,,,6-2,,,,,Logan Woodside,,,,,,,,logan-woodside-1,0,0,QB,,,,,,,,,,,0,,,2015,,,Toledo,,0,,210,0,,,,,JR
logan-woodside-1,2016,11.1,0.0,289.0,0.0,0.0,0.0,0.0,,13.0,6-2,0.0,0.0,9.0,0.0,Logan Woodside,,418.0,0.0,69.1,45.0,4129.0,9.9,logan-woodside-1,37,0,QB,0.0,183.3,0.0,0.0,,0.0,37.0,0.0,-40.0,-1.1,0,0.0,,2016,2.0,0.0,Toledo,2.0,0,,210,-40,-1.1,,0.0,,JR
logan-woodside-1,2017,9.9,1.0,264.0,0.0,0.0,0.0,0.0,,14.0,6-2,0.0,0.0,8.0,0.0,Logan Woodside,,411.0,0.0,64.2,28.0,3882.0,9.4,logan-woodside-1,51,6,QB,0.0,162.2,0.0,0.0,,0.0,51.0,1.0,34.0,0.7,1,0.0,,2017,2.0,0.0,Toledo,3.0,1,,210,34,0.7,,0.0,,SR
logan-woodside-1,Career,9.6,1.0,759.0,0.0,0.0,0.0,0.0,,,6-2,0.0,0.0,25.0,0.0,Logan Woodside,,1166.0,0.0,65.1,93.0,10514.0,9.0,logan-woodside-1,146,24,QB,0.0,162.9,0.0,0.0,,0.0,146.0,4.0,88.0,0.6,4,0.0,,Career,4.0,0.0,Toledo,5.0,4,,210,88,0.6,,0.0,,
michael-julian-1,2014,4.7,,8,0,0,,,,6.0,6-5,,,0,0,Michael Julian,,19,,42.1,0,90,4.7,michael-julian-1,14,0,QB,0,81.9,0,0,,0,14,0,-11,-0.8,0,,,2014,,,Toledo,,0,,250,-11,-0.8,,,,FR
michael-julian-1,2015,13.0,,5,0,0,,,,4.0,6-5,,,0,0,Michael Julian,,7,,71.4,1,71,10.1,michael-julian-1,6,0,QB,0,203.8,0,0,,0,6,0,64,10.7,0,,,2015,,,Toledo,,0,,250,64,10.7,,,,SO
michael-julian-1,2016,17.4,,2,0,0,,,,3.0,6-5,,,0,0,Michael Julian,,5,,40.0,1,67,13.4,michael-julian-1,2,0,QB,0,218.6,0,0,,0,2,0,7,3.5,0,,,2016,,,Toledo,,0,,250,7,3.5,,,,JR
michael-julian-1,2017,3.5,,2,0,0,,,,8.0,6-5,,,0,0,Michael Julian,,6,,33.3,0,21,3.5,michael-julian-1,3,6,QB,0,62.7,0,0,,0,3,1,-9,-3.0,1,,,2017,,,Toledo,,1,,250,-9,-3.0,,,,SR
