,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
brandon-silvers-2,2014,7.1,,191,0,0,,,,11.0,6-3,,,3,0,Brandon Silvers,,271,,70.5,11,1832,6.8,brandon-silvers-2,100,30,QB,0,138.4,0,0,,0,100,5,196,2.0,5,,,2014,,,Troy,,5,,219,196,2.0,,,,FR
brandon-silvers-2,2015,7.5,,201,0,0,,,,11.0,6-3,,,7,0,Brandon Silvers,,329,,61.1,20,2375,7.2,brandon-silvers-2,42,12,QB,0,137.5,0,9,9.0,1,41,2,41,1.0,2,,,2015,,,Troy,,2,,219,50,1.2,,,,SO
brandon-silvers-2,2016,6.7,,293,0,0,,,,13.0,6-3,,,12,0,Brandon Silvers,,460,,63.7,23,3180,6.9,brandon-silvers-2,48,26,QB,0,133.0,0,0,,0,48,4,128,2.7,4,,,2016,,,Troy,,4,1.0,219,128,2.7,,,,JR
brandon-silvers-2,2017,7.5,,283,0,0,,,,13.0,6-3,,,7,0,Brandon Silvers,,443,,63.9,17,3290,7.4,brandon-silvers-2,48,30,QB,0,135.8,0,0,,0,48,5,50,1.0,5,,,2017,,,Troy,,5,,219,50,1.0,,,,SR
brandon-silvers-2,Career,7.2,,968,0,0,,,,,6-3,,,29,0,Brandon Silvers,,1503,,64.4,71,10677,7.1,brandon-silvers-2,238,98,QB,0,135.8,0,9,9.0,1,237,16,415,1.8,16,,,Career,,,Troy,,16,1.0,219,424,1.8,,,,
dontreal-pruitt-1,2014,6.6,0,44,0,0,0,0,,7.0,5-10,0,0,1,0,Dontreal Pruitt,,77,0,57.1,1,533,6.9,dontreal-pruitt-1,27,0,QB,0,117.0,0,0,,0,27,0,87,3.2,0,0.0,,2014,0,0.0,Troy,0,0,,183,87,3.2,,0,,JR
dontreal-pruitt-1,2015,2.3,0,20,0,0,0,0,,5.0,5-10,0,0,2,0,Dontreal Pruitt,,31,0,64.5,0,160,5.2,dontreal-pruitt-1,36,6,QB,0,95.0,0,0,,0,36,1,97,2.7,1,0.0,,2015,1,0.0,Troy,1,1,,183,97,2.7,,0,,SR
dontreal-pruitt-1,Career,5.4,0,64,0,0,0,0,,,5-10,0,0,3,0,Dontreal Pruitt,,108,0,59.3,1,693,6.4,dontreal-pruitt-1,63,6,QB,0,110.7,0,0,,0,63,1,184,2.9,1,0.0,,Career,1,0.0,Troy,1,1,,183,184,2.9,,0,,
dallas-tidwell-1,2012,0.0,,0,,,,,,1.0,6-7,,,0,,Dallas Tidwell,,3,,0.0,0,0,0.0,dallas-tidwell-1,0,,QB,,0.0,,,,,,,,,0,,,2012,,,Troy,,,,239,0,,,,,FR
dallas-tidwell-1,2013,11.1,,12,,,,,,3.0,6-7,,,0,,Dallas Tidwell,,16,,75.0,2,137,8.6,dallas-tidwell-1,0,,QB,,188.2,0.0,0.0,,0.0,0.0,0.0,0.0,,0,,,2013,,,Troy,,,,239,0,,,,,SO
