,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
tanner-lee-1,2014,4.7,0,185,0,0,0,0,,10.0,6-4,0,0,14,0,Tanner Lee,,336,0,55.1,12,1962,5.8,tanner-lee-1,36,0,QB,0,107.6,0,0,,0,36,0,-125,-3.5,0,0.0,,2014,1,0.0,Tulane,1,0,,220,-125,-3.5,,0,,FR
tanner-lee-1,2015,5.6,0,143,0,0,0,0,,9.0,6-4,0,0,7,0,Tanner Lee,,276,0,51.8,11,1639,5.9,tanner-lee-1,23,0,QB,0,109.8,0,0,,0,23,0,-162,-7.0,0,0.0,,2015,0,0.0,Tulane,0,0,,220,-162,-7.0,,0,,SO
tanner-lee-1,2017,6.7,0,246,0,0,0,0,,12.0,6-4,0,0,16,0,Tanner Lee,,428,0,57.5,23,3143,7.3,tanner-lee-1,30,12,QB,0,129.4,0,0,,0,30,2,-97,-3.2,2,0.0,,2017,2,0.0,Nebraska,2,2,,220,-97,-3.2,,0,,JR
tanner-lee-1,Career,5.8,0,574,0,0,0,0,,,6-4,0,0,37,0,Tanner Lee,,1040,0,55.2,46,6744,6.5,tanner-lee-1,89,12,QB,0,117.1,0,0,,0,89,2,-384,-4.3,2,0.0,,Career,3,0.0,Overall,3,2,,220,-384,-4.3,,0,,
nick-montana-1,2011,4.7,0,24,,,0,0,,6.0,6-3,,,2,,Nick Montana,,42,0,57.1,3,226,5.4,nick-montana-1,10,,QB,,116.4,,,,,10,0,-26,-2.6,0,0.0,,2011,0,0.0,Washington,0,,,207,-26,-2.6,,,,FR
nick-montana-1,2013,5.2,1,158,,,0,0,,11.0,6-3,0.0,0.0,10,,Nick Montana,,296,0,53.4,14,1717,5.8,nick-montana-1,45,,QB,,111.0,0.0,0.0,,0.0,45,0,4,0.1,0,0.0,,2013,2,1.0,Tulane,3,,,207,4,0.1,,0.0,,JR
nick-montana-1,2014,2.9,0,45,,,0,0,,4.0,6-3,0.0,0.0,3,,Nick Montana,,79,0,57.0,1,342,4.3,nick-montana-1,6,,QB,,89.9,0.0,0.0,,0.0,6,0,30,5.0,0,0.0,,2014,0,0.0,Tulane,0,,,207,30,5.0,,0.0,,SR
nick-montana-1,Career,4.7,1,227,,,0,0,,,6-3,0.0,0.0,15,,Nick Montana,,417,0,54.4,18,2285,5.5,nick-montana-1,61,,QB,,107.5,0.0,0.0,,0.0,61,0,8,0.1,0,0.0,,Career,2,1.0,Overall,3,,,207,8,0.1,,0.0,,
devin-powell-1,2012,2.5,,30,,,,,,2.0,6-3,,,3,,Devin Powell,,57,,52.6,1,255,4.5,devin-powell-1,14,,QB,,85.5,,,,,14,0,-44,-3.1,0,,,2012,,,Tulane,,,,241,-44,-3.1,,,,FR
devin-powell-1,2013,5.1,0.0,60,,,0.0,0.0,,8.0,6-3,0.0,0.0,5,,Devin Powell,,110,0.0,54.5,5,681,6.2,devin-powell-1,19,,QB,,112.5,0.0,0.0,,0.0,19,0,-13,-0.7,0,0.0,,2013,0.0,0.0,Tulane,0.0,,,241,-13,-0.7,,0.0,,FR
devin-powell-1,2014,4.3,0.0,10,,,0.0,0.0,,3.0,6-3,0.0,0.0,0,,Devin Powell,,26,0.0,38.5,0,111,4.3,devin-powell-1,5,,QB,,74.3,0.0,0.0,,0.0,5,0,24,4.8,0,0.0,,2014,1.0,0.0,Tulane,1.0,,,241,24,4.8,,0.0,,SO
devin-powell-1,2015,4.9,0.0,16,,,0.0,0.0,,5.0,6-3,0.0,0.0,0,,Devin Powell,,36,0.0,44.4,1,157,4.4,devin-powell-1,4,,QB,,90.2,0.0,0.0,,0.0,4,0,-10,-2.5,0,0.0,,2015,0.0,0.0,Tulane,0.0,,,241,-10,-2.5,,0.0,,JR
devin-powell-1,Career,4.3,0.0,116,,,0.0,0.0,,,6-3,0.0,0.0,8,,Devin Powell,,229,0.0,50.7,7,1204,5.3,devin-powell-1,42,,QB,,97.9,0.0,0.0,,0.0,42,0,-43,-1.0,0,0.0,,Career,1.0,0.0,Tulane,1.0,,,241,-43,-1.0,,0.0,,
sherman-badie-1,2014,,1,,0,0,0,0,,12.0,6-0,0,0,,0,Sherman Badie,,,0,,,,,sherman-badie-1,145,24,RB,0,,1,108,4.5,24,121,3,688,5.7,4,0.0,,2014,1,0.0,Tulane,2,4,,205,796,5.5,,0,,FR
sherman-badie-1,2015,,0,,0,0,0,0,,12.0,6-0,0,0,,0,Sherman Badie,,,0,,,,,sherman-badie-1,99,12,RB,0,,0,284,10.5,27,72,2,310,4.3,2,0.0,,2015,0,0.0,Tulane,0,2,,205,594,6.0,,0,,SO
sherman-badie-1,2016,,0,,0,0,0,0,,8.0,6-0,0,0,,1,Sherman Badie,,,0,,,,,sherman-badie-1,45,12,RB,0,,0,13,6.5,2,43,1,169,3.9,1,0.0,,2016,0,0.0,Tulane,0,2,,205,182,4.0,,0,,JR
sherman-badie-1,2017,,0,,0,0,0,0,,12.0,6-0,0,0,,0,Sherman Badie,,,0,,,,,sherman-badie-1,63,18,RB,0,,0,14,4.7,3,60,3,350,5.8,3,0.0,,2017,0,0.0,Tulane,0,3,,205,364,5.8,,0,,SR
sherman-badie-1,Career,,1,,0,0,0,0,,,6-0,0,0,,1,Sherman Badie,,,0,,,,,sherman-badie-1,352,66,RB,0,,1,419,7.5,56,296,9,1517,5.1,10,0.0,,Career,1,0.0,Tulane,2,11,,205,1936,5.5,,0,,
lazedrick-thompson-1,2013,,,,0,0,,,,8.0,5-11,,,,0,Lazedrick Thompson,,,,,,,,lazedrick-thompson-1,23,0,RB,0,,0,31,31.0,1,22,0,68,3.1,0,,,2013,,,Tulane,,0,,220,99,4.3,,,,FR
lazedrick-thompson-1,2014,,,,0,0,,,,10.0,5-11,,,,0,Lazedrick Thompson,,,,,,,,lazedrick-thompson-1,110,24,RB,0,,0,4,4.0,1,109,4,533,4.9,4,,,2014,,,Tulane,,4,,220,537,4.9,,,,SO
lazedrick-thompson-1,2015,,,,0,0,,,,8.0,5-11,,,,0,Lazedrick Thompson,,,,,,,,lazedrick-thompson-1,45,6,RB,0,,0,0,,0,45,1,162,3.6,1,,,2015,,,Tulane,,1,,220,162,3.6,,,,JR
lazedrick-thompson-1,2016,,,,0,0,,,,12.0,5-11,,,,0,Lazedrick Thompson,,,,,,,,lazedrick-thompson-1,89,42,RB,0,,0,0,0.0,2,87,7,506,5.8,7,,,2016,,,Tulane,,7,,220,506,5.7,,,,SR
lazedrick-thompson-1,Career,,,,0,0,,,,,5-11,,,,0,Lazedrick Thompson,,,,,,,,lazedrick-thompson-1,267,72,RB,0,,0,35,8.8,4,263,12,1269,4.8,12,,,Career,,,Tulane,,12,,220,1304,4.9,,,,
dontrell-hilliard-1,2014,,1,0,0,0,0,0,,12.0,6-0,0,0,0,0,Dontrell Hilliard,,0,0,,0,0,,dontrell-hilliard-1,127,24,RB,0,,1,244,8.1,30,97,3,452,4.7,4,0.0,,2014,1,0.0,Tulane,2,4,,205,696,5.5,,0,,FR
dontrell-hilliard-1,2015,,0,0,0,0,0,0,,12.0,6-0,0,0,0,0,Dontrell Hilliard,,0,0,,0,0,,dontrell-hilliard-1,138,42,RB,0,,1,267,11.6,23,115,6,646,5.6,7,0.0,,2015,0,0.0,Tulane,0,7,,205,913,6.6,,0,,SO
dontrell-hilliard-1,2016,,0,0,0,0,0,0,,11.0,6-0,0,0,0,0,Dontrell Hilliard,,0,0,,0,0,,dontrell-hilliard-1,144,54,RB,0,,0,114,12.7,9,135,9,759,5.6,9,0.0,,2016,0,0.0,Tulane,0,9,,205,873,6.1,,0,,JR
dontrell-hilliard-1,2017,0.0,0,0,0,0,0,0,,12.0,6-0,0,0,0,0,Dontrell Hilliard,,1,0,0.0,0,0,0.0,dontrell-hilliard-1,219,84,RB,0,0.0,2,115,14.4,8,211,12,1091,5.2,14,0.0,,2017,0,0.0,Tulane,0,14,,205,1206,5.5,,0,,SR
dontrell-hilliard-1,Career,0.0,1,0,0,0,0,0,,,6-0,0,0,0,0,Dontrell Hilliard,,1,0,0.0,0,0,0.0,dontrell-hilliard-1,628,204,RB,0,0.0,4,740,10.6,70,558,30,2948,5.3,34,0.0,,Career,1,0.0,Tulane,2,34,,205,3688,5.9,,0,,
dante-butler-1,2011,,0,,,,0.0,0.0,,9.0,5-10,,,,0,Dante Butler,,,0.0,,,,,dante-butler-1,6,0,RB,,,,,,,6,0,68,11.3,0,0.0,,2011,0,0.0,Tulane,0,0,,215,68,11.3,,,,FR
dante-butler-1,2012,,0,,,,,,,12.0,5-10,,,,0,Dante Butler,,,,,,,,dante-butler-1,57,0,RB,,,0.0,74.0,4.4,17.0,40,0,157,3.9,0,0.0,,2012,2,0.0,Tulane,2,0,,215,231,4.1,,,,SO
dante-butler-1,2013,,0,,0.0,0.0,0.0,1.0,,13.0,5-10,0.0,0.0,,0,Dante Butler,,,0.0,,,,,dante-butler-1,32,0,RB,0.0,,0.0,82.0,10.3,8.0,24,0,146,6.1,0,0.0,,2013,1,0.0,Tulane,1,0,,215,228,7.1,,0.0,,JR
dante-butler-1,2014,,0,,0.0,0.0,0.0,0.0,,11.0,5-10,0.0,0.0,,0,Dante Butler,,,0.0,,,,,dante-butler-1,53,6,RB,0.0,,1.0,159.0,8.4,19.0,34,0,171,5.0,1,0.0,,2014,0,0.0,Tulane,0,1,,215,330,6.2,,0.0,,SR
dante-butler-1,Career,,0,,0.0,0.0,0.0,1.0,,,5-10,0.0,0.0,,0,Dante Butler,,,0.0,,,,,dante-butler-1,148,6,RB,0.0,,1.0,315.0,7.2,44.0,104,0,542,5.2,1,0.0,,Career,3,0.0,Tulane,3,1,,215,857,5.8,,0.0,,
marshall-wadleigh-1,2013,,0,,,,0,0,,2.0,5-11,0,0,,,Marshall Wadleigh,,,0,,,,,marshall-wadleigh-1,0,,RB,,,0,0,,0,0,0,0,,0,0.0,,2013,2,0.0,Tulane,2,,,205,0,,,0,,FR
marshall-wadleigh-1,2014,,1,,,,0,0,,3.0,5-11,0,0,,,Marshall Wadleigh,,,0,,,,,marshall-wadleigh-1,0,,RB,,,0,0,,0,0,0,0,,0,0.0,,2014,2,0.0,Tulane,3,,,205,0,,,0,,SO
