,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
dane-evans-1,2013,2.7,,84,0,0,,,,8.0,6-1,,,10,0,Dane Evans,,195,,43.1,4,898,4.6,dane-evans-1,24,6,QB,0,78.3,0,0,,0,24,1,52,2.2,1,,,2013,,,Tulsa,,1,,210,52,2.2,,,,FR
dane-evans-1,2014,6.1,,256,0,0,,,,12.0,6-1,,,17,0,Dane Evans,,462,,55.4,23,3102,6.7,dane-evans-1,77,18,QB,0,120.9,0,0,,0,77,3,58,0.8,3,,,2014,,,Tulsa,,3,,210,58,0.8,,,,SO
dane-evans-1,2015,9.2,,305,0,0,,,,13.0,6-1,,,8,0,Dane Evans,,485,,62.9,25,4332,8.9,dane-evans-1,96,12,QB,0,151.6,0,0,,0,96,2,-9,-0.1,2,,,2015,,,Tulsa,,2,,210,-9,-0.1,,,,JR
dane-evans-1,2016,7.9,,259,0,0,,,,13.0,6-1,,,12,0,Dane Evans,,435,,59.5,32,3348,7.7,dane-evans-1,47,24,QB,0,142.9,0,0,,0,47,4,-29,-0.6,4,,,2016,,,Tulsa,,4,,210,-29,-0.6,,,,SR
dane-evans-1,Career,7.1,,904,0,0,,,,,6-1,,,47,0,Dane Evans,,1577,,57.3,84,11680,7.4,dane-evans-1,244,60,QB,0,131.2,0,0,,0,244,10,72,0.3,10,,,Career,,,Tulsa,,10,,210,72,0.3,,,,
joseph-calcagni-1,2012,12.0,,3.0,,,,,,2.0,6-1,,,0.0,,Joseph Calcagni,,4.0,,75.0,0.0,48.0,12.0,joseph-calcagni-1,3,,QB,,175.8,,,,,3.0,0.0,11.0,3.7,0,,,2012,,,Tulsa,,,,212,11,3.7,,,,SO
joseph-calcagni-1,2013,1.6,0.0,9.0,,,0.0,0.0,,3.0,6-1,0.0,0.0,1.0,,Joseph Calcagni,,22.0,0.0,40.9,1.0,60.0,2.7,joseph-calcagni-1,4,,QB,,69.7,0.0,0.0,,0.0,4.0,0.0,10.0,2.5,0,0.0,,2013,0.0,0.0,Tulsa,0.0,,,212,10,2.5,,0.0,,SO
joseph-calcagni-1,2014,1.7,1.0,7.0,,,0.0,0.0,,4.0,6-1,0.0,0.0,1.0,,Joseph Calcagni,,17.0,0.0,41.2,0.0,74.0,4.4,joseph-calcagni-1,6,,QB,,66.0,0.0,0.0,,0.0,6.0,0.0,16.0,2.7,0,0.0,,2014,0.0,0.0,Tulsa,1.0,,,212,16,2.7,,0.0,,JR
joseph-calcagni-1,2015,,,,,,,,,,6-1,,,,,Joseph Calcagni,,,,,,,,joseph-calcagni-1,0,,QB,,,,,,,,,,,0,,,2015,,,Tulsa,,,,212,0,,,,,SR
joseph-calcagni-1,Career,2.6,1.0,19.0,,,0.0,0.0,,,6-1,0.0,0.0,2.0,,Joseph Calcagni,,43.0,0.0,44.2,1.0,182.0,4.2,joseph-calcagni-1,13,,QB,,78.1,0.0,0.0,,0.0,13.0,0.0,37.0,2.8,0,0.0,,Career,0.0,0.0,Tulsa,1.0,,,212,37,2.8,,0.0,,
zack-langer-1,2012,,3,,,,,,,14.0,6-0,,,,0,Zack Langer,,,,,,,,zack-langer-1,37,12,RB,,,0,68,34.0,2,35,2,181,5.2,2,0.0,,2012,1,0.0,Tulsa,4,2,,220,249,6.7,,,,SO
zack-langer-1,2013,,2,,0.0,0.0,0.0,0.0,,10.0,6-0,0.0,0.0,,0,Zack Langer,,,0.0,,,,,zack-langer-1,19,0,RB,0.0,,0,6,6.0,1,18,0,58,3.2,0,0.0,,2013,5,0.0,Tulsa,7,0,,220,64,3.4,,0.0,,SO
zack-langer-1,2014,,1,,0.0,0.0,0.0,0.0,,10.0,6-0,0.0,0.0,,0,Zack Langer,,,0.0,,,,,zack-langer-1,199,24,RB,0.0,,0,9,3.0,3,196,4,801,4.1,4,0.0,,2014,3,0.0,Tulsa,4,4,,220,810,4.1,,0.0,,JR
zack-langer-1,2015,,0,,0.0,0.0,0.0,0.0,,11.0,6-0,0.0,0.0,,0,Zack Langer,,,0.0,,,,,zack-langer-1,205,108,RB,0.0,,0,61,15.3,4,201,18,777,3.9,18,0.0,,2015,0,0.0,Tulsa,0,18,,220,838,4.1,,0.0,,SR
zack-langer-1,Career,,6,,0.0,0.0,0.0,0.0,,,6-0,0.0,0.0,,0,Zack Langer,,,0.0,,,,,zack-langer-1,460,144,RB,0.0,,0,144,14.4,10,450,24,1817,4.0,24,0.0,,Career,9,0.0,Tulsa,15,24,,220,1961,4.3,,0.0,,
james-flanders-1,2013,,4,,0,0,0,0,,5.0,5-10,0,0,,0,James Flanders,,,0,,,,,james-flanders-1,2,0,RB,0,,0,0,,0,2,0,5,2.5,0,0.0,,2013,1,0.0,Tulsa,5,0,,203,5,2.5,,0,,FR
james-flanders-1,2014,,0,,0,0,0,0,,11.0,5-10,0,0,,0,James Flanders,,,0,,,,,james-flanders-1,107,6,RB,0,,0,42,8.4,5,102,1,456,4.5,1,0.0,,2014,1,0.0,Tulsa,1,1,,203,498,4.7,,0,,SO
james-flanders-1,2015,,0,,0,0,0,0,,3.0,5-10,0,0,,0,James Flanders,,,0,,,,,james-flanders-1,22,0,RB,0,,0,5,5.0,1,21,0,87,4.1,0,0.0,,2015,0,0.0,Tulsa,0,0,,203,92,4.2,,0,,JR
james-flanders-1,2016,,0,,0,0,0,0,,13.0,5-10,0,0,,0,James Flanders,,,0,,,,,james-flanders-1,261,108,RB,0,,0,17,5.7,3,258,18,1629,6.3,18,0.0,,2016,1,0.0,Tulsa,1,18,,203,1646,6.3,,0,,SR
james-flanders-1,Career,,4,,0,0,0,0,,,5-10,0,0,,0,James Flanders,,,0,,,,,james-flanders-1,392,114,RB,0,,0,64,7.1,9,383,19,2177,5.7,19,0.0,,Career,3,0.0,Tulsa,7,19,,203,2241,5.7,,0,,
dangelo-brewer-1,2014,,,,0,0,,,,11.0,5-9,,,,0,D'Angelo Brewer,,,,,,,,dangelo-brewer-1,43,6,RB,0,,0,64,16.0,4,39,1,128,3.3,1,,,2014,,,Tulsa,,1,,190,192,4.5,,,,FR
dangelo-brewer-1,2015,,,,0,0,,,,11.0,5-9,,,,0,D'Angelo Brewer,,,,,,,,dangelo-brewer-1,177,42,RB,0,,1,107,7.1,15,162,6,837,5.2,7,,,2015,,,Tulsa,,7,,190,944,5.3,,,,SO
dangelo-brewer-1,2016,,,,0,0,,,,12.0,5-9,,,,0,D'Angelo Brewer,,,,,,,,dangelo-brewer-1,269,48,RB,0,,1,19,3.8,5,264,7,1435,5.4,8,,,2016,,,Tulsa,,8,,190,1454,5.4,,,,JR
dangelo-brewer-1,2017,,,,0,0,,,,11.0,5-9,,,,0,D'Angelo Brewer,,,,,,,,dangelo-brewer-1,297,54,RB,0,,0,88,9.8,9,288,9,1517,5.3,9,,,2017,,,Tulsa,,9,,190,1605,5.4,,,,SR
dangelo-brewer-1,Career,,,,0,0,,,,,5-9,,,,0,D'Angelo Brewer,,,,,,,,dangelo-brewer-1,786,150,RB,0,,2,278,8.4,33,753,23,3917,5.2,25,,,Career,,,Tulsa,,25,,190,4195,5.3,,,,
tavarreon-dickerson-1,2014,,0,,,,0,0,,7.0,5-9,0,0,,,Tavarreon Dickerson,,,0,,,,,tavarreon-dickerson-1,40,,RB,,,0,23,3.8,6,34,0,132,3.9,0,0.0,,2014,1,1.0,Tulsa,1,,,185,155,3.9,,0,,SO
tavarreon-dickerson-1,2015,,1,,,,0,0,,2.0,5-9,0,0,,,Tavarreon Dickerson,,,0,,,,,tavarreon-dickerson-1,1,,RB,,,0,5,5.0,1,0,0,0,,0,0.0,,2015,0,0.0,Tulsa,1,,,185,5,5.0,,0,,JR
tavarreon-dickerson-1,Career,,1,,,,0,0,,,5-9,0,0,,,Tavarreon Dickerson,,,0,,,,,tavarreon-dickerson-1,41,,RB,,,0,28,4.0,7,34,0,132,3.9,0,0.0,,Career,1,1.0,Tulsa,2,,,185,160,3.9,,0,,
rowdy-simon-1,2014,,1,,0,0,0,0,,4.0,5-11,0,0,,0,Rowdy Simon,,,0,,,,,rowdy-simon-1,1,0,RB,0,,0,0,,0,1,0,2,2.0,0,0.0,,2014,0,0.0,Tulsa,1,0,,214,2,2.0,,0,,FR
rowdy-simon-1,2015,,0,,0,0,0,0,,4.0,5-11,0,0,,0,Rowdy Simon,,,0,,,,,rowdy-simon-1,7,6,RB,0,,0,0,,0,7,1,35,5.0,1,0.0,,2015,0,0.0,Tulsa,0,1,,214,35,5.0,,0,,SO
rowdy-simon-1,2016,,2,,0,0,0,0,,9.0,5-11,0,0,,0,Rowdy Simon,,,0,,,,,rowdy-simon-1,18,6,RB,0,,0,0,,0,18,1,102,5.7,1,0.0,,2016,7,0.0,Tulsa,9,1,,214,102,5.7,,0,,JR
rowdy-simon-1,2017,,1,,0,0,0,0,,7.0,5-11,0,0,,0,Rowdy Simon,,,0,,,,,rowdy-simon-1,21,0,RB,0,,0,0,,0,21,0,48,2.3,0,0.0,,2017,2,0.0,Tulsa,3,0,,214,48,2.3,,0,,SR
rowdy-simon-1,Career,,4,,0,0,0,0,,,5-11,0,0,,0,Rowdy Simon,,,0,,,,,rowdy-simon-1,47,12,RB,0,,0,0,,0,47,2,187,4.0,2,0.0,,Career,9,0.0,Tulsa,13,2,,214,187,4.0,,0,,
jeremy-brady-1,2013,,3,,,,0,0,,4.0,5-10,0,0,,,Jeremy Brady,,,0,,,,,jeremy-brady-1,,,DB,,,,,,,,,,,,0.0,,2013,3,0.0,Tulsa,6,,,197,,,,0,,FR
jeremy-brady-1,2014,,1,,,,0,0,,1.0,5-10,0,0,,,Jeremy Brady,,,0,,,,,jeremy-brady-1,,,RB,,,,,,,,,,,,0.0,,2014,0,0.0,Tulsa,1,,,197,,,,0,,SO
jeremy-brady-1,2015,,23,,,,0,0,,12.0,5-10,2,0,,,Jeremy Brady,,,3,,,,,jeremy-brady-1,,,S,,,,,,,,,,,,0.0,,2015,41,0.0,Tulsa,64,,,197,,,,63,31.5,JR
jeremy-brady-1,2016,,22,,,,1,1,,11.0,5-10,2,0,,,Jeremy Brady,,,5,,,,,jeremy-brady-1,,,S,,,,,,,,,,,,0.0,,2016,39,1.0,Tulsa,61,,,197,,,,0,0.0,SR
jeremy-brady-1,Career,,49,,,,1,1,,,5-10,4,0,,,Jeremy Brady,,,8,,,,,jeremy-brady-1,,,S,,,,,,,,,,,,0.0,,Career,83,1.0,Tulsa,132,,,197,,,,63,15.8,
keevan-lucas-1,2013,,1,0,0,0,0,0,,12.0,5-10,0,0,0,0,Keevan Lucas,,0,0,,0,0,,keevan-lucas-1,44,6,WR,0,,1,442,13.8,32,12,0,73,6.1,1,0.0,,2013,1,0.0,Tulsa,2,1,,195,515,11.7,,0,,FR
