,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
brett-hundley-1,2012,8.0,0,318,,,,,,14.0,6-3,,,11,,Brett Hundley,,478,,66.5,29,3740,7.8,brett-hundley-1,160,54,QB,,147.7,,,,,160,9,355,2.2,9,0.0,,2012,1,0.0,UCLA,1,9,,227,355,2.2,,,,FR
brett-hundley-1,2013,8.5,0,248,0.0,0.0,0.0,0.0,,13.0,6-3,0.0,0.0,9,0.0,Brett Hundley,,371,0.0,66.8,24,3071,8.3,brett-hundley-1,161,72,QB,0.0,152.9,1.0,7.0,7.0,1.0,160,11,748,4.7,12,0.0,,2013,0,0.0,UCLA,0,12,,227,755,4.7,,0.0,,SO
brett-hundley-1,2014,8.6,0,271,0.0,0.0,0.0,0.0,,13.0,6-3,0.0,0.0,5,0.0,Brett Hundley,,392,0.0,69.1,22,3155,8.0,brett-hundley-1,160,60,QB,0.0,152.7,0.0,9.0,9.0,1.0,159,10,644,4.1,10,0.0,,2014,2,0.0,UCLA,2,10,,227,653,4.1,,0.0,,JR
brett-hundley-1,Career,8.3,0,837,0.0,0.0,0.0,0.0,,,6-3,0.0,0.0,25,0.0,Brett Hundley,,1241,0.0,67.4,75,9966,8.0,brett-hundley-1,481,186,QB,0.0,150.8,1.0,16.0,8.0,2.0,479,30,1747,3.6,31,0.0,,Career,3,0.0,UCLA,3,31,,227,1763,3.7,,0.0,,
jerry-neuheisel-1,2013,9.5,0,11,,,0,0,,2.0,6-1,0,0,0,,Jerry Neuheisel,,13,0,84.6,0,124,9.5,jerry-neuheisel-1,1,,QB,,164.7,0,0,,0,1,0,-2,-2.0,0,0.0,,2013,0,0.0,UCLA,0,,,200,-2,-2.0,,0,,FR
jerry-neuheisel-1,2014,4.8,0,26,,,0,0,,2.0,6-1,0,0,1,,Jerry Neuheisel,,39,0,66.7,2,194,5.0,jerry-neuheisel-1,3,,QB,,120.2,0,0,,0,3,0,-20,-6.7,0,0.0,,2014,0,0.0,UCLA,0,,,200,-20,-6.7,,0,,SO
jerry-neuheisel-1,2015,-1.6,0,5,,,0,0,,3.0,6-1,0,0,2,,Jerry Neuheisel,,18,0,27.8,0,61,3.4,jerry-neuheisel-1,0,,QB,,34.0,0,0,,0,0,0,0,,0,0.0,,2015,1,0.0,UCLA,1,,,200,0,,,0,,JR
jerry-neuheisel-1,Career,4.1,0,42,,,0,0,,,6-1,0,0,3,,Jerry Neuheisel,,70,0,60.0,2,379,5.4,jerry-neuheisel-1,4,,QB,,106.3,0,0,,0,4,0,-22,-5.5,0,0.0,,Career,1,0.0,UCLA,1,,,200,-22,-5.5,,0,,
asiantii-woulard-1,2014,,0.0,,,,0.0,0.0,,1.0,6-3,0.0,0.0,,,Asiantii Woulard,,,0.0,,,,,asiantii-woulard-1,,,QB,,,,,,,,,,,,0.0,,2014,1.0,0.0,UCLA,1.0,,,213,,,,0.0,,FR
asiantii-woulard-1,2015,,,,,,,,,,6-3,,,,,Asiantii Woulard,,,,,,,,asiantii-woulard-1,,,QB,,,,,,,,,,,,,,2015,,,South Florida,,,,213,,,,,,SO
