,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
darell-garretson-1,2013,6.4,0.0,126.0,0.0,0.0,0.0,0.0,,8.0,6-0,0.0,0.0,7.0,0.0,Darell Garretson,,209.0,0.0,60.3,10.0,1446.0,6.9,darell-garretson-1,60,0,QB,0.0,127.5,0.0,0.0,,0.0,60.0,0.0,33.0,0.6,0,0.0,,2013,1.0,0.0,Utah State,1.0,0,,205,33,0.6,,0.0,,FR
darell-garretson-1,2014,8.6,0.0,91.0,0.0,0.0,0.0,0.0,,6.0,6-0,0.0,0.0,3.0,0.0,Darell Garretson,,135.0,0.0,67.4,8.0,1140.0,8.4,darell-garretson-1,17,12,QB,0.0,153.5,0.0,0.0,,0.0,17.0,2.0,4.0,0.2,2,0.0,,2014,1.0,0.0,Utah State,1.0,2,,205,4,0.2,,0.0,,SO
darell-garretson-1,2015,,,,,,,,,,6-0,,,,,Darell Garretson,,,,,,,,darell-garretson-1,0,0,QB,,,,,,,,,,,0,,,2015,,,Oregon State,,0,,205,0,,,,,JR
darell-garretson-1,2016,3.4,0.0,73.0,0.0,0.0,0.0,0.0,,6.0,6-0,0.0,0.0,4.0,0.0,Darell Garretson,,146.0,0.0,50.0,3.0,617.0,4.2,darell-garretson-1,41,18,QB,0.0,86.8,0.0,0.0,,0.0,41.0,3.0,174.0,4.2,3,0.0,,2016,1.0,0.0,Oregon State,1.0,3,,205,174,4.2,,0.0,,JR
darell-garretson-1,2017,5.5,0.0,128.0,0.0,0.0,0.0,0.0,,10.0,6-0,0.0,0.0,8.0,0.0,Darell Garretson,,221.0,0.0,57.9,6.0,1465.0,6.6,darell-garretson-1,44,18,QB,0.0,115.3,0.0,0.0,,0.0,44.0,3.0,52.0,1.2,3,0.0,,2017,0.0,0.0,Oregon State,0.0,3,,205,52,1.2,,0.0,,SR
darell-garretson-1,Career,5.9,0.0,418.0,0.0,0.0,0.0,0.0,,,6-0,0.0,0.0,22.0,0.0,Darell Garretson,,711.0,0.0,58.8,27.0,4668.0,6.6,darell-garretson-1,162,48,QB,0.0,120.3,0.0,0.0,,0.0,162.0,8.0,263.0,1.6,8,0.0,,Career,3.0,0.0,Overall,3.0,8,,205,263,1.6,,0.0,,
kent-myers-1,2014,7.0,0,79,0,0,0,0,,7.0,6-0,0,0,3,0,Kent Myers,,119,0,66.4,5,866,7.3,kent-myers-1,56,30,QB,0,136.3,0,0,,0,56,5,310,5.5,5,0.0,,2014,0,0.0,Utah State,0,5,,205,310,5.5,,0,,FR
kent-myers-1,2015,8.9,0,121,0,0,0,0,,9.0,6-0,0,0,3,0,Kent Myers,,199,0,60.8,16,1593,8.0,kent-myers-1,85,18,QB,0,151.6,0,0,,0,85,3,354,4.2,3,0.0,,2015,0,0.0,Utah State,0,3,,205,354,4.2,,0,,SO
kent-myers-1,2016,6.2,0,212,0,0,0,0,,12.0,6-0,0,0,8,0,Kent Myers,,362,0,58.6,10,2394,6.6,kent-myers-1,116,36,QB,0,118.8,0,0,,0,116,6,449,3.9,6,0.0,,2016,0,0.0,Utah State,0,6,,205,449,3.9,,0,,JR
kent-myers-1,2017,5.7,0,124,0,0,0,0,,10.0,6-0,0,0,7,0,Kent Myers,,197,0,62.9,8,1278,6.5,kent-myers-1,80,30,QB,0,123.7,0,-5,,0,80,5,291,3.6,5,0.0,,2017,1,0.0,Utah State,1,5,,205,286,3.6,,0,,SR
