,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
travis-wilson-4,2012,5.8,,128,,,,,,12.0,6-7,,,6,,Travis Wilson,,204,,62.7,7,1311,6.4,travis-wilson-4,65,24,QB,,122.2,0,22,22.0,1,64,4,40,0.6,4,,,2012,,,Utah,,4,,233,62,1.0,,,,FR
travis-wilson-4,2013,6.0,0.0,133,0.0,0.0,0.0,0.0,,9.0,6-7,0.0,0.0,16,0.0,Travis Wilson,,237,0.0,56.1,16,1827,7.7,travis-wilson-4,81,30,QB,0.0,129.6,0,0,,0,81,5,386,4.8,5,0.0,,2013,0.0,0.0,Utah,0.0,5,,233,386,4.8,,0.0,,SO
travis-wilson-4,2014,7.4,0.0,190,0.0,0.0,0.0,0.0,,13.0,6-7,0.0,0.0,5,0.0,Travis Wilson,,313,0.0,60.7,18,2170,6.9,travis-wilson-4,114,30,QB,0.0,134.7,0,0,,0,114,5,309,2.7,5,0.0,,2014,0.0,0.0,Utah,0.0,5,,233,309,2.7,,0.0,,JR
travis-wilson-4,2015,6.1,1.0,195,0.0,0.0,0.0,0.0,,12.0,6-7,0.0,0.0,10,0.0,Travis Wilson,,314,0.0,62.1,13,2093,6.7,travis-wilson-4,141,42,QB,0.0,125.4,0,0,,0,141,7,491,3.5,7,0.0,,2015,0.0,0.0,Utah,1.0,7,,233,491,3.5,,0.0,,SR
travis-wilson-4,Career,6.4,1.0,646,0.0,0.0,0.0,0.0,,,6-7,0.0,0.0,37,0.0,Travis Wilson,,1068,0.0,60.5,54,7401,6.9,travis-wilson-4,401,126,QB,0.0,128.5,0,22,22.0,1,400,21,1226,3.1,21,0.0,,Career,0.0,0.0,Utah,1.0,21,,233,1248,3.1,,0.0,,
kendal-thompson-1,2013,3.0,,4,0,0,,,,2.0,6-2,,,1,0,Kendal Thompson,,13,,30.8,1,64,4.9,kendal-thompson-1,4,0,QB,0,82.1,0,0,,0,4,0,20,5.0,0,,,2013,,,Oklahoma,,0,,195,20,5.0,,,,SO
kendal-thompson-1,2014,5.3,,32,0,0,,,,7.0,6-2,,,2,0,Kendal Thompson,,52,,61.5,2,324,6.2,kendal-thompson-1,56,6,QB,0,118.9,0,0,,0,56,1,192,3.4,1,,,2014,,,Utah,,1,,195,192,3.4,,,,JR
kendal-thompson-1,2015,5.4,,28,0,0,,,,4.0,6-2,,,1,0,Kendal Thompson,,36,,77.8,1,220,6.1,kendal-thompson-1,20,12,QB,0,132.7,0,8,8.0,1,19,2,55,2.9,2,,,2015,,,Utah,,2,,195,63,3.2,,,,SR
kendal-thompson-1,Career,5.0,,64,0,0,,,,,6-2,,,4,0,Kendal Thompson,,101,,63.4,4,608,6.0,kendal-thompson-1,80,18,QB,0,119.1,0,8,8.0,1,79,3,267,3.4,3,,,Career,,,Overall,,3,,195,275,3.4,,,,
conner-manning-1,2014,-2.8,,2.0,0.0,0.0,,,,1.0,6-1,,,1.0,0.0,Conner Manning,,6.0,,33.3,0.0,28.0,4.7,conner-manning-1,1,0,QB,0.0,39.2,0.0,0.0,,0.0,1.0,0.0,-5.0,-5.0,0,,,2014,,,Utah,,0,,205,-5,-5.0,,,,FR
