,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
johnny-mccrary-1,2014,5.3,,78,0,0,,,,7.0,6-4,,,8,0,Johnny McCrary,,152,,51.3,9,985,6.5,johnny-mccrary-1,22,0,QB,0,114.8,0,0,,0,22,0,39,1.8,0,,,2014,,,Vanderbilt,,0,,220,39,1.8,,,,FR
johnny-mccrary-1,2015,4.2,,146,0,0,,,,10.0,6-4,,,12,0,Johnny McCrary,,267,,54.7,6,1533,5.7,johnny-mccrary-1,70,12,QB,0,101.3,0,0,,0,70,2,194,2.8,2,,,2015,,,Vanderbilt,,2,,220,194,2.8,,,,SO
johnny-mccrary-1,Career,4.6,,224,0,0,,,,,6-4,,,20,0,Johnny McCrary,,419,,53.5,15,2518,6.0,johnny-mccrary-1,92,12,QB,0,106.2,0,0,,0,92,2,233,2.5,2,,,Career,,,Vanderbilt,,2,,220,233,2.5,,,,
wade-freebeck-1,2014,2.4,0,34,,,0,0,,5.0,6-5,0,0,5,,Wade Freebeck,,72,0,47.2,1,376,5.2,wade-freebeck-1,12,,QB,,81.8,0,0,,0,12,0,-38,-3.2,0,0.0,,2014,1,0.0,Vanderbilt,1,,,225,-38,-3.2,,0,,FR
wade-freebeck-1,2015,-3.2,0,2,,,0,0,,1.0,6-5,0,0,1,,Wade Freebeck,,6,0,33.3,0,26,4.3,wade-freebeck-1,0,,QB,,36.4,0,0,,0,0,0,0,,0,0.0,,2015,0,0.0,Vanderbilt,0,,,225,0,,,0,,SO
wade-freebeck-1,2016,2.5,0,6,,,0,0,,3.0,6-5,0,0,1,,Wade Freebeck,,13,0,46.2,0,77,5.9,wade-freebeck-1,3,,QB,,80.5,0,0,,0,3,0,9,3.0,0,0.0,,2016,0,0.0,Vanderbilt,0,,,225,9,3.0,,0,,JR
wade-freebeck-1,Career,2.0,0,42,,,0,0,,,6-5,0,0,7,,Wade Freebeck,,91,0,46.2,1,479,5.3,wade-freebeck-1,15,,QB,,78.6,0,0,,0,15,0,-29,-1.9,0,0.0,,Career,1,0.0,Vanderbilt,1,,,225,-29,-1.9,,0,,
patton-robinette-1,2013,5.6,2,46,0,0,0,0,,10.0,6-4,0,0,5,0,Patton Robinette,,88,0,52.3,4,642,7.3,patton-robinette-1,71,42,QB,0,117.2,0,0,,0,71,7,214,3.0,7,0.0,,2013,0,0.0,Vanderbilt,2,7,,214,214,3.0,,0,,FR
patton-robinette-1,2014,5.7,0,43,0,0,0,0,,6.0,6-4,0,0,3,0,Patton Robinette,,67,0,64.2,3,454,6.8,patton-robinette-1,29,6,QB,0,126.9,0,0,,0,29,1,63,2.2,1,0.0,,2014,0,0.0,Vanderbilt,0,1,,214,63,2.2,,0,,SO
patton-robinette-1,Career,5.7,2,89,0,0,0,0,,,6-4,0,0,8,0,Patton Robinette,,155,0,57.4,7,1096,7.1,patton-robinette-1,100,48,QB,0,121.4,0,0,,0,100,8,277,2.8,8,0.0,,Career,0,0.0,Vanderbilt,2,8,,214,277,2.8,,0,,
