,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
mark-leal-1,2011,14.8,,9,,,,,,2.0,6-1,,,0,,Mark Leal,,13,,69.2,2,153,11.8,mark-leal-1,1,,QB,,218.9,,,,,1,0,5,5.0,0,,,2011,,,Virginia Tech,,,,204,5,5.0,,,,FR
mark-leal-1,2012,4.3,,4,,,,,,2.0,6-1,,,0,,Mark Leal,,6,,66.7,0,26,4.3,mark-leal-1,2,,QB,,103.1,,,,,2,0,5,2.5,0,,,2012,,,Virginia Tech,,,,204,5,2.5,,,,SO
mark-leal-1,2013,2.2,,15,,,,,,2.0,6-1,,,2,,Mark Leal,,29,,51.7,0,155,5.3,mark-leal-1,7,,QB,,82.8,0.0,0.0,,0.0,7,0,-16,-2.3,0,,,2013,,,Virginia Tech,,,,204,-16,-2.3,,,,JR
mark-leal-1,2014,10.8,,6,,,,,,2.0,6-1,,,0,,Mark Leal,,9,,66.7,1,77,8.6,mark-leal-1,1,,QB,,175.2,0.0,0.0,,0.0,1,0,7,7.0,0,,,2014,,,Virginia Tech,,,,204,7,7.0,,,,SR
mark-leal-1,Career,6.7,,34,,,,,,,6-1,,,2,,Mark Leal,,57,,59.6,3,411,7.2,mark-leal-1,11,,QB,,130.6,0.0,0.0,,0.0,11,0,1,0.1,0,,,Career,,,Virginia Tech,,,,204,1,0.1,,,,
brenden-motley-1,2014,5.7,0,1,0,0,0,0,,4.0,6-4,0,0,0,0,Brenden Motley,,3,0,33.3,0,17,5.7,brenden-motley-1,14,0,QB,0,80.9,0,0,,0,14,0,72,5.1,0,0.0,,2014,0,0.0,Virginia Tech,0,0,,230,72,5.1,,0,,SO
brenden-motley-1,2015,6.5,0,92,0,0,0,0,,10.0,6-4,0,0,7,0,Brenden Motley,,164,0,56.1,11,1155,7.0,brenden-motley-1,89,18,QB,0,128.9,0,13,13.0,1,88,3,224,2.5,3,0.0,,2015,1,0.0,Virginia Tech,1,3,,230,237,2.7,,0,,JR
brenden-motley-1,2016,5.1,0,9,0,0,0,0,,6.0,6-4,0,0,0,0,Brenden Motley,,20,0,45.0,1,81,4.1,brenden-motley-1,20,12,QB,0,95.5,0,0,,0,20,2,124,6.2,2,0.0,,2016,1,0.0,Virginia Tech,1,2,,230,124,6.2,,0,,SR
brenden-motley-1,Career,6.3,0,102,0,0,0,0,,,6-4,0,0,7,0,Brenden Motley,,187,0,54.5,12,1253,6.7,brenden-motley-1,123,30,QB,0,124.5,0,13,13.0,1,122,5,420,3.4,5,0.0,,Career,2,0.0,Virginia Tech,2,5,,230,433,3.5,,0,,
marshawn-williams-1,2014,,0.0,,0.0,0.0,0.0,0.0,,9.0,6-0,0.0,0.0,,0.0,Marshawn Williams,,,0.0,,,,,marshawn-williams-1,128,24,RB,0.0,,0.0,18.0,4.5,4.0,124.0,4.0,475.0,3.8,4,0.0,,2014,1.0,0.0,Virginia Tech,1.0,4,,227,493,3.9,,0.0,,FR
marshawn-williams-1,2015,,,,,,,,,,6-0,,,,,Marshawn Williams,,,,,,,,marshawn-williams-1,0,0,RB,,,,,,,,,,,0,,,2015,,,Virginia Tech,,0,,227,0,,,,,SO
marshawn-williams-1,2016,,1.0,,0.0,0.0,0.0,0.0,,9.0,6-0,0.0,0.0,,0.0,Marshawn Williams,,,0.0,,,,,marshawn-williams-1,60,12,RB,0.0,,0.0,2.0,2.0,1.0,59.0,2.0,244.0,4.1,2,0.0,,2016,0.0,0.0,Virginia Tech,1.0,2,,227,246,4.1,,0.0,,SO
marshawn-williams-1,Career,,1.0,,0.0,0.0,0.0,0.0,,,6-0,0.0,0.0,,0.0,Marshawn Williams,,,0.0,,,,,marshawn-williams-1,188,36,RB,0.0,,0.0,20.0,4.0,5.0,183.0,6.0,719.0,3.9,6,0.0,,Career,1.0,0.0,Virginia Tech,2.0,6,,227,739,3.9,,0.0,,
jc-coleman-1,2012,,,,,,,,,13.0,5-6,,,,0,J.C. Coleman,,,,,,,,jc-coleman-1,130,18,RB,,,1,132,6.3,21,109,2,492,4.5,3,,,2012,,,Virginia Tech,,3,,187,624,4.8,,,,FR
jc-coleman-1,2013,,0.0,,0.0,0.0,0.0,0.0,,9.0,5-6,0.0,0.0,,0,J.C. Coleman,,,0.0,,,,,jc-coleman-1,95,6,RB,0.0,,0,79,7.2,11,84,1,284,3.4,1,0.0,,2013,0.0,0.0,Virginia Tech,0.0,1,,187,363,3.8,,0.0,,SO
jc-coleman-1,2014,,0.0,,0.0,0.0,0.0,0.0,,13.0,5-6,0.0,0.0,,0,J.C. Coleman,,,0.0,,,,,jc-coleman-1,111,18,RB,0.0,,0,-1,-0.3,4,107,3,533,5.0,3,0.0,,2014,0.0,0.0,Virginia Tech,0.0,3,,187,532,4.8,,0.0,,JR
jc-coleman-1,2015,,1.0,,0.0,0.0,1.0,0.0,,12.0,5-6,0.0,0.0,,0,J.C. Coleman,,,0.0,,,,,jc-coleman-1,50,6,RB,0.0,,0,21,10.5,2,48,1,210,4.4,1,0.0,,2015,1.0,1.0,Virginia Tech,2.0,1,,187,231,4.6,,0.0,,SR
jc-coleman-1,Career,,1.0,,0.0,0.0,1.0,0.0,,,5-6,0.0,0.0,,0,J.C. Coleman,,,0.0,,,,,jc-coleman-1,386,48,RB,0.0,,1,231,6.1,38,348,7,1519,4.4,8,0.0,,Career,1.0,1.0,Virginia Tech,2.0,8,,187,1750,4.5,,0.0,,
