,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
john-wolford-1,2014,4.5,1,214,0,0,0,0,,12.0,6-1,0,0,14,0,John Wolford,,367,0,58.3,12,2037,5.6,john-wolford-1,105,0,QB,0,108.1,0,24,24.0,1,104,0,-151,-1.5,0,0.0,,2014,0,0.0,Wake Forest,1,0,,200,-127,-1.2,,0,,FR
john-wolford-1,2015,6.3,0,142,0,0,0,0,,11.0,6-1,0,0,11,0,John Wolford,,235,0,60.4,9,1791,7.6,john-wolford-1,73,18,QB,0,127.7,0,0,,0,73,3,67,0.9,3,0.0,,2015,1,0.0,Wake Forest,1,3,,200,67,0.9,,0,,SO
john-wolford-1,2016,5.0,0,166,0,0,0,0,,12.0,6-1,0,0,10,0,John Wolford,,299,0,55.5,9,1774,5.9,john-wolford-1,131,36,QB,0,108.6,0,-6,-6.0,1,130,6,521,4.0,6,0.0,,2016,2,0.0,Wake Forest,2,6,,200,515,3.9,,0,,JR
john-wolford-1,2017,9.4,0,239,0,0,0,0,,12.0,6-1,0,0,6,0,John Wolford,,374,0,63.9,29,3192,8.5,john-wolford-1,140,60,QB,0,158.0,0,0,,0,140,10,683,4.9,10,0.0,,2017,1,0.0,Wake Forest,1,10,,200,683,4.9,,0,,SR
john-wolford-1,Career,6.4,1,761,0,0,0,0,,,6-1,0,0,41,0,John Wolford,,1275,0,59.7,59,8794,6.9,john-wolford-1,449,114,QB,0,126.5,0,18,9.0,2,447,19,1120,2.5,19,0.0,,Career,4,0.0,Wake Forest,5,19,,200,1138,2.5,,0,,
tyler-cameron-1,2013,-2.1,0,7,0,0,0,0,,3.0,6-3,0,0,3,0,Tyler Cameron,,24,0,29.2,0,85,3.5,tyler-cameron-1,9,0,QB,0,33.9,0,0,,0,9,0,16,1.8,0,0.0,,2013,1,0.0,Wake Forest,1,0,,220,16,1.8,,0,,FR
tyler-cameron-1,2014,3.4,0,10,0,0,0,0,,3.0,6-3,0,0,0,0,Tyler Cameron,,16,0,62.5,0,55,3.4,tyler-cameron-1,7,0,QB,0,91.4,0,0,,0,7,0,-15,-2.1,0,0.0,,2014,0,0.0,Wake Forest,0,0,,220,-15,-2.1,,0,,SO
tyler-cameron-1,2015,0.0,1,0,0,0,0,0,,11.0,6-3,0,0,0,0,Tyler Cameron,,1,0,0.0,0,0,0.0,tyler-cameron-1,23,0,QB,0,0.0,0,257,12.2,21,2,0,4,2.0,0,0.0,,2015,1,0.0,Florida Atlantic,2,0,,220,261,11.3,,0,,SR
tyler-cameron-1,2016,,0,0,0,0,0,0,,11.0,6-3,0,0,0,0,Tyler Cameron,,0,0,,0,0,,tyler-cameron-1,20,6,TE,0,,1,252,12.6,20,0,0,0,,1,0.0,,2016,1,0.0,Florida Atlantic,1,1,,220,252,12.6,,0,,SR
tyler-cameron-1,Career,0.1,1,17,0,0,0,0,,,6-3,0,0,3,0,Tyler Cameron,,41,0,41.5,0,140,3.4,tyler-cameron-1,59,6,TE,0,55.5,1,509,12.4,41,18,0,5,0.3,1,0.0,,Career,3,0.0,Overall,4,1,,220,514,8.7,,0,,
