,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
connor-halliday-1,2011,9.3,0,59,,,0.0,0.0,,4.0,6-4,,,4,,Connor Halliday,,103,0.0,57.3,9,960,9.3,connor-halliday-1,6,,QB,,156.6,,,,,6,0,-28,-4.7,0,0.0,,2011,0,0.0,Washington State,0,,,201,-28,-4.7,,,,FR
connor-halliday-1,2012,5.5,0,152,,,,,,9.0,6-4,,,13,,Connor Halliday,,291,,52.2,15,1878,6.5,connor-halliday-1,27,,QB,,114.5,,,,,27,0,-156,-5.8,0,0.0,,2012,1,0.0,Washington State,1,,,201,-156,-5.8,,,,SO
connor-halliday-1,2013,6.0,0,449,,,0.0,0.0,,13.0,6-4,0.0,0.0,22,,Connor Halliday,,714,0.0,62.9,34,4597,6.4,connor-halliday-1,50,,QB,,126.5,0.0,0.0,,0.0,50,0,-177,-3.5,0,0.0,,2013,0,0.0,Washington State,0,,,201,-177,-3.5,,0.0,,JR
connor-halliday-1,2014,7.6,0,354,,,0.0,0.0,,9.0,6-4,0.0,0.0,11,,Connor Halliday,,526,0.0,67.3,32,3873,7.4,connor-halliday-1,29,,QB,,145.0,0.0,0.0,,0.0,29,0,-131,-4.5,0,0.0,,2014,1,0.0,Washington State,1,,,201,-131,-4.5,,0.0,,SR
connor-halliday-1,Career,6.6,0,1014,,,0.0,0.0,,,6-4,0.0,0.0,50,,Connor Halliday,,1634,0.0,62.1,90,11308,6.9,connor-halliday-1,112,,QB,,132.2,0.0,0.0,,0.0,112,0,-492,-4.4,0,0.0,,Career,2,0.0,Washington State,2,,,201,-492,-4.4,,0.0,,
jamal-morrow-1,2014,,0,,0,0,0,0,,12.0,5-9,0,0,,0,Jamal Morrow,,,0,,,,,jamal-morrow-1,148,0,RB,0,,0,460,7.5,61,87,0,351,4.0,0,0.0,,2014,1,0.0,Washington State,1,0,,203,811,5.5,,0,,FR
jamal-morrow-1,2015,,0,,0,0,0,0,,11.0,5-9,0,0,,0,Jamal Morrow,,,0,,,,,jamal-morrow-1,86,24,RB,0,,4,294,8.9,33,53,0,347,6.5,4,0.0,,2015,0,0.0,Washington State,0,4,,203,641,7.5,,0,,SO
jamal-morrow-1,2016,,1,,0,0,0,0,,13.0,5-9,0,0,,0,Jamal Morrow,,,0,,,,,jamal-morrow-1,138,60,RB,0,,5,488,10.2,48,90,5,575,6.4,10,0.0,,2016,0,0.0,Washington State,1,10,,203,1063,7.7,,0,,JR
jamal-morrow-1,2017,,0,,0,0,0,0,,13.0,5-9,0,0,,0,Jamal Morrow,,,0,,,,,jamal-morrow-1,146,54,RB,0,,5,506,8.4,60,86,4,522,6.1,9,0.0,,2017,1,0.0,Washington State,1,9,,203,1028,7.0,,0,,SR
jamal-morrow-1,Career,,1,,0,0,0,0,,,5-9,0,0,,0,Jamal Morrow,,,0,,,,,jamal-morrow-1,518,138,RB,0,,14,1748,8.7,202,316,9,1795,5.7,23,0.0,,Career,2,0.0,Washington State,3,23,,203,3543,6.8,,0,,
