,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
cyler-miles-1,2013,6.7,0,37,0,0,0,0,,8.0,6-4,0,0,2,0,Cyler Miles,,61,0,60.7,4,418,6.9,cyler-miles-1,23,0,QB,0,133.3,0,0,,0,23,0,200,8.7,0,0.0,,2013,0,0.0,Washington,0,0,,225,200,8.7,,0,,FR
cyler-miles-1,2014,7.8,0,219,0,0,0,0,,12.0,6-4,0,0,4,0,Cyler Miles,,329,0,66.6,17,2397,7.3,cyler-miles-1,119,24,QB,0,142.4,0,2,2.0,1,118,4,307,2.6,4,0.0,,2014,1,0.0,Washington,1,4,,225,309,2.6,,0,,SO
cyler-miles-1,Career,7.6,0,256,0,0,0,0,,,6-4,0,0,6,0,Cyler Miles,,390,0,65.6,21,2815,7.2,cyler-miles-1,142,24,QB,0,141.0,0,2,2.0,1,141,4,507,3.6,4,0.0,,Career,1,0.0,Washington,1,4,,225,509,3.6,,0,,
troy-williams-2,2014,2.4,0,23,0,0,0,0,,4.0,6-2,0,0,2,0,Troy Williams,,36,0,63.9,0,176,4.9,troy-williams-2,16,6,QB,0,93.8,0,0,,0,16,1,25,1.6,1,0.0,,2014,1,0.0,Washington,1,1,,208,25,1.6,,0,,FR
troy-williams-2,2016,6.9,0,207,0,0,0,0,,13.0,6-2,0,0,8,0,Troy Williams,,390,0,53.1,15,2757,7.1,troy-williams-2,111,30,QB,0,121.0,0,0,,0,111,5,235,2.1,5,0.0,,2016,0,0.0,Utah,0,5,,208,235,2.1,,0,,JR
troy-williams-2,2017,6.1,0,60,0,0,0,0,,6.0,6-2,0,0,4,0,Troy Williams,,110,0,54.5,2,812,7.4,troy-williams-2,41,30,QB,0,115.3,1,5,5.0,1,40,4,75,1.9,5,0.0,,2017,0,0.0,Utah,0,5,,208,80,2.0,,0,,SR
troy-williams-2,Career,6.4,0,290,0,0,0,0,,,6-2,0,0,14,0,Troy Williams,,536,0,54.1,17,3745,7.0,troy-williams-2,168,66,QB,0,118.0,1,5,5.0,1,167,10,335,2.0,11,0.0,,Career,1,0.0,Overall,1,11,,208,340,2.0,,0,,
jeff-lindquist-1,2013,,,0,0,0,,,,2.0,6-3,,,0,0,Jeff Lindquist,,0,,,0,0,,jeff-lindquist-1,2,0,QB,0,,0,0,,0,2,0,10,5.0,0,,,2013,,,Washington,,0,,246,10,5.0,,,,FR
jeff-lindquist-1,2014,6.1,,10,0,0,,,,7.0,6-3,,,0,0,Jeff Lindquist,,30,,33.3,1,162,5.4,jeff-lindquist-1,16,12,QB,0,89.7,0,0,,0,16,2,63,3.9,2,,,2014,,,Washington,,2,,246,63,3.9,,,,SO
jeff-lindquist-1,2015,,,0,0,0,,,,3.0,6-3,,,0,0,Jeff Lindquist,,0,,,0,0,,jeff-lindquist-1,12,6,QB,0,,0,0,,0,12,1,36,3.0,1,,,2015,,,Washington,,1,,246,36,3.0,,,,JR
jeff-lindquist-1,2016,,,0,0,0,,,,1.0,6-3,,,0,0,Jeff Lindquist,,0,,,0,0,,jeff-lindquist-1,1,0,TE,0,,0,-2,-2.0,1,0,0,0,,0,,,2016,,,Washington,,0,,246,-2,-2.0,,,,SR
jeff-lindquist-1,Career,6.1,,10,0,0,,,,,6-3,,,0,0,Jeff Lindquist,,30,,33.3,1,162,5.4,jeff-lindquist-1,31,18,TE,0,89.7,0,-2,-2.0,1,30,3,109,3.6,3,,,Career,,,Washington,,3,,246,107,3.5,,,,
marvin-hall-1,2012,,,,,,,,,6.0,5-10,,,,0,Marvin Hall,,,,,,,,marvin-hall-1,3,0,WR,0,,0,21,10.5,2,1,0,-4,-4.0,0,,,2012,,,Washington,,0,,190,17,5.7,,,,FR
marvin-hall-1,2013,,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,5-10,0.0,0.0,0.0,0,Marvin Hall,,0.0,0.0,,0.0,0.0,,marvin-hall-1,8,0,WR,0,,0,140,17.5,8,0,0,0,,0,0.0,,2013,0.0,0.0,Washington,0.0,0,,190,140,17.5,,0.0,,SO
marvin-hall-1,2014,42.0,0.0,2.0,0.0,0.0,0.0,0.0,,8.0,5-10,0.0,0.0,0.0,0,Marvin Hall,,2.0,0.0,100.0,1.0,64.0,32.0,marvin-hall-1,10,0,WR,0,533.8,0,42,7.0,6,4,0,17,4.3,0,0.0,,2014,0.0,0.0,Washington,0.0,0,,190,59,5.9,,0.0,,JR
marvin-hall-1,2015,47.0,1.0,1.0,0.0,0.0,0.0,0.0,,7.0,5-10,0.0,0.0,0.0,0,Marvin Hall,,1.0,0.0,100.0,1.0,27.0,27.0,marvin-hall-1,11,6,WR,0,656.8,1,206,22.9,9,2,0,10,5.0,1,0.0,,2015,0.0,0.0,Washington,1.0,1,,190,216,19.6,,0.0,,SR
marvin-hall-1,Career,43.7,1.0,3.0,0.0,0.0,0.0,0.0,,,5-10,0.0,0.0,0.0,0,Marvin Hall,,3.0,0.0,100.0,2.0,91.0,30.3,marvin-hall-1,32,6,WR,0,574.8,1,409,16.4,25,7,0,23,3.3,1,0.0,,Career,0.0,0.0,Washington,1.0,1,,190,432,13.5,,0.0,,
jaydon-mickens-1,2012,,,,,,,,,13.0,5-11,,,,0,Jaydon Mickens,,,,,,,,jaydon-mickens-1,23,6,WR,0,,1,190,9.5,20,3,0,26,8.7,1,,,2012,,,Washington,,1,,170,216,9.4,,,,FR
jaydon-mickens-1,2013,,0.0,0.0,0.0,0.0,0.0,0.0,,13.0,5-11,0.0,0.0,0.0,0,Jaydon Mickens,,0.0,0.0,,0.0,0.0,,jaydon-mickens-1,70,30,WR,0,,5,688,10.6,65,5,0,17,3.4,5,0.0,,2013,1.0,0.0,Washington,1.0,5,,170,705,10.1,,0.0,,SO
jaydon-mickens-1,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,14.0,5-11,0.0,0.0,0.0,0,Jaydon Mickens,,1.0,0.0,0.0,0.0,0.0,0.0,jaydon-mickens-1,77,36,WR,0,0.0,4,617,10.3,60,17,2,103,6.1,6,0.0,,2014,0.0,0.0,Washington,0.0,6,,170,720,9.4,,0.0,,JR
jaydon-mickens-1,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,13.0,5-11,0.0,0.0,0.0,0,Jaydon Mickens,,1.0,0.0,0.0,0.0,0.0,0.0,jaydon-mickens-1,65,18,WR,0,0.0,2,692,11.9,58,7,1,44,6.3,3,0.0,,2015,2.0,0.0,Washington,2.0,3,,170,736,11.3,,0.0,,SR
jaydon-mickens-1,Career,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5-11,0.0,0.0,0.0,0,Jaydon Mickens,,2.0,0.0,0.0,0.0,0.0,0.0,jaydon-mickens-1,235,90,WR,0,0.0,12,2187,10.8,203,32,3,190,5.9,15,0.0,,Career,3.0,0.0,Washington,3.0,15,,170,2377,10.1,,0.0,,
john-ross-1,2013,,0.0,,0.0,0.0,0.0,0.0,,13.0,5-11,0.0,0.0,,1.0,John Ross,,,0.0,,,,,john-ross-1,22,12,WR,0.0,,1.0,208.0,13.0,16.0,6.0,0.0,39.0,6.5,1,0.0,,2013,2.0,1.0,Washington,2.0,2,,188,247,11.2,,0.0,,FR
john-ross-1,2014,,4.0,,0.0,0.0,0.0,0.0,,13.0,5-11,1.0,0.0,,2.0,John Ross,,,1.0,,,,,john-ross-1,23,42,WR,0.0,,4.0,371.0,21.8,17.0,6.0,1.0,54.0,9.0,5,0.0,,2014,12.0,0.0,Washington,16.0,7,,188,425,18.5,,0.0,0.0,SO
john-ross-1,2015,,,,,,,,,,5-11,,,,,John Ross,,,,,,,,john-ross-1,0,0,WR,,,,,,,,,,,0,,,2015,,,Washington,,0,,188,0,,,,,JR
john-ross-1,2016,,0.0,,0.0,0.0,0.0,0.0,,14.0,5-11,0.0,0.0,,1.0,John Ross,,,0.0,,,,,john-ross-1,89,114,WR,0.0,,17.0,1150.0,14.2,81.0,8.0,1.0,102.0,12.8,18,0.0,,2016,0.0,0.0,Washington,0.0,19,,188,1252,14.1,,0.0,,JR
john-ross-1,Career,,4.0,,0.0,0.0,0.0,0.0,,,5-11,1.0,0.0,,4.0,John Ross,,,1.0,,,,,john-ross-1,134,168,WR,0.0,,22.0,1729.0,15.2,114.0,20.0,2.0,195.0,9.8,24,0.0,,Career,14.0,1.0,Washington,18.0,28,,188,1924,14.4,,0.0,0.0,
