,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
skyler-howard-1,2014,9.0,0,56,0,0,0,0,,4.0,6-0,0,0,0,0,Skyler Howard,,110,0,50.9,8,829,7.5,skyler-howard-1,22,0,QB,0,138.2,0,0,,0,22,0,140,6.4,0,0.0,,2014,0,0.0,West Virginia,0,0,,207,140,6.4,,0,,SO
skyler-howard-1,2015,7.5,1,221,0,0,0,0,,13.0,6-0,0,0,14,0,Skyler Howard,,403,0,54.8,26,3145,7.8,skyler-howard-1,158,36,QB,0,134.7,0,0,,0,158,6,502,3.2,6,0.0,,2015,0,0.0,West Virginia,1,6,,207,502,3.2,,0,,JR
skyler-howard-1,2016,8.4,0,247,0,0,0,0,,13.0,6-0,0,0,10,0,Skyler Howard,,404,0,61.1,26,3328,8.2,skyler-howard-1,142,60,QB,0,146.6,0,0,,0,142,10,463,3.3,10,0.0,,2016,0,0.0,West Virginia,0,10,,207,463,3.3,,0,,SR
skyler-howard-1,Career,8.1,1,524,0,0,0,0,,,6-0,0,0,24,0,Skyler Howard,,917,0,57.1,60,7302,8.0,skyler-howard-1,322,96,QB,0,140.4,0,0,,0,322,16,1105,3.4,16,0.0,,Career,0,0.0,West Virginia,1,16,,207,1105,3.4,,0,,
william-crest-1,2014,1.8,,3,0,0,,,,1.0,6-2,,,0,0,William Crest,,4,,75.0,0,7,1.8,william-crest-1,5,6,QB,0,89.7,0,0,,0,5,1,27,5.4,1,,,2014,,,West Virginia,,1,,210,27,5.4,,,,FR
william-crest-1,2015,3.2,,11,0,0,,,,8.0,6-2,,,1,0,William Crest,,25,,44.0,0,124,5.0,william-crest-1,24,6,QB,0,77.7,0,29,7.3,4,20,1,107,5.4,1,,,2015,,,West Virginia,,1,,210,136,5.7,,,,FR
william-crest-1,2016,,,0,0,0,,,,2.0,6-2,,,0,0,William Crest,,0,,,0,0,,william-crest-1,4,0,QB,0,,0,0,,0,4,0,10,2.5,0,,,2016,,,West Virginia,,0,,210,10,2.5,,,,SO
william-crest-1,Career,3.0,,14,0,0,,,,,6-2,,,1,0,William Crest,,29,,48.3,0,131,4.5,william-crest-1,33,12,QB,0,79.3,0,29,7.3,4,29,2,144,5.0,2,,,Career,,,West Virginia,,2,,210,173,5.2,,,,
rushel-shell-3,2014,,,,0,0,,,,12.0,5-9,,,,0,Rushel Shell,,,,,,,,rushel-shell-3,197,42,RB,0,,0,140,6.7,21,176,7,788,4.5,7,,,2014,,,West Virginia,,7,,227,928,4.7,,,,SO
rushel-shell-3,2015,,,,0,0,,,,13.0,5-9,,,,0,Rushel Shell,,,,,,,,rushel-shell-3,177,48,RB,0,,0,101,6.3,16,161,8,708,4.4,8,,,2015,,,West Virginia,,8,,227,809,4.6,,,,JR
