,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
brandon-doughty-1,2011,2.8,,13,,,,,,2.0,6-3,,,1,,Brandon Doughty,,22,,59.1,0,106,4.8,brandon-doughty-1,2,0,QB,,90.5,,,,,2.0,0.0,-2.0,-1.0,0,,,2011,,,Western Kentucky,,0,,220,-2,-1.0,,,,FR
brandon-doughty-1,2012,2.3,,1,,,,,,2.0,6-3,,,0,,Brandon Doughty,,3,,33.3,0,7,2.3,brandon-doughty-1,0,0,QB,,52.9,,,,,,,,,0,,,2012,,,Western Kentucky,,0,,220,0,,,,,SO
brandon-doughty-1,2013,6.7,,246,0.0,0.0,,,,12.0,6-3,,,14,0.0,Brandon Doughty,,374,,65.8,14,2857,7.6,brandon-doughty-1,34,0,QB,0.0,134.8,0.0,0.0,,0.0,34.0,0.0,-109.0,-3.2,0,,,2013,,,Western Kentucky,,0,,220,-109,-3.2,,,,JR
brandon-doughty-1,2014,9.7,,375,0.0,0.0,,,,13.0,6-3,,,10,0.0,Brandon Doughty,,552,,67.9,49,4830,8.8,brandon-doughty-1,39,12,QB,0.0,167.1,0.0,0.0,,0.0,39.0,2.0,-52.0,-1.3,2,,,2014,,,Western Kentucky,,2,,220,-52,-1.3,,,,SR
brandon-doughty-1,2015,10.4,,388,0.0,0.0,,,,14.0,6-3,,,9,0.0,Brandon Doughty,,540,,71.9,48,5055,9.4,brandon-doughty-1,28,12,QB,0.0,176.5,1.0,7.0,7.0,1.0,27.0,1.0,-122.0,-4.5,2,,,2015,,,Western Kentucky,,2,,220,-115,-4.1,,,,SR
brandon-doughty-1,Career,9.1,,1023,0.0,0.0,,,,,6-3,,,34,0.0,Brandon Doughty,,1491,,68.6,111,12855,8.6,brandon-doughty-1,103,24,QB,0.0,161.0,1.0,7.0,7.0,1.0,102.0,3.0,-285.0,-2.8,4,,,Career,,,Western Kentucky,,4,,220,-278,-2.7,,,,
troy-jones-2,2014,2.8,,2.0,,,,,,2.0,6-1,,,0.0,,Troy Jones,,4.0,,50.0,0.0,11.0,2.8,troy-jones-2,6,,QB,,73.1,0.0,0.0,,0.0,6.0,0.0,35.0,5.8,0,,,2014,,,Western Kentucky,,,,225,35,5.8,,,,JR
troy-jones-2,2015,,,,,,,,,,6-1,,,,,Troy Jones,,,,,,,,troy-jones-2,0,,QB,,,,,,,,,,,0,,,2015,,,Akron,,,,225,0,,,,,SR
troy-jones-2,Career,2.8,,2.0,,,,,,,6-1,,,0.0,,Troy Jones,,4.0,,50.0,0.0,11.0,2.8,troy-jones-2,6,,QB,,73.1,0.0,0.0,,0.0,6.0,0.0,35.0,5.8,0,,,Career,,,Overall,,,,225,35,5.8,,,,
leon-allen-1,2012,,0,,,,,,,11.0,6-0,,,,,Leon Allen,,,,,,,,leon-allen-1,57,12,RB,,,0,-4,-4.0,1,56,2,317,5.7,2,0.0,,2012,1,0.0,Western Kentucky,1,2,,245,313,5.5,,,,FR
