,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
zach-terrell-1,2013,5.6,0,133,0,0,0,0,,9.0,6-1,0,0,8,0,Zach Terrell,,251,0,53.0,8,1602,6.4,zach-terrell-1,42,0,QB,0,110.7,0,0,,0,42,0,0,0.0,0,0.0,,2013,0,0.0,Western Michigan,0,0,,212,0,0.0,,0,,FR
zach-terrell-1,2014,9.5,0,250,0,0,0,0,,13.0,6-1,0,0,10,0,Zach Terrell,,368,0,67.9,26,3443,9.4,zach-terrell-1,79,18,QB,0,164.4,0,18,18.0,1,78,3,264,3.4,3,0.0,,2014,1,0.0,Western Michigan,1,3,,212,282,3.6,,0,,SO
zach-terrell-1,2015,9.5,0,262,0,0,0,0,,13.0,6-1,0,0,9,0,Zach Terrell,,391,0,67.0,29,3522,9.0,zach-terrell-1,78,18,QB,0,162.5,0,25,25.0,1,77,3,107,1.4,3,0.0,,2015,0,0.0,Western Michigan,0,3,,212,132,1.7,,0,,JR
zach-terrell-1,2016,10.6,0,263,0,0,0,0,,14.0,6-1,0,0,4,0,Zach Terrell,,377,0,69.8,33,3533,9.4,zach-terrell-1,80,42,QB,0,175.2,0,0,,0,80,7,249,3.1,7,0.0,,2016,0,0.0,Western Michigan,0,7,,212,249,3.1,,0,,SR
zach-terrell-1,Career,9.1,0,908,0,0,0,0,,,6-1,0,0,31,0,Zach Terrell,,1387,0,65.5,96,12100,8.7,zach-terrell-1,279,78,QB,0,157.1,0,43,21.5,2,277,13,620,2.2,13,0.0,,Career,1,0.0,Western Michigan,1,13,,212,663,2.4,,0,,
cameron-thomas-1,2014,3.0,0.0,1.0,,,0.0,0.0,,1.0,6-1,0.0,0.0,0.0,,Cameron Thomas,,1.0,0.0,100.0,0.0,3.0,3.0,cameron-thomas-1,1,,QB,,125.2,0.0,0.0,,0.0,1.0,0.0,-3.0,-3.0,0,0.0,,2014,0.0,0.0,Western Michigan,0.0,,,199,-3,-3.0,,0.0,,FR
cameron-thomas-1,2015,,,,,,,,,,6-1,,,,,Cameron Thomas,,,,,,,,cameron-thomas-1,0,,QB,,,,,,,,,,,0,,,2015,,,Western Michigan,,,,199,0,,,,,SO
cameron-thomas-1,2016,,1.0,0.0,,,0.0,0.0,,1.0,6-1,0.0,0.0,0.0,,Cameron Thomas,,0.0,0.0,,0.0,0.0,,cameron-thomas-1,0,,WR,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0,0.0,,2016,0.0,0.0,New Mexico,1.0,,,199,0,,,0.0,,FR
cameron-thomas-1,Career,3.0,1.0,1.0,,,0.0,0.0,,,6-1,0.0,0.0,0.0,,Cameron Thomas,,1.0,0.0,100.0,0.0,3.0,3.0,cameron-thomas-1,1,,WR,,125.2,0.0,0.0,,0.0,1.0,0.0,-3.0,-3.0,0,0.0,,Career,0.0,0.0,Overall,1.0,,,199,-3,-3.0,,0.0,,
jarvion-franklin-1,2014,,0,0,0,0,0,0,,13.0,6-0,0,0,0,0,Jarvion Franklin,,0,0,,0,0,,jarvion-franklin-1,320,150,RB,0,,1,163,11.6,14,306,24,1551,5.1,25,0.0,,2014,0,0.0,Western Michigan,0,25,,225,1714,5.4,,0,,FR
