,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
joel-stave-1,2012,9.2,,70,,,,,,8.0,6-5,,,3,,Joel Stave,,119,,58.8,6,1104,9.3,joel-stave-1,19,0,QB,,148.3,,,,,19,0,-51,-2.7,0,,,2012,,,Wisconsin,,0,,220,-51,-2.7,,,,FR
joel-stave-1,2013,7.0,0.0,208,0.0,0.0,0.0,0.0,,13.0,6-5,0.0,0.0,13,0.0,Joel Stave,,336,0.0,61.9,22,2494,7.4,joel-stave-1,37,6,QB,0.0,138.1,0.0,0.0,,0.0,37,1,-22,-0.6,1,0.0,,2013,0.0,0.0,Wisconsin,0.0,1,,220,-22,-0.6,,0.0,,SO
joel-stave-1,2014,5.2,0.0,110,0.0,0.0,0.0,0.0,,10.0,6-5,0.0,0.0,10,0.0,Joel Stave,,206,0.0,53.4,9,1350,6.6,joel-stave-1,13,0,QB,0.0,113.2,0.0,0.0,,0.0,13,0,-70,-5.4,0,0.0,,2014,0.0,0.0,Wisconsin,0.0,0,,220,-70,-5.4,,0.0,,JR
joel-stave-1,2015,6.5,0.0,225,0.0,0.0,0.0,0.0,,13.0,6-5,0.0,0.0,11,0.0,Joel Stave,,370,0.0,60.8,11,2687,7.3,joel-stave-1,33,6,QB,0.0,125.7,0.0,0.0,,0.0,33,1,-123,-3.7,1,0.0,,2015,1.0,0.0,Wisconsin,1.0,1,,220,-123,-3.7,,0.0,,SR
joel-stave-1,Career,6.7,0.0,613,0.0,0.0,0.0,0.0,,,6-5,0.0,0.0,37,0.0,Joel Stave,,1031,0.0,59.5,48,7635,7.4,joel-stave-1,102,12,QB,0.0,129.8,0.0,0.0,,0.0,102,2,-266,-2.6,2,0.0,,Career,1.0,0.0,Wisconsin,1.0,2,,220,-266,-2.6,,0.0,,
tanner-mcevoy-1,2013,,14,0,0,0,0,0,,9.0,6-6,1,0,0,0,Tanner McEvoy,,0,4,,0,0,,tanner-mcevoy-1,0,0,QB,0,,0,0,,0,0,0,0,,0,0.0,,2013,13,1.0,Wisconsin,27,0,,229,0,,,20,20.0,SO
tanner-mcevoy-1,2014,4.8,0,65,0,0,0,0,,14.0,6-6,0,0,6,0,Tanner McEvoy,,112,0,58.0,5,709,6.3,tanner-mcevoy-1,65,36,QB,0,115.2,0,0,,0,65,6,574,8.8,6,0.0,,2014,5,0.0,Wisconsin,5,6,,229,574,8.8,,0,,JR
tanner-mcevoy-1,2015,,15,0,0,0,0,1,,12.0,6-6,6,0,0,0,Tanner McEvoy,,0,6,,0,0,,tanner-mcevoy-1,27,12,S,0,,0,109,10.9,10,17,2,132,7.8,2,1.0,,2015,27,2.0,Wisconsin,42,2,,229,241,8.9,,83,13.8,SR
tanner-mcevoy-1,Career,4.8,29,65,0,0,0,1,,,6-6,7,0,6,0,Tanner McEvoy,,112,10,58.0,5,709,6.3,tanner-mcevoy-1,92,48,S,0,115.2,0,109,10.9,10,82,8,706,8.6,8,1.0,,Career,45,3.0,Wisconsin,74,8,,229,815,8.9,,103,14.7,
bart-houston-1,2013,8.0,,1,,,,,,1.0,6-4,,,0,,Bart Houston,,1,,100.0,0,8,8.0,bart-houston-1,0,,QB,,167.2,0,0,,0,0,0,0,,0,,,2013,,,Wisconsin,,,,235,0,,,,,FR
bart-houston-1,2014,8.7,,1,,,,,,6.0,6-4,,,0,,Bart Houston,,3,,33.3,1,6,2.0,bart-houston-1,2,,QB,,160.1,0,0,,0,2,0,8,4.0,0,,,2014,,,Wisconsin,,,,235,8,4.0,,,,SO
bart-houston-1,2015,5.3,,27,,,,,,7.0,6-4,,,2,,Bart Houston,,47,,57.4,3,281,6.0,bart-houston-1,4,,QB,,120.2,0,0,,0,4,0,-17,-4.3,0,,,2015,,,Wisconsin,,,,235,-17,-4.3,,,,JR
