,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
colby-kirkegaard-1,2011,3.7,,5,,,,,,4.0,6-3,,,0,,Colby Kirkegaard,,10,,50.0,0,37,3.7,colby-kirkegaard-1,3,,QB,,81.1,,,,,3,0,-6,-2.0,0,,,2011,,,Wyoming,,,,205,-6,-2.0,,,,SO
colby-kirkegaard-1,2012,3.0,,16,,,,,,3.0,6-3,,,1,,Colby Kirkegaard,,26,,61.5,0,123,4.7,colby-kirkegaard-1,7,,QB,,93.6,0.0,0.0,0.0,1.0,6,0,20,3.3,0,,,2012,,,Wyoming,,,,205,20,2.9,,,,JR
colby-kirkegaard-1,2014,6.9,,206,,,,,,12.0,6-3,,,9,,Colby Kirkegaard,,359,,57.4,12,2660,7.4,colby-kirkegaard-1,78,,QB,,125.6,0.0,0.0,,0.0,78,0,-110,-1.4,0,,,2014,,,Wyoming,,,,205,-110,-1.4,,,,SR
colby-kirkegaard-1,Career,6.6,,227,,,,,,,6-3,,,10,,Colby Kirkegaard,,395,,57.5,12,2820,7.1,colby-kirkegaard-1,88,,QB,,122.4,0.0,0.0,0.0,1.0,87,0,-96,-1.1,0,,,Career,,,Wyoming,,,,205,-96,-1.1,,,,
tommy-thornton-1,2013,3.8,,3.0,,,,,,4.0,6-1,,,0.0,,Tommy Thornton,,4.0,,75.0,0.0,15.0,3.8,tommy-thornton-1,6,,QB,,106.5,0.0,0.0,,0.0,6.0,0.0,8.0,1.3,0,,,2013,,,Wyoming,,,,193,8,1.3,,,,FR
tommy-thornton-1,2014,0.5,,4.0,,,,,,2.0,6-1,,,1.0,,Tommy Thornton,,10.0,,40.0,0.0,50.0,5.0,tommy-thornton-1,5,,QB,,62.0,0.0,0.0,,0.0,5.0,0.0,9.0,1.8,0,,,2014,,,Wyoming,,,,193,9,1.8,,,,SO
tommy-thornton-1,2015,,,,,,,,,,6-1,,,,,Tommy Thornton,,,,,,,,tommy-thornton-1,0,,WR,,,,,,,,,,,0,,,2015,,,Wyoming,,,,193,0,,,,,JR
tommy-thornton-1,Career,1.4,,7.0,,,,,,,6-1,,,1.0,,Tommy Thornton,,14.0,,50.0,0.0,65.0,4.6,tommy-thornton-1,11,,WR,,74.7,0.0,0.0,,0.0,11.0,0.0,17.0,1.5,0,,,Career,,,Wyoming,,,,193,17,1.5,,,,
sam-stratton-1,2011,,0,,,,0,0,,5.0,5-11,,,,,Sam Stratton,,,0,,,,,sam-stratton-1,19,,WR,,,0,28,9.3,3,16,0,49,3.1,0,0.0,,2011,0,0.0,Wyoming,0,,,190,77,4.1,,,,FR
sam-stratton-1,2013,,0,0.0,,,0,0,,2.0,5-11,0.0,0.0,0.0,,Sam Stratton,,0.0,0,,0.0,0.0,,sam-stratton-1,1,,WR,,,0,0,,0,1,0,-12,-12.0,0,0.0,,2013,1,0.0,Wyoming,1,,,190,-12,-12.0,,0.0,,JR
